etapa,ejercicio,concepto,mdp
aprobado,2018,impuestos,2957469.9
aprobado,2018,cuotas,309302.2
aprobado,2019,impuestos,3311373.4
aprobado,2019,cuotas,343133.4
aprobado,2020,pens_clasif,965202.8
aprobado,2020,imss_pens,488616.7
aprobado,2020,isss_pens,245711.1
aprobado,2020,imss_salud,319344.8
aprobado,2020,isss_salud,63186.5
aprobado,2020,educacion,786271.1
aprobado,2020,no_contrib,129350.3
aprobado,2020,impuestos,3505822.4
aprobado,2020,cuotas,374003.2
aprobado,2021,pens_clasif,1064088.5
aprobado,2021,imss_pens,558684.1
aprobado,2021,isss_pens,263187.2
aprobado,2021,imss_salud,325506.8
aprobado,2021,isss_salud,64202.8
aprobado,2021,educacion,813170.2
aprobado,2021,no_contrib,152276.1
aprobado,2021,impuestos,3533031.1
aprobado,2021,cuotas,381835.8
aprobado,2022,pens_clasif,1172324.9
aprobado,2022,imss_pens,636461.8
aprobado,2022,isss_pens,278180.2
aprobado,2022,imss_salud,356609.5
aprobado,2022,isss_salud,69151.7
aprobado,2022,educacion,859569.2
aprobado,2022,no_contrib,258052.2
aprobado,2022,impuestos,3944520.6
aprobado,2022,cuotas,411852.5
aprobado,2023,pens_clasif,1333343.8
aprobado,2023,imss_pens,750252.1
aprobado,2023,isss_pens,309763.1
aprobado,2023,imss_salud,395804.2
aprobado,2023,isss_salud,80126.9
aprobado,2023,educacion,945011.1
aprobado,2023,no_contrib,365919.2
aprobado,2023,impuestos,4623583.1
aprobado,2023,cuotas,470845.4
aprobado,2024,pens_clasif,1499038.6
aprobado,2024,imss_pens,870981.7
aprobado,2024,isss_pens,342043.9
aprobado,2024,imss_salud,455245.4
aprobado,2024,isss_salud,76252.2
aprobado,2024,educacion,1032621.4
aprobado,2024,no_contrib,492909.0
aprobado,2024,impuestos,4942030.3
aprobado,2024,cuotas,535254.7
aprobado,2025,pens_clasif,1637665.1
aprobado,2025,imss_pens,966726.3
aprobado,2025,isss_pens,390767.1
aprobado,2025,imss_salud,481083.0
aprobado,2025,isss_salud,81687.2
aprobado,2025,educacion,1084590.9
aprobado,2025,no_contrib,527389.1
aprobado,2025,impuestos,5297812.9
aprobado,2025,cuotas,603077.9
aprobado,2026,pens_clasif,1704159.1
aprobado,2026,imss_pens,1010525.2
aprobado,2026,isss_pens,395156.0
aprobado,2026,imss_salud,556342.6
aprobado,2026,isss_salud,81525.8
aprobado,2026,educacion,1172671.8
aprobado,2026,no_contrib,619743.0
aprobado,2026,impuestos,5838541.1
aprobado,2026,cuotas,641782.1
