id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,nota
V001,Implicaciones,Ingresos 2020 (p.II),Ingresos como % PIB menores en 2020 que en 2019,a,21.0 < 21.4,CGPE p.100/185-186,2020 21.0; 2019 estim 21.4; 2019 aprob 21.2,si,,Contrafactual implícito: vs cierre estimado 2019.
V002,Implicaciones,Ingresos 2020 (p.II),Ausencia de ingresos no recurrentes de casi 0.8% del PIB,b,~0.8% PIB,"CGPE p.60, p.85 n.10, p.177",FEIP 129.6 mmp = 0.52% PIB 2019; no tributarios GF 1.3% (2019 est) -> 0.6% (2020): -0.7 pp,aprox,0.7 vs 0.8,"Rehecho: 129.6/24,851.8=0.52%; caída no tributarios 0.7 pp. Ninguna da 0.8."
V003,Implicaciones,Gasto 2020 (p.III),Parte contributiva = casi 97% del total de pensiones,b,~97%,EM p.171 + analítico R20,965.2/(965.2+126.65+11.91)=87.4%,no,97 vs 87.4,Contradice al propio cap.7.2 (87.5%). Probable errata (87 -> 97).
V004,Implicaciones,Gasto 2020 (p.III),Incremento real de aprox. 7% en pensiones contributivas,a,~7%,EM p.171,+6.2% real vs aprobado 2019,no,7 vs 6.2,"El 7% es el supuesto de mediano plazo (CGPE p.124), no la variación 2020."
V005,Implicaciones,Gasto 2020 (p.III),Gasto federal en pensiones 2020 = 4.2% del PIB,b,4.2%,"EM p.171; analítico R20; 26,254.1 mmp (CGPE p.69)","(965,202.8+126,650.3+11,905.9)/26,254,100=4.20%",si,,Rehecho paso a paso. Agregado no oficial (contributivo + no contributivo).
V006,Implicaciones,Gasto 2020 (p.III),Absorbe toda la recaudación del IVA y hay un faltante de 100 mil mdp,b,"faltante ~100,000 mdp","ILIF art.1o. (IVA 1,007,546.0)","1,103,759.0-1,007,546.0=96,213 mdp",aprox,96.2 vs 100,"Redondeo generoso. Comparación nominal, mismo año."
V007,Implicaciones,Gasto 2020 (p.III),SHCP reconoce tasas de crecimiento muy altas en pensiones en lo que resta del sexenio,a,(cualitativo),CGPE p.124; EM p.141,+7.0% real anual 2021-2025; 3.8->4.5% PIB,si,,
V008,Implicaciones,Gasto 2020 (p.III),Cuatro programas prioritarios suman incrementos por casi 30 mil mdp,b,"~30,000",CIEP cuadro 3.1 (2019 no en carpeta),"9,591+3,301+12,573+3,100=28,565 (aritmética interna)",no_verificable,,"2020: SV 25,130.9, JEF 7,776.4, Beca MS 28,995.2 (no 30,475), Discap 11,905.9 verificados en analítico; base 2019 no en carpeta."
V009,Implicaciones,Gasto 2020 (p.III),Sector salud aumenta 2% real,b,2%,"analíticos 2020 (656,761 reproducido); 2019 no en carpeta",2.1% según CIEP; base 2019 no verificable,no_verificable,,"Perímetro CIEP 2020 reproducido exactamente (656,761.2)."
V010,Implicaciones,Gasto 2020 (p.IV),Participaciones disminuyen respecto al PIB; primera vez en la última década,b,3.7->3.6,CGPE p.177 (serie 2013-2019); EM p.188,"2013-2019: 3.3,3.3,3.4,3.4,3.5,3.6,3.7(aprob)/3.6(est); 2020 3.6",aprox,,Cae vs aprobado 2019 (3.7); es plana vs estimado 2019 (3.6). Serie 2010-2012 no en carpeta.
