id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,nota
V001,Resumen,"Resumen ejecutivo, salud (p.VII)","Sector salud 692 mil mdp; +9.1% en SSa proviene del FSB; INSABI +9,538 mdp pese a los 40 mil de la iniciativa",a/b,"692,430; 9.1; 9,538","EM p.67-68 (667,236.4) + R19 función salud completa (21,259.5 vs 13,607.6) + Pemex PP013 17,441.6 (AN)","692,329.9 con Pemex por programa; SSa +9.1% (EM p.174)",aprox,100 mdp (Pemex por AI vs por programa),,Perímetro de CIEP declarado en nota 1 del cap.3; suma reproducida. La atribución al FSB es juicio (ver V-cap3).
V002,3 Salud,3.1 (p.19),"Sector salud 692,430 mdp = 10.99% del presupuesto total; brecha de 3.2 pp del PIB (OMS 6%)",b,"692,430; 10.99; 3.2","AN (ver arriba); DEC art.2 6,295,736.2; PIB 24,983.9 mmp","692,329.9; 692,430/6,295,736.2=11.00%; 692,430/24,983,900=2.77% -> 6-2.77=3.23",si,,,Perímetro CIEP: SSa ramo + función salud (sin SSa) + AI de Pemex. OMS 6% es referencia externa.
V003,3 Salud,3.1 (p.19),El aumento como % del PIB se debe a la caída de 8% del PIB estimado 2020,b,,"CGPE p.109 (PIB 26,254.1 aprob 2020 -> 24,983.9 en 2021; -8.0% real 2020)","con PIB 2020 aprobado la razón sería 2.35%; con 24,983.9 es 2.67-2.77",si,,,Coincide con la derivación propia (01_capitulo_propio_salud.md).
V004,3 Salud,Cuadro 7 (p.20),"PEF 2020 en pesos 2021: IMSS 330,282; ISSSTE 65,351; SSA 133,239; FASSA 106,912; Aportaciones a SS 21,169; Sedena 6,907; Semar 2,776",a,,"AN20 función salud ×1.034: 330,202.5; 65,334.8; 133,206.5 (ramo); 106,886.1; 21,163.5; 6,905.7; 2,775.6",difieren 20-80 mdp (0.02%),aprox,<0.03%,deflactor,CIEP usa un factor ligeramente mayor a 1.034 (≈1.0342). Se reporta como categoría deflactor.
V005,3 Salud,Cuadro 7 (p.20),"PPEF 2021: IMSS 325,507; ISSSTE 64,203; SSA 145,415; FASSA 109,501; Aportaciones a SS 21,260; Sedena 6,463; Semar 2,540",a,,"EM p.67-68; AN21 función salud; R19 función salud 21,259.5",idénticos,si,,,
V006,3 Salud,Cuadro 7 (p.20),"Pemex 13,036 (PEF 2020) -> 17,541 (PPEF 2021), +34.56%",a,"13,036; 17,541","AN20/AN21 Pemex PP013 Servicios médicos: 12,438.6×1.034=12,861.5 -> 17,441.6 (+35.6%)","12,861.5; 17,441.6",no,174 y 99 mdp,perimetro,"CIEP usa la actividad institucional (nota 1) en el cuadro 7 pero el programa PP013 en el cuadro 8 (12,865 -> 17,442). Dos perímetros de Pemex en el mismo capítulo."
V007,3 Salud,Cuadro 7 (p.20),"Variaciones reales: IMSS -1.45; ISSSTE -1.76; SSA 9.14; FASSA 2.42; R19 0.43; Sedena -6.43; Semar -8.50; total 679,672 -> 692,430 (+1.87%)",b,,derivación propia con AN y deflactor 3.4: -1.4; -1.7; +9.2; +2.4; +0.5; -6.4; -8.5,coinciden dentro de 0.1 pp,si,,,"Total CIEP +1.87% vs perímetro EM +1.3%: la diferencia es Pemex (+35.6%) y el resto del R19, ambos fuera del perímetro EM."
V008,3 Salud,3.2 (p.19),"Aumento neto 12,758 mdp = +19,361 (SSa, FASSA, Pemex, R19) − 6,604 (IMSS, ISSSTE, Sedena, Semar)",b,"12,758; 19,361; 6,604",cuadro 7 de CIEP,"12,176+2,589+4,505+91=19,361; 4,776+1,148+444+236=6,604; 19,361-6,604=12,757",si,,,Aritmética cierra con las cifras del cuadro 7.
V009,3 Salud,3.2 INSABI (p.19),"PEF 2020: 'Atención a la salud y medicamentos gratuitos' 81,884 (incl. Seguro Popular) + FASSA 106,912 = 188,793; PPEF 2021: 184,268 + parte de Atención a la Salud 14,066 = 198,334; INSABI +9,538",b,"81,884; 106,912; 188,793; 184,268; 14,066; 198,334; 9,538","AN20 R12: U005 72,538.4 + U013 6,634.0 = 79,172.4 ×1.034 = 81,864; AN21: U013 74,766.7 + FASSA 109,501.3 = 184,268.0; INSABI en E023 14,066.4; 198,334.4; 198,334-188,793=9,541","81,864 vs 81,884 (20 mdp); resto exacto",no,perímetro,perimetro,"El FASSA (Ramo 33, transferencia a estados) no es un programa del INSABI; incluirlo como 'programa del instituto' cambia el objeto. El aumento propio del INSABI (U013+E023 INSABI vs U005+U013) es 88,833.1 vs 81,864 = +8.5% real, no 9,538 mdp sobre una base con FASSA."
V010,3 Salud,3.2 INSABI (p.19),"La iniciativa de creación del INSABI definió 40 mil mdp del FSB; el PPEF asigna 30,462 menos",a/b,"40,000; 30,462","(iniciativa de reforma a la LGS 2019, no en carpeta); 40,000-9,538=30,462",aritmética interna cierra,no_verificable,,,"Requiere la iniciativa/dictamen de la LGS (nov-2019). En el paquete 2021 el FSB aparece con aportación 16,703.5 (AN21 partida 46101) y extracción de hasta 33,000 (ILIF trans. 13o., PDF 122)."
V011,3 Salud,3.2 Programas (p.20),21 de 29 programas de la SSa con recortes; aumentos >1%: Investigación 1.06; Apoyo administrativo 7.35; Formación 14.57; Atención a la Salud 85.86; Rectoría 94.29,b,,"AN R12 por PP: 2,305.8->2,410.0 (+1.1); 3,360.9->3,731.6 (+7.4); 4,459.0->5,284.0 (+14.6); 23,294.8->44,779.1 (+85.9); 512.3->1,029.6 (+94.4)","tasas coinciden; conteo: 30 PP en 2020a, 26 en 2021 (4 desaparecen)",aprox,conteo 29 vs 30,,El conteo depende de si se cuentan los programas extintos.
V012,3 Salud,3.2 Programas (p.20),"Todos los programas del ISSSTE con recortes salvo Gastos administrativos por operación de fondos y seguros (+5,111 mdp: 10,635 -> 15,747)",a/b,"10,635; 15,747","AN20 ISSSTE PP002 14,616.1 ×1.034 = 15,113; AN21 no consultado por PP002","base 2020 no coincide (15,113 vs 10,635)",no,"4,478 mdp en la base",perimetro,"Mismo programa discrepó en la corrida 2020 (14,616 vs 10,283). CIEP parece excluir alguna UR o partida; no lo declara."
