id,capitulo,seccion,afirmacion,tipo,tier_seccion,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,contrafactual_explicito,nota
V001,Frente del documento,Presentación (p. v),La ILIF y el PPEF no estuvieron disponibles de inmediato en el portal de la SHCP; primera vez en al menos 10 años sin base de datos del PPEF en datos abiertos de Transparencia Presupuestaria,c,juicio,retroceso en transparencia,No verificable ex ante,,no_verificable,,,na,"Hecho de disponibilidad en septiembre de 2023, no reproducible en 2026. Corroboración indirecta: en la corrida del 2026-09-05 todo el árbol ppef.hacienda.gob.mx/work/models/PPEF{2022..2026} devolvía 404 y Transparencia Presupuestaria servía una cáscara JS sin enlaces (mapa_fuentes.md)."
V002,Frente del documento,Presentación (p. v),"Banxico anticipa que la economía cerrará 2023 con expansión de 3.0 %, misma cifra prevista por la SHCP un año antes",a/b,restitucion,3.0,CGPE 2023 (marco macro aprobado); Banxico (externa),"CGPE 2023 aprobado: crecimiento puntual 3.0 %, rango [1.2, 3.0]",si,,,na,La parte SHCP se verifica; la de Banxico es fuente externa al paquete.
V003,Frente del documento,Presentación (p. v),Los RFSP se ubican en 5.4 % del PIB,b,restitucion,5.4,"CGPE 2024 p. 9, 119","RFSP 2024 −1,864,872.3 mdp = −5.4 % del PIB",si,,,na,
V004,Frente del documento,Presentación (p. v),"En un año electoral, 19.2 pesos de cada 100 provendrán de financiamiento",b,restitucion,19.2,ILIF 2024 art. 1o.; DEC 2024 art. 2,"Financiamientos 1,737,050.6 / total 9,066,045.8 = 19.16 %",si,,,na,
V005,Frente del documento,Presentación (p. v),El espacio fiscal pasa de 2.0 % del PIB en 2023 a 0.9 % del PIB en 2024,b,juicio,2.0 → 0.9,Construcción propia de CIEP; sin definición oficial en el paquete,,no_verificable,,,no,"El paquete no publica ninguna magnitud llamada espacio fiscal. Ver V108: el capítulo 13 lo cuantifica como una caída de 60 %, que no cierra con 2.0 → 0.9 (−55 %)."
V006,Frente del documento,Presentación (p. vi),"FMI: avanzadas 1.4 %, EE.UU. 1.0 %, Zona Euro 1.5 %, emergentes 5.0 %, China 4.5 %, México 1.5 %",a,restitucion,1.4 / 1.0 / 1.5 / 5.0 / 4.5 / 1.5,FMI WEO (externa al paquete),,no_verificable,,,na,Fuente externa.
V007,Frente del documento,Presentación (p. vi),La SHCP prevé un crecimiento económico de 2.6 % para 2024,b,restitucion,2.6,"CGPE 2024 p. 46, 118","2.6 % puntual para finanzas públicas; rango [2.5, 3.5]",si,,,na,
V008,Frente del documento,Presentación (p. vi),Por encima del 2.1 % que anticipa Banxico y del 1.6 % del FMI,a,restitucion,2.1 / 1.6,Banxico y FMI (externas),,no_verificable,,,na,Fuentes externas.
V009,Frente del documento,Presentación (p. vi),Por segundo año consecutivo la economía crecerá por encima de su potencial de 2.39 %,b,restitucion,2.39,CGPE 2024 (art. 11 C RLFPRH),Tasa de crecimiento real del PIB potencial para 2024 = 2.39 % anual; la propia SHCP declara r = 2.38 % menor al potencial,si,,,na,El CGPE usa el potencial para argumentar lo contrario: declara r = 2.38 % precisamente por ser menor a 2.39 %. CIEP toma el 2.6 % del marco macro; la SHCP usa 2.38 % para la regla de deuda. Dos tasas oficiales distintas para el mismo año.
V010,Frente del documento,Presentación (p. vi),"La SHCP prevé inflación de 4.5 %, tasa de interés promedio de 10.3 %, tipo de cambio de 17.1 y mezcla mexicana de 56.7 dpb",b,restitucion,4.5 / 10.3 / 17.1 / 56.7,"CGPE 2024 p. 118, 121",Inflación promedio 4.5 (dic/dic 3.8); Cetes promedio 10.3 (fin de periodo 9.5); TC promedio 17.1 (fin 17.6); mezcla 56.7 dpb,si,,,na,Las tres primeras son promedios anuales; el CGPE publica también fin de periodo. CIEP no dice cuál usa.
