RAMO_K,mdp_2026,mdp_2027,dif_nominal,dif_real,var_real_pct,estado,nivel,PP_K,PP_NUM,UR_K,F_K,FN_K,SF_K
18,267439.1,85634.2,-181804.9,-192502.5,-69.2,continúa,ramo,,,,,,
TYY,708200.9,678662.7,-29538.2,-57866.2,-7.9,continúa,ramo,,,,,,
TVV,602567.5,575215.6,-27351.9,-51454.6,-8.2,continúa,ramo,,,,,,
03,85960.2,72264.7,-13695.5,-17133.9,-19.2,continúa,ramo,,,,,,
23,167652.2,162153.2,-5499.1,-12205.2,-7.0,continúa,ramo,,,,,,
35,1834.3,1650.9,-183.4,-256.8,-13.5,continúa,ramo,,,,,,
49,21059.4,20893.6,-165.8,-1008.2,-4.6,continúa,ramo,,,,,,
02,800.5,800.5,0.0,-32.0,-3.8,continúa,ramo,,,,,,
37,153.1,160.8,7.7,1.5,1.0,continúa,ramo,,,,,,
40,11807.5,11816.0,8.5,-463.8,-3.8,continúa,ramo,,,,,,
31,895.3,924.2,28.9,-6.9,-0.7,continúa,ramo,,,,,,
27,1743.1,1799.3,56.2,-13.5,-0.7,continúa,ramo,,,,,,
21,1793.5,1851.3,57.9,-13.9,-0.7,continúa,ramo,,,,,,
32,3400.0,3509.7,109.7,-26.3,-0.7,continúa,ramo,,,,,,
10,3535.5,3649.5,114.1,-27.3,-0.7,continúa,ramo,,,,,,
54,2141.0,2269.4,128.4,42.8,1.9,continúa,ramo,,,,,,
06,26792.1,27096.6,304.5,-767.2,-2.8,continúa,ramo,,,,,,
47,8365.5,8740.1,374.6,39.9,0.5,continúa,ramo,,,,,,
01,17529.1,17931.0,401.9,-299.2,-1.6,continúa,ramo,,,,,,
55,3852.7,4328.8,476.2,322.1,8.0,continúa,ramo,,,,,,
04,9959.7,10766.4,806.7,408.3,3.9,continúa,ramo,,,,,,
05,9294.2,10176.6,882.4,510.6,5.3,continúa,ramo,,,,,,
15,36290.1,37873.6,1583.5,131.9,0.3,continúa,ramo,,,,,,
14,28441.9,30852.7,2410.8,1273.1,4.3,continúa,ramo,,,,,,
48,13097.4,15858.7,2761.3,2237.4,16.4,continúa,ramo,,,,,,
36,60110.9,64486.9,4376.0,1971.6,3.2,continúa,ramo,,,,,,
16,44064.1,49508.3,5444.2,3681.7,8.0,continúa,ramo,,,,,,
12,66825.8,72305.5,5479.7,2806.7,4.0,continúa,ramo,,,,,,
38,34860.8,42217.7,7356.9,5962.5,16.4,continúa,ramo,,,,,,
24,1297681.1,1306035.6,8354.5,-43552.8,-3.2,continúa,ramo,,,,,,
25,85182.4,95543.0,10360.6,6953.3,7.8,continúa,ramo,,,,,,
30,70855.7,81400.4,10544.7,7710.5,10.5,continúa,ramo,,,,,,
09,153539.3,167074.8,13535.6,7394.0,4.6,continúa,ramo,,,,,,
08,75195.5,88758.8,13563.3,10555.5,13.5,continúa,ramo,,,,,,
07,170753.1,185706.1,14953.0,8122.9,4.6,continúa,ramo,,,,,,
13,65926.8,81223.4,15296.6,12659.5,18.5,continúa,ramo,,,,,,
22,22837.2,42274.5,19437.3,18523.8,78.0,continúa,ramo,,,,,,
56,172492.4,193987.2,21494.8,14595.1,8.1,continúa,ramo,,,,,,
20,674510.0,697106.3,22596.3,-4384.1,-0.6,continúa,ramo,,,,,,
34,35553.4,65906.1,30352.7,28930.6,78.2,continúa,ramo,,,,,,
GYN,539020.8,571592.3,32571.5,11010.7,2.0,continúa,ramo,,,,,,
11,513015.6,576631.9,63616.3,43095.6,8.1,continúa,ramo,,,,,,
28,1456045.9,1547607.9,91562.0,33320.1,2.2,continúa,ramo,,,,,,
33,1041892.9,1136351.6,94458.7,52782.9,4.9,continúa,ramo,,,,,,
19,1541518.7,1661007.9,119489.2,57828.4,3.6,continúa,ramo,,,,,,
GYR,1590308.7,1803009.1,212700.4,149088.1,9.0,continúa,ramo,,,,,,
28,329115.1,0.0,-329115.1,-342279.7,-100.0,desaparece,programa,C003,,,,,
18,263700.0,81507.6,-182192.4,-192740.4,-70.3,continúa,programa,P038,,,,,
TVV,98679.2,0.0,-98679.2,-102626.4,-100.0,desaparece,programa,077 ,,,,,
56,80768.4,15673.7,-65094.7,-68325.5,-81.3,continúa,programa,U013,,,,,
TVV,50097.3,0.0,-50097.3,-52101.2,-100.0,desaparece,programa,079 ,,,,,
TYY,223247.8,184079.2,-39168.6,-48098.5,-20.7,continúa,programa,001 ,,,,,
36,24804.3,0.0,-24804.3,-25796.4,-100.0,desaparece,programa,E055,,,,,
07,19978.4,0.0,-19978.4,-20777.5,-100.0,desaparece,programa,A015,,,,,
TVV,16547.8,0.0,-16547.8,-17209.7,-100.0,desaparece,programa,078 ,,,,,
09,49152.0,35420.0,-13732.0,-15698.1,-30.7,continúa,programa,K016,,,,,
03,85960.2,72264.7,-13695.5,-17133.9,-19.2,continúa,programa,R001,,,,,
07,30000.0,17158.8,-12841.2,-14041.2,-45.0,continúa,programa,K019,,,,,
36,19459.3,8276.0,-11183.3,-11961.6,-59.1,continúa,programa,K004,,,,,
