mes,cve_entidad,entidad,sexo,rango_edad,asegurados
2025-07-31,1,Aguascalientes,hombres,E1,266
2025-07-31,1,Aguascalientes,hombres,E10,16985
2025-07-31,1,Aguascalientes,hombres,E11,6837
2025-07-31,1,Aguascalientes,hombres,E12,2888
2025-07-31,1,Aguascalientes,hombres,E13,1398
2025-07-31,1,Aguascalientes,hombres,E14,1338
2025-07-31,1,Aguascalientes,hombres,E2,31406
2025-07-31,1,Aguascalientes,hombres,E3,42689
2025-07-31,1,Aguascalientes,hombres,E4,37863
2025-07-31,1,Aguascalientes,hombres,E5,33939
2025-07-31,1,Aguascalientes,hombres,E6,28181
2025-07-31,1,Aguascalientes,hombres,E7,25033
2025-07-31,1,Aguascalientes,hombres,E8,22726
2025-07-31,1,Aguascalientes,hombres,E9,20852
2025-07-31,1,Aguascalientes,mujeres,E1,274
2025-07-31,1,Aguascalientes,mujeres,E10,11346
2025-07-31,1,Aguascalientes,mujeres,E11,4807
2025-07-31,1,Aguascalientes,mujeres,E12,1983
2025-07-31,1,Aguascalientes,mujeres,E13,1075
2025-07-31,1,Aguascalientes,mujeres,E14,1468
2025-07-31,1,Aguascalientes,mujeres,E2,32330
2025-07-31,1,Aguascalientes,mujeres,E3,37253
2025-07-31,1,Aguascalientes,mujeres,E4,29082
2025-07-31,1,Aguascalientes,mujeres,E5,24057
2025-07-31,1,Aguascalientes,mujeres,E6,20390
2025-07-31,1,Aguascalientes,mujeres,E7,17776
2025-07-31,1,Aguascalientes,mujeres,E8,15494
2025-07-31,1,Aguascalientes,mujeres,E9,14031
2025-07-31,2,Baja California,hombres,E1,626
2025-07-31,2,Baja California,hombres,E10,41333
2025-07-31,2,Baja California,hombres,E11,16762
2025-07-31,2,Baja California,hombres,E12,4816
2025-07-31,2,Baja California,hombres,E13,1726
2025-07-31,2,Baja California,hombres,E14,909
2025-07-31,2,Baja California,hombres,E2,53054
2025-07-31,2,Baja California,hombres,E3,103540
2025-07-31,2,Baja California,hombres,E4,112064
2025-07-31,2,Baja California,hombres,E5,93538
2025-07-31,2,Baja California,hombres,E6,74837
2025-07-31,2,Baja California,hombres,E7,65176
2025-07-31,2,Baja California,hombres,E8,59192
2025-07-31,2,Baja California,hombres,E9,55293
2025-07-31,2,Baja California,mujeres,E1,646
2025-07-31,2,Baja California,mujeres,E10,28284
2025-07-31,2,Baja California,mujeres,E11,10548
2025-07-31,2,Baja California,mujeres,E12,2557
2025-07-31,2,Baja California,mujeres,E13,810
2025-07-31,2,Baja California,mujeres,E14,717
2025-07-31,2,Baja California,mujeres,E2,48926
2025-07-31,2,Baja California,mujeres,E3,83536
2025-07-31,2,Baja California,mujeres,E4,83194
2025-07-31,2,Baja California,mujeres,E5,66828
2025-07-31,2,Baja California,mujeres,E6,56431
2025-07-31,2,Baja California,mujeres,E7,50368
2025-07-31,2,Baja California,mujeres,E8,44393
2025-07-31,2,Baja California,mujeres,E9,38441
2025-07-31,2,Baja California,no especificado,E3,1
2025-07-31,2,Baja California,no especificado,E5,1
2025-07-31,3,Baja California Sur,hombres,E1,53
2025-07-31,3,Baja California Sur,hombres,E10,8863
2025-07-31,3,Baja California Sur,hombres,E11,3697
2025-07-31,3,Baja California Sur,hombres,E12,1164
2025-07-31,3,Baja California Sur,hombres,E13,495
2025-07-31,3,Baja California Sur,hombres,E14,285
2025-07-31,3,Baja California Sur,hombres,E2,19748
2025-07-31,3,Baja California Sur,hombres,E3,25186
2025-07-31,3,Baja California Sur,hombres,E4,23935
2025-07-31,3,Baja California Sur,hombres,E5,22392
2025-07-31,3,Baja California Sur,hombres,E6,19137
2025-07-31,3,Baja California Sur,hombres,E7,16308
2025-07-31,3,Baja California Sur,hombres,E8,14082
2025-07-31,3,Baja California Sur,hombres,E9,11949
2025-07-31,3,Baja California Sur,mujeres,E1,50
2025-07-31,3,Baja California Sur,mujeres,E10,4763
2025-07-31,3,Baja California Sur,mujeres,E11,1859
2025-07-31,3,Baja California Sur,mujeres,E12,486
2025-07-31,3,Baja California Sur,mujeres,E13,194
2025-07-31,3,Baja California Sur,mujeres,E14,235
2025-07-31,3,Baja California Sur,mujeres,E2,18408
2025-07-31,3,Baja California Sur,mujeres,E3,17739
2025-07-31,3,Baja California Sur,mujeres,E4,15999
2025-07-31,3,Baja California Sur,mujeres,E5,14557
2025-07-31,3,Baja California Sur,mujeres,E6,12634
2025-07-31,3,Baja California Sur,mujeres,E7,10683
2025-07-31,3,Baja California Sur,mujeres,E8,8833
2025-07-31,3,Baja California Sur,mujeres,E9,6977
2025-07-31,4,Campeche,hombres,E1,82
2025-07-31,4,Campeche,hombres,E10,7458
2025-07-31,4,Campeche,hombres,E11,3164
2025-07-31,4,Campeche,hombres,E12,1046
2025-07-31,4,Campeche,hombres,E13,415
2025-07-31,4,Campeche,hombres,E14,267
2025-07-31,4,Campeche,hombres,E2,14884
2025-07-31,4,Campeche,hombres,E3,15369
2025-07-31,4,Campeche,hombres,E4,16492
2025-07-31,4,Campeche,hombres,E5,16209
2025-07-31,4,Campeche,hombres,E6,14057
2025-07-31,4,Campeche,hombres,E7,12799
2025-07-31,4,Campeche,hombres,E8,10884
2025-07-31,4,Campeche,hombres,E9,9258
2025-07-31,4,Campeche,mujeres,E1,71
2025-07-31,4,Campeche,mujeres,E10,3837
2025-07-31,4,Campeche,mujeres,E11,1543
2025-07-31,4,Campeche,mujeres,E12,468
2025-07-31,4,Campeche,mujeres,E13,190
2025-07-31,4,Campeche,mujeres,E14,207
2025-07-31,4,Campeche,mujeres,E2,14511
2025-07-31,4,Campeche,mujeres,E3,12423
2025-07-31,4,Campeche,mujeres,E4,11526
2025-07-31,4,Campeche,mujeres,E5,10256
2025-07-31,4,Campeche,mujeres,E6,8146
2025-07-31,4,Campeche,mujeres,E7,7069
2025-07-31,4,Campeche,mujeres,E8,5688
2025-07-31,4,Campeche,mujeres,E9,5028
2025-07-31,5,Coahuila,hombres,E1,200
2025-07-31,5,Coahuila,hombres,E10,42793
2025-07-31,5,Coahuila,hombres,E11,12490
2025-07-31,5,Coahuila,hombres,E12,3949
2025-07-31,5,Coahuila,hombres,E13,1494
2025-07-31,5,Coahuila,hombres,E14,775
2025-07-31,5,Coahuila,hombres,E2,43609
2025-07-31,5,Coahuila,hombres,E3,90624
2025-07-31,5,Coahuila,hombres,E4,90057
2025-07-31,5,Coahuila,hombres,E5,79801
2025-07-31,5,Coahuila,hombres,E6,65895
2025-07-31,5,Coahuila,hombres,E7,59856
2025-07-31,5,Coahuila,hombres,E8,58144
2025-07-31,5,Coahuila,hombres,E9,53282
2025-07-31,5,Coahuila,mujeres,E1,129
