archivo_origen,anio,mes,entidad,sexo,modalidad,sector,personas
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,98137
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,96346
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,94178
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,83224
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Veracruz,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,68540
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Oaxaca,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,65700
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,61953
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,54289
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guerrero,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,53744
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,50168
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Jalisco,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,49819
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,49074
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Puebla,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,48891
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Oaxaca,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,45190
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chiapas,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,44564
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Michoacan,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,44178
