ciclo,tipo_educativo,modalidad,escuelas,alumnos,alumnos_mujeres,alumnos_hombres,docentes
2025-2026,Todos los tipos,escolarizada,259597,32143295,16229120,15914175,2055704
2025-2026,Educación Básica,escolarizada,232964,22846154,11334602,11511552,1234676
2025-2026,Educación Media Superior,escolarizada,20604,5095681,2646839,2448842,407758
2025-2026,Educación Superior,escolarizada,6029,4201460,2247679,1953781,413270
2024-2025,Todos los tipos,escolarizada,258522,32516109,16368321,16147788,2061023
2024-2025,Educación Básica,escolarizada,231913,23358341,11568033,11790308,1237782
2024-2025,Educación Media Superior,escolarizada,20624,5098014,2638043,2459971,416435
2024-2025,Educación Superior,escolarizada,5985,4059754,2162245,1897509,1030185
2022-2023,Todos los tipos,escolarizada,256383,33145240,16631917,16513323,2030790
2022-2023,Educación Básica,escolarizada,229691,24109222,11918332,12190890,1224351
2022-2023,Educación Media Superior,escolarizada,20759,5003087,2582177,2420910,412151
2022-2023,Educación Superior,escolarizada,5933,4032931,2131408,1901523,727398
