archivo_origen,CVEENT,entidad,beneficiarios,intervenciones,dependencias,padrones,programas,periodo,periodo_cve,trimestre,anio,fecha,entidad_etiqueta,entidad_etq
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,1,AGUASCALIENTES,166587,1851607.0,4,7,6,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,AGUASCALIENTES,Aguascalientes
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,2,BAJA CALIFORNIA,315362,1753509.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,BAJA CALIFORNIA,Baja California
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,3,BAJA CALIFORNIA SUR,84461,1088554.0,4,6,6,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,BAJA CALIFORNIA SUR,Baja California Sur
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,4,CAMPECHE,262747,1274514.0,6,10,9,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,CAMPECHE,Campeche
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,5,COAHUILA DE ZARAGOZA,532366,2272147.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,COAHUILA,Coahuila
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,6,COLIMA,106457,1061016.0,5,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,COLIMA,Colima
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,7,CHIAPAS,2757506,8945080.0,6,9,9,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,CHIAPAS,Chiapas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,8,CHIHUAHUA,597040,3540028.0,6,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,CHIHUAHUA,Chihuahua
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,9,CIUDAD DE MÉXICO,1632578,33391974.0,5,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,CIUDAD DE MÉXICO,Ciudad de México
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,10,DURANGO,593187,4609240.0,7,9,9,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,DURANGO,Durango
