anio,cve_geo,entidad,poblacion_total,poblacion_65_mas,edad_escolar_3_14,razon_dependencia
2018,1,Aguascalientes,1413003,85087,325918,53.1000
2018,2,Baja California,3674434,211519,751478,44.3800
2018,3,Baja California Sur,780416,42681,163865,45.4500
2018,4,Campeche,932320,62651,202884,50.6800
2018,5,Coahuila,3126107,206888,687753,51.4100
2018,6,Colima,736743,54950,151731,48.3800
2018,7,Chiapas,5582946,309815,1479765,64.6400
2018,8,Chihuahua,3735414,250203,815649,49.9500
2018,9,Ciudad de México,9296268,931819,1474314,41.7900
2018,10,Durango,1833514,130202,429827,56.6100
2018,11,Guanajuato,6156841,417146,1379233,52.9900
2018,12,Guerrero,3611193,287979,881606,62.8700
2018,13,Hidalgo,3053548,236118,676707,53.0500
2018,14,Jalisco,8325605,612422,1801653,51.9800
2018,15,Estado de México,17005733,1113449,3532637,47.2900
2018,16,Michoacán,4769382,383400,1085797,57.3500
2018,17,Morelos,1980405,170368,404796,50.6600
2018,18,Nayarit,1230058,98397,277131,54.9500
2018,19,Nuevo León,5657159,386002,1148721,47.4300
2018,20,Oaxaca,4151349,359567,972152,60.2700
2018,21,Puebla,6558654,463046,1499422,55.1900
2018,22,Querétaro,2298993,137362,486209,47.9700
2018,23,Quintana Roo,1767057,69525,371297,43.2700
2018,24,San Luis Potosí,2837201,231802,626201,54.8600
2018,25,Sinaloa,3055044,243706,644668,51.3100
2018,26,Sonora,2960783,211709,632565,49.6200
2018,27,Tabasco,2444325,154878,557335,52.8400
2018,28,Tamaulipas,3556359,260602,757444,50.1800
2018,29,Tlaxcala,1345021,90423,301068,52.7300
2018,30,Veracruz,8203798,734940,1715991,52.5400
2018,31,Yucatán,2282762,178539,464650,49.0900
2018,32,Zacatecas,1633390,130331,383067,59.1900
2019,1,Aguascalientes,1436338,89164,326349,52.5800
2019,2,Baja California,3767720,224128,752044,43.5000
2019,3,Baja California Sur,797758,44719,165363,45.0100
2019,4,Campeche,936190,64824,202235,50.3700
2019,5,Coahuila,3162465,214249,687488,51.0300
2019,6,Colima,741130,57524,150160,48.1200
