anio,poblacion_total,poblacion_65_mas,razon_dependencia,razon_dependencia_adulta,razon_dependencia_infantil,tasa_global_fecundidad,esperanza_vida,indice_envejecimiento,edad_escolar_preescolar,edad_escolar_primaria,edad_escolar_secundaria,edad_escolar_media_superior,edad_escolar_superior
2018,125995825,9257526,51.3500,11.1200,40.2300,2.0300,74.8800,27.6400,6612325,13669250,6801959,6872256,15767176
2019,127215666,9602115,50.8600,11.3900,39.4700,2.0200,74.8400,28.8500,6536063,13591123,6806052,6821526,15772576
2020,128209170,9860625,50.3500,11.5600,38.7900,1.9900,68.9100,29.8100,6444496,13486559,6823746,6782179,15767615
2021,128982939,10027670,49.8100,11.6500,38.1600,1.9700,68.7600,30.5200,6360309,13360495,6842366,6765987,15754626
2022,129960600,10325860,49.3400,11.8700,37.4700,1.9400,75.1700,31.6600,6303825,13211605,6844696,6772061,15739525
2023,131135337,10760014,48.9500,12.2200,36.7300,1.9100,75.3200,33.2800,6273567,13049252,6817639,6791926,15717227
2024,132274416,11217534,48.5900,12.6000,35.9900,1.8900,75.5000,35.0100,6250893,12900384,6759703,6812238,15680624
2025,133367428,11698499,48.2800,13.0100,35.2800,1.8600,75.6700,36.8700,6213600,12770917,6685019,6815638,15636825
2026,134407258,12201321,48.0400,13.4400,34.6000,1.8400,75.8600,38.8400,6158679,12650708,6612034,6789008,15602439
2027,135391662,12724222,47.8700,13.9000,33.9700,1.8200,76.0400,40.9100,6090638,12543294,6545918,6730986,15586169
2028,136321595,13266557,47.7600,14.3800,33.3800,1.8000,76.2300,43.0700,6021140,12448008,6472046,6655914,15580208
2029,137200808,13827316,47.7100,14.8900,32.8200,1.7800,76.4100,45.3500,5955818,12361087,6381861,6582443,15566258
2030,138033990,14403025,47.7000,15.4100,32.2900,1.7600,76.6000,47.7300,5888528,12268805,6297475,6515920,15528890
