archivo_origen,entidad_federativa,mujeres,hombres,no_binario,total,menor_018_anios,18_29_anios,30_39_anios,40_49_anios,50_59_anios,60_69_anios,70_79_anios,80_mas_anios
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Baja California,440441,388905,2,829348,160225,159394,115556,106988,98052,82149,75783,31201
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Baja California Sur,88472,79301,0,167773,38856,31136,26616,24930,20678,13086,8498,3973
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Campeche,219724,199216,0,418940,105442,75982,69788,58990,46773,31219,20168,10578
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Chiapas,1778408,1602244,0,3380652,797049,760649,570183,459227,333515,222541,146525,90963
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Colima,120012,105076,0,225088,51034,40865,33261,31008,26171,20105,14934,7710
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Ciudad de Mexico,1198765,994868,9,2193642,408253,347440,330715,314667,292762,220789,173909,105107
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Guerrero,1094516,978162,1,2072679,532874,442320,317204,250402,199155,144400,106891,79433
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Hidalgo,798324,680646,0,1478970,332668,256952,227407,214941,178636,124140,88919,55307
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Mexico,3133822,2528222,1,5662045,1370823,995194,904576,817429,668422,448726,304365,152510
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Michoacan,1202475,1103813,1,2306289,492969,484014,365991,288428,235623,182473,157972,98819
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Morelos,418781,360194,0,778975,180283,147721,123824,107344,87710,62105,45254,24734
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Nayarit,212379,201161,1,413541,97360,73813,60764,53418,46523,35825,28936,16902
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Oaxaca,1253572,1083035,0,2336607,474137,451618,352851,312636,256538,199167,158656,131004
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Puebla,1751503,1438807,2,3190312,791942,634257,499491,427466,323838,230921,174789,107608
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Quintana Roo,245680,209190,0,454870,110925,83398,75576,68721,53273,32915,21236,8826
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,San Luis Potosi,631602,569217,0,1200819,268418,240820,188936,151204,129154,95586,73905,52796
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Sinaloa,401965,379983,0,781948,186068,134624,114372,106042,90649,65103,53389,31701
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Sonora,345085,310114,0,655199,138372,125243,90712,83582,75123,61014,53593,27560
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Tabasco,666217,556597,1,1222815,279526,214635,192141,182535,144086,103872,68270,37750
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Tamaulipas,582153,510058,0,1092211,229445,200052,155447,144406,130877,99703,81745,50536
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Tlaxcala,355351,290860,0,646211,161964,114413,102781,95785,76493,47830,29071,17874
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Veracruz,1872162,1619544,2,3491708,697600,673885,531716,480818,423299,313889,236161,134340
imssb_sin_seguridad_social__Personas_sin_seguridad_social_con_registro_e.csv,Zacatecas,391433,358922,0,750355,181643,125679,101717,96253,86802,66376,55579,36306
