nivel,cambio,clave,mdp_2024,mdp_2025
ramo,aparece en 2025,27 Anticorrupción y Buen Gobierno,,1699.0
ramo,aparece en 2025,"38 Ciencia, Humanidades, Tecnología e Innovación",,33295.9
ramo,aparece en 2025,54 Mujeres,,2093.5
ramo,aparece en 2025,55 Agencia de Transformación Digital y Telecomunicaciones,,3010.2
ramo,desaparece en 2025,27 Función Pública,1636.6,
ramo,desaparece en 2025,"38 Humanidades, Ciencias, Tecnologías e Innovación",33170.7,
programa presupuestario,aparece en 2025,F009,,1106.4
programa presupuestario,aparece en 2025,K019,,6437.5
programa presupuestario,aparece en 2025,R120,,4700.0
programa presupuestario,aparece en 2025,U316,,15000.0
programa presupuestario,aparece en 2025,U317,,2000.0
programa presupuestario,desaparece en 2025,E029,68.8,
programa presupuestario,desaparece en 2025,G009,10.3,
programa presupuestario,desaparece en 2025,K003,7471.6,
programa presupuestario,desaparece en 2025,K005,289.7,
programa presupuestario,desaparece en 2025,K009,1170.0,
programa presupuestario,desaparece en 2025,K022,515.2,
programa presupuestario,desaparece en 2025,K026,2.4,
programa presupuestario,desaparece en 2025,K028,324.2,
programa presupuestario,desaparece en 2025,K031,1704.0,
programa presupuestario,desaparece en 2025,K033,524.1,
programa presupuestario,desaparece en 2025,K037,1977.5,
programa presupuestario,desaparece en 2025,K039,500.0,
programa presupuestario,desaparece en 2025,K045,139.9,
programa presupuestario,desaparece en 2025,K048,1349.4,
programa presupuestario,desaparece en 2025,K111,591.5,
programa presupuestario,desaparece en 2025,R025,16.4,
programa presupuestario,desaparece en 2025,S038,21623.7,
programa presupuestario,desaparece en 2025,S281,371.1,
unidad responsable,aparece en 2025,100 Presidencia de la Comisión Federal de Competencia Económica,,2.8
unidad responsable,aparece en 2025,110 Secretaría Ejecutiva de la CIBIOGEM,,6.6
unidad responsable,aparece en 2025,"110 Unidad de Planeación, Vinculación y Asuntos Internacionales",,21.5
unidad responsable,aparece en 2025,112 Órgano Interno de Control de la Secretaría,,32.4
unidad responsable,aparece en 2025,"120 Dirección General Jurídica, Cumplimiento Normativo y Gobernanza Tecnológica",,44.1
unidad responsable,aparece en 2025,120 Dirección General de Administración,,25.5
unidad responsable,aparece en 2025,120 Dirección General de Comunicación Social,,51.7
unidad responsable,aparece en 2025,120 Dirección General de Concertación Social,,32.0
unidad responsable,aparece en 2025,120 Unidad de Políticas Anticorrupción,,59.0
unidad responsable,aparece en 2025,130 Coordinación General de Vinculación y Seguimiento,,307.2
unidad responsable,aparece en 2025,130 Coordinación General de Vinculación con la Sociedad,,15.7
unidad responsable,aparece en 2025,147 Dirección General de Veterinaria y Remonta,,117.8
unidad responsable,aparece en 2025,200 Coordinación General de Fiscalización,,10.2
unidad responsable,aparece en 2025,200 Subsecretaría de Ciencia y Humanidades,,847.0
unidad responsable,aparece en 2025,200 Subsecretaría de Igualdad Sustantiva,,419.6
unidad responsable,aparece en 2025,201 Unidad para la Atención de Grupos Prioritarios,,532574.1
unidad responsable,aparece en 2025,210 Dirección General de Asuntos Contenciosos,,11.1
unidad responsable,aparece en 2025,210 Dirección General de Investigación Científica y Humanística,,18.8
unidad responsable,aparece en 2025,212 Unidad de Planeación y Fiscalización del Patrimonio Público Federal,,12.5
unidad responsable,aparece en 2025,215 Dirección General de Desarrollo Ferroviario y Multimodal,,92028.2
unidad responsable,aparece en 2025,220 Dirección General de Becas y Apoyos a la Comunidad Científica y Humanística,,24359.9
unidad responsable,aparece en 2025,220 Dirección General de Mercados Digitales,,3.5
unidad responsable,aparece en 2025,230 Dirección General de Promoción e Incidencia de la Ciencia y las Humanidades,,14.5
unidad responsable,aparece en 2025,300 Coordinación General de Combate a la Impunidad,,0.8
unidad responsable,aparece en 2025,300 Subsecretaría de Comunicaciones y Transportes ,,123.1
unidad responsable,aparece en 2025,"300 Subsecretaría de Desarrollo Tecnológico, Vinculación e Innovación",,564.0
unidad responsable,aparece en 2025,300 Subsecretaría del Derecho a una Vida Libre de Violencias,,846.0
unidad responsable,aparece en 2025,"310 Dirección General de Desarrollo, Transferencia de Tecnología e Innovación",,16.6
unidad responsable,aparece en 2025,314 Dirección General de Políticas de Telecomunicaciones y Radiodifusión,,56.9
unidad responsable,aparece en 2025,"314 Secciones Mexicanas de las Comisiones Internacionales de Límites y Aguas entre México y Guatemala, y entre México y Belize",,21.4
