concepto,mdp_2024_aprobado,mdp_2024_estimado,mdp_2025,pib_2024_aprobado,pib_2024_estimado,pib_2025,var_real_vs_aprobado,var_real_vs_estimado
RFSP,-1864872.3,-1989921.3,-1428348.1,-5.4,-5.9,-3.9,-26.5,-31.1
Recursos financieros extrapresupuestarios,-171872.3,-296921.3,-257781.7,-0.5,-0.9,-0.7,43.9,-16.7
Balance presupuestario,-1693000.0,-1693000.0,-1170566.5,-4.9,-5.0,-3.2,-33.7,-33.7
Ingresos presupuestarios,7328995.2,7483225.4,8055649.4,21.3,22.1,22.3,5.4,3.3
Ingresos petroleros,1048069.4,1050436.5,1142021.5,3.0,3.1,3.2,4.5,4.3
Ingresos no petroleros,6280925.8,6432789.0,6913627.9,18.3,19.0,19.1,5.6,3.1
Gobierno Federal (no petroleros),5203187.3,5256295.9,5670839.1,15.1,15.5,15.7,4.5,3.5
Tributarios,4941540.8,4931100.0,5296426.4,14.4,14.5,14.6,2.8,3.0
No tributarios,261646.5,325195.9,374412.7,0.8,1.0,1.0,37.3,10.4
Organismos y empresas,1077738.5,1176493.1,1242788.8,3.1,3.5,3.4,10.6,1.3
Gasto neto pagado,9021995.2,9176225.4,9226215.8,26.2,27.0,25.5,-1.9,-3.6
Gasto programable pagado,6451161.3,6676688.8,6451831.3,18.8,19.7,17.8,-4.1,-7.3
Diferimiento de pagos,-44050.6,-44050.6,-75800.0,-0.1,-0.1,-0.2,65.1,65.1
Gasto programable devengado,6495211.9,6720739.4,6527631.3,18.9,19.8,18.0,-3.6,-6.8
Gasto no programable,2570833.8,2499536.6,2774384.5,7.5,7.4,7.7,3.5,6.5
Costo financiero,1263994.1,1227881.6,1388373.6,3.7,3.6,3.8,5.4,8.5
Participaciones,1262789.1,1239604.3,1340210.9,3.7,3.7,3.7,1.8,3.7
Adefas,44050.6,32050.6,45800.0,0.1,0.1,0.1,-0.3,37.1
Balance primario presupuestario,-429005.9,-465118.3,217807.2,-1.2,-1.4,0.6,,
SHRFSP,16787906.1,17440245.8,18591005.5,48.8,51.4,51.4,6.2,2.3
