concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
FONE TOTAL,496792.7,521406.5,24613.8,3251.7,0.6
-- por entidad federativa --,,,,,
15 Estado de México,49009.1,46705.0,-2304.1,-4411.5,-8.6
30 Veracruz,36335.3,35935.7,-399.5,-1962.0,-5.2
20 Oaxaca,31126.2,30853.4,-272.8,-1611.3,-5.0
14 Jalisco,24740.3,26629.8,1889.6,825.7,3.2
12 Guerrero,24412.3,26504.6,2092.3,1042.6,4.1
07 Chiapas,24657.5,26183.8,1526.3,466.1,1.8
16 Michoacán,23857.4,25406.0,1548.5,522.7,2.1
21 Puebla,22799.5,24339.4,1539.9,559.5,2.4
11 Guanajuato,20543.9,21909.6,1365.7,482.3,2.3
13 Hidalgo,18941.7,20612.9,1671.2,856.7,4.3
19 Nuevo León,18703.0,20045.2,1342.3,538.0,2.8
28 Tamaulipas,16634.5,17839.5,1205.1,489.8,2.8
08 Chihuahua,16202.3,17459.3,1257.1,560.4,3.3
24 San Luis Potosí,15114.5,16415.1,1300.6,650.6,4.1
02 Baja California,14267.3,15115.1,847.8,234.3,1.6
25 Sinaloa,13856.9,14780.4,923.6,327.7,2.3
05 Coahuila,13603.9,14526.9,923.0,338.1,2.4
26 Sonora,11304.9,12080.1,775.2,289.1,2.5
10 Durango,10142.5,11013.9,871.4,435.3,4.1
17 Morelos,9535.4,10279.9,744.5,334.5,3.4
27 Tabasco,9670.4,10267.9,597.5,181.7,1.8
32 Zacatecas,9187.4,9876.1,688.7,293.7,3.1
22 Querétaro,8814.3,9450.5,636.2,257.1,2.8
31 Yucatán,8202.8,8806.4,603.7,250.9,2.9
01 Aguascalientes,7798.6,8355.9,557.2,221.9,2.7
23 Quintana Roo,7362.5,7849.6,487.1,170.5,2.2
29 Tlaxcala,7133.5,7650.1,516.6,209.9,2.8
18 Nayarit,6835.0,7386.7,551.7,257.8,3.6
03 Baja California Sur,5930.7,6293.9,363.1,108.1,1.7
04 Campeche,5613.6,6028.5,414.9,173.5,3.0
06 Colima,4413.2,4761.2,348.0,158.2,3.4
34 No Distribuible Geográficamente,42.6,44.2,1.6,-0.2,-0.4
