concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
2.6,1917554.8,2078757.6,161202.7,78747.9,3.9
4.2,1262789.1,1340210.9,77421.8,23121.9,1.8
4.1,1023011.5,1149551.6,126540.1,82550.6,7.7
2.5,1032621.4,1084590.9,51969.4,7566.7,0.7
2.2,333451.6,372916.8,39465.2,25126.8,7.2
2.3,439024.9,326133.5,-112891.4,-131769.5,-28.8
3.3,264603.7,242430.5,-22173.2,-33551.1,-12.2
3.5,212619.2,214635.9,2016.7,-7125.9,-3.2
1.6,150602.8,139011.9,-11590.9,-18066.8,-11.5
1.2,135515.6,128794.2,-6721.4,-12548.5,-8.9
3.2,90323.1,71802.6,-18520.6,-22404.5,-23.8
3.8,60385.7,60798.3,412.6,-2184.0,-3.5
1.5,81656.8,54494.1,-27162.7,-30674.0,-36.0
1.7,88200.2,53102.5,-35097.7,-38890.3,-42.3
4.3,62489.4,52451.9,-10037.5,-12724.6,-19.5
4.4,44050.6,45800.0,1749.4,-144.8,-0.3
1.3,45022.0,38738.9,-6283.1,-8219.1,-17.5
3.1,64048.4,32606.7,-31441.7,-34195.8,-51.2
2.4,24541.9,23117.4,-1424.5,-2479.8,-9.7
3.9,22103.9,22955.0,851.0,-99.5,-0.4
1.8,21171.5,17693.9,-3477.6,-4388.0,-19.9
1.1,16760.6,17529.1,768.4,47.7,0.3
2.1,17763.3,17508.9,-254.4,-1018.2,-5.5
1.4,9994.5,9294.2,-700.3,-1130.1,-10.8
3.6,6265.8,3521.8,-2744.0,-3013.4,-46.1
2.7,2355.8,3463.3,1107.5,1006.2,41.0
3.7,2458.9,1873.3,-585.6,-691.3,-27.0
3.4,184.0,176.9,-7.1,-15.0,-7.8
