concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
19 Aportaciones a Seguridad Social,1421823.7,1480920.4,59096.7,-2041.7,-0.1
28 Participaciones a Entidades Federativas y Municipios,1262789.1,1340210.9,77421.8,23121.9,1.8
24 Deuda Pública,1023011.5,1149551.6,126540.1,82550.6,7.7
33 Aportaciones Federales para Entidades Federativas y Municipios,984484.5,979951.8,-4532.7,-46865.5,-4.6
20 Bienestar,543933.0,579883.9,35950.9,12561.7,2.2
11 Educación Pública,439017.9,465871.9,26853.9,7976.2,1.7
47 Entidades no Sectorizadas,137996.6,173656.4,35659.8,29725.9,20.7
23 Provisiones Salariales y Económicas,176855.8,160078.8,-16777.0,-24381.8,-13.2
07 Defensa Nacional,259433.8,158287.8,-101146.1,-112301.7,-41.5
"09 Infraestructura, Comunicaciones y Transportes",85688.3,147511.5,61823.2,58138.6,65.1
18 Energía,167736.2,138307.4,-29428.9,-36641.5,-20.9
"25 Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",82518.5,81668.0,-850.5,-4398.8,-5.1
08 Agricultura y Desarrollo Rural,74109.6,74515.2,405.6,-2781.1,-3.6
03 Poder Judicial,78327.3,70983.6,-7343.7,-10711.7,-13.1
36 Seguridad y Protección Ciudadana,105838.8,70422.2,-35416.6,-39967.7,-36.2
12 Salud,96990.0,66693.2,-30296.8,-34467.4,-34.1
13 Marina,71888.2,65888.7,-5999.5,-9090.7,-12.1
34 Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,62489.4,52451.9,-10037.5,-12724.6,-19.5
30 Adeudos de Ejercicios Fiscales Anteriores,44050.6,45800.0,1749.4,-144.8,-0.3
16 Medio Ambiente y Recursos Naturales,70245.5,44370.5,-25875.0,-28895.5,-39.4
"15 Desarrollo Agrario, Territorial y Urbano",12880.3,38048.0,25167.8,24613.9,183.2
"38 Ciencia, Humanidades, Tecnología e Innovación",0.0,33295.9,33295.9,33295.9,
14 Trabajo y Previsión Social,28603.2,27830.2,-772.9,-2002.9,-6.7
22 Instituto Nacional Electoral,32767.0,27000.1,-5767.0,-7176.0,-21.0
06 Hacienda y Crédito Público,28320.8,26732.7,-1588.1,-2805.9,-9.5
49 Fiscalía General de la República,19333.4,20126.0,792.6,-38.7,-0.2
01 Poder Legislativo,16760.6,17529.1,768.4,47.7,0.3
48 Cultura,16754.9,15081.5,-1673.4,-2393.9,-13.7
40 Información Nacional Estadística y Geográfica,14245.3,12245.3,-2000.0,-2612.5,-17.6
05 Relaciones Exteriores,9994.5,9294.2,-700.3,-1130.1,-10.8
04 Gobernación,10868.8,9177.9,-1690.9,-2158.3,-19.0
10 Economía,3960.4,3533.5,-427.0,-597.3,-14.5
32 Tribunal Federal de Justicia Administrativa,3304.5,3304.5,0.0,-142.1,-4.1
55 Agencia de Transformación Digital y Telecomunicaciones,0.0,3010.2,3010.2,3010.2,
54 Mujeres,0.0,2093.5,2093.5,2093.5,
21 Turismo,1973.7,1774.9,-198.8,-283.7,-13.8
35 Comisión Nacional de los Derechos Humanos,1722.1,1722.4,0.2,-73.8,-4.1
27 Anticorrupción y Buen Gobierno,0.0,1699.0,1699.0,1699.0,
31 Tribunales Agrarios,959.0,891.8,-67.2,-108.4,-10.8
02 Oficina de la Presidencia de la República,924.1,823.5,-100.6,-140.3,-14.6
43 Instituto Federal de Telecomunicaciones,1680.0,500.0,-1180.0,-1252.2,-71.5
"44 Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",1097.4,500.0,-597.4,-644.5,-56.3
41 Comisión Federal de Competencia Económica,687.9,199.9,-488.0,-517.6,-72.1
45 Comisión Reguladora de Energía,285.5,199.9,-85.7,-97.9,-32.9
46 Comisión Nacional de Hidrocarburos,247.6,173.3,-74.3,-84.9,-32.9
37 Consejería Jurídica del Ejecutivo Federal,164.5,149.6,-14.9,-21.9,-12.8
27 Función Pública,1636.6,0.0,-1636.6,-1707.0,-100.0
"38 Humanidades, Ciencias, Tecnologías e Innovación",33170.7,0.0,-33170.7,-34597.1,-100.0
