clave,concepto,mdp_2024_aprobado,mdp_2025_aprobado,dif_nominal_mdp,dif_real_mdp,var_real_pct,mdp_2025_iniciativa,cambio_de_la_camara_mdp
1,Impuestos,4942030.3,5297812.9,355782.6,143275.3,2.8,5297812.9,0.0
1.11,Impuestos Sobre los Ingresos,2709899.5,2859575.1,149675.6,33149.9,1.2,2859575.1,0.0
1.13,"Impuestos Sobre la Producción, el Consumo y las Transacciones",2037929.8,2197425.8,159496.0,71865.0,3.4,2197425.8,0.0
1.14,Impuestos al Comercio Exterior,101976.3,151789.7,49813.4,45428.4,42.7,151789.7,0.0
1.17,Accesorios de impuestos,84283.0,81497.4,-2785.6,-6409.8,-7.3,81497.4,0.0
1.18,Otros impuestos,7811.0,7140.1,-670.9,-1006.8,-12.4,7140.1,0.0
2,Cuotas y Aportaciones de Seguridad Social,535254.7,603077.9,67823.2,44807.2,8.0,603077.9,0.0
2.22,Cuotas para la Seguridad Social,535254.7,603077.9,67823.2,44807.2,8.0,603077.9,0.0
3,Contribuciones de Mejoras,36.5,38.8,2.3,0.7,1.9,38.8,0.0
4,Derechos,59091.4,137500.5,78409.1,75868.2,123.1,137500.5,0.0
5,Productos,8641.6,13707.1,5065.5,4693.9,52.1,13707.1,0.0
6,Aprovechamientos,193877.0,223166.3,29289.3,20952.6,10.4,223166.3,0.0
7,"Ingresos por Ventas de Bienes, Prestación de Servicios y Otros Ingresos",1312289.4,1500579.0,188289.6,131861.2,9.6,1500579.0,0.0
9,"Transferencias, Asignaciones, Subsidios y Subvenciones, y Pensiones y",277774.3,279766.8,1992.5,-9951.8,-3.4,279766.8,0.0
0,Ingresos Derivados de Financiamientos,1737050.6,1246366.5,-490684.1,-565377.3,-31.2,1246366.5,0.0
