concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
Capitulo 6000 Inversion publica (obra) (GF + entidades),447575.3,290693.9,-156881.4,-176127.1,-37.7
Capitulo 5000 Bienes muebles e inmuebles (GF + entidades),78494.0,46296.1,-32198.0,-35573.2,-43.5
Capitulo 7000 Inversiones financieras y otras provisiones (GF + entidades),340623.7,351922.6,11298.9,-3348.0,-0.9
-- Capitulo 6000 por ramo (GF) --,,,,,
13 Marina,0.0,22058.5,22058.5,22058.5,
"09 Infraestructura, Comunicaciones y Transportes",35330.5,11833.7,-23496.9,-25016.1,-67.9
16 Medio Ambiente y Recursos Naturales,35343.4,6682.1,-28661.3,-30181.0,-81.9
01 Poder Legislativo,261.4,326.7,65.3,54.1,19.8
12 Salud,174.9,49.2,-125.7,-133.2,-73.0
03 Poder Judicial,2.9,28.6,25.7,25.6,845.9
47 Entidades no Sectorizadas,100.6,24.3,-76.3,-80.7,-76.8
32 Tribunal Federal de Justicia Administrativa,3.1,3.1,0.0,-0.1,-4.1
06 Hacienda y Crédito Público,25.1,0.0,-25.1,-26.2,-100.0
07 Defensa Nacional,92671.5,0.0,-92671.5,-96656.3,-100.0
11 Educación Pública,1170.0,0.0,-1170.0,-1220.3,-100.0
43 Instituto Federal de Telecomunicaciones,5.5,0.0,-5.5,-5.7,-100.0
49 Fiscalía General de la República,515.2,0.0,-515.2,-537.4,-100.0
