variable,2023,2024,2025,2026,2027,2028,2029,2030
"PIB, crecimiento real (rango)",3.2,"[1.5,2.5]","[2.0,3.0]","[2.0,3.0]","[2.0,3.0]","[2.0,3.0]","[2.0,3.0]","[2.0,3.0]"
PIB nominal (miles de millones de pesos),31772.4,33927.7,36166.4,38348.3,40682.5,43152.6,45789.6,48574.0
Deflactor del PIB promedio (%),4.5,4.6,4.3,3.5,3.5,3.5,3.5,3.5
Inflacion dic/dic (%),4.7,4.3,3.5,3.0,3.0,3.0,3.0,3.0
Inflacion promedio (%),5.5,4.7,3.8,3.2,3.0,3.0,3.0,3.0
Tipo de cambio fin de periodo,16.9,19.7,18.5,18.0,18.1,18.3,18.5,18.7
Tipo de cambio promedio,17.8,18.2,18.7,18.5,18.7,18.9,19.1,19.3
Cetes 28 nominal fin de periodo (%),11.3,10.0,8.0,7.0,5.5,5.5,5.5,5.5
Cetes 28 nominal promedio (%),11.1,10.7,8.9,7.4,6.2,5.5,5.5,5.5
Cetes 28 real acumulada (%),6.7,6.7,5.6,4.6,3.2,2.6,2.6,2.6
Cetes 28 real fin de periodo (%),6.3,5.4,4.4,3.9,2.4,2.4,2.4,2.4
Cetes 28 real promedio (%),5.3,5.7,4.9,4.1,3.1,2.4,2.4,2.4
Cuenta corriente (millones de dolares),-5476.7,-7097.5,-7941.0,-10359.3,-10853.3,-11395.5,-11974.6,-12579.2
Cuenta corriente (% del PIB),-0.3,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5
"Petroleo, precio promedio (dls/barril)",70.9,70.7,57.8,61.7,60.9,60.5,60.2,60.0
Plataforma de produccion (mbd),1942,1877,1891,1902,1911,1921,1930,1941
Plataforma de exportacion (mbd),1032,900,892,883,875,866,858,850
"Gas, precio promedio (dls/MMBtu)",2.5,2.2,3.1,3.6,3.6,3.6,3.4,3.4
