concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
"TOTAL funcion Salud (GF + entidades, bruto)",970522.5,888903.7,-81618.8,-123351.3,-12.2
"-- Gobierno Federal, por ramo --",,,,,
47 Entidades no Sectorizadas,128623.9,165352.2,36728.3,31197.5,23.3
33 Aportaciones Federales para Entidades Federativas y Municipios,135589.4,81220.5,-54369.0,-60199.3,-42.6
12 Salud,88916.7,59089.7,-29827.1,-33650.5,-36.3
19 Aportaciones a Seguridad Social,74226.5,9896.4,-64330.0,-67521.8,-87.2
07 Defensa Nacional,8009.4,7053.5,-955.8,-1300.2,-15.6
13 Marina,3659.0,3521.2,-137.8,-295.1,-7.7
-- Entidades de control directo --,,,,,
GYR Instituto Mexicano del Seguro Social,455245.4,481083.0,25837.6,6262.1,1.3
GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,76252.2,81687.2,5435.0,2156.1,2.7
