archivo,concepto,documento,ubicacion,tier,nota
macro_marco.csv,marco macroeconómico,CGPE 2026,"Anexo II.5, p. 83",oficial_primaria,
macro_medianoplazo.csv,mediano plazo 2025-2031,CGPE 2026,Anexos III.1 p. 86 y III.2 p. 87,oficial_primaria,
finanzas_publicas.csv,estimación de finanzas públicas 2025-2026,CGPE 2026,"Anexo II.6, p. 84",oficial_primaria,"El renglón primario está rotulado «económico» en 2026 y «presupuestario» en el CGPE 2025; difieren en 500.0 mdp, el balance no presupuestario"
gasto_ramos.csv,"gasto bruto por ramo, líneas P y G",analíticos del proyecto 2025 y 2026; PEF aprobado 2025,"cortes por programa, agregado por clave de ramo",oficial_primaria,
gasto_funcional.csv,"gasto bruto por finalidad y función, línea P",analíticos del proyecto 2025 y 2026,cortes por función,oficial_primaria,
gasto_subfuncion.csv,"gasto bruto por subfunción, línea P",analíticos del proyecto 2025 y 2026,cortes por función,oficial_primaria,
gasto_capitulo.csv,"gasto por capítulo del objeto del gasto, 2026",CSV del proyecto (datos abiertos),"columnas id_capitulo, monto_proyecto",oficial_primaria,
gasto_tipo.csv,"gasto por tipo de gasto, 2026",CSV del proyecto (datos abiertos),"columnas id_tipogasto, monto_proyecto",oficial_primaria,
gasto_obligatorios.csv,gastos obligatorios con y sin pensiones,Proyecto de Decreto de PEF 2026 y 2025,Anexo 3,oficial_primaria,La diferencia adjudica el perímetro de pensiones de la clasificación económica
gce_limite.csv,gasto corriente estructural contra su límite máximo,Decreto Anexo 2; CGPE 2026 p. 33,Anexo 2 del decreto; texto del CGPE,oficial_primaria,"El LMGCE de 2026 es 4,225.3 mmp, restituido del texto del CGPE. NO se deriva del 10.9 % del PIB de la partida informativa de III.2: ese porcentaje es informativo y redondeado. El punto de 2025 exige el LMGCE del CGPE 2025 y no se construye"
salud_ramo.csv,"función 2.3 por ramo, línea P",analíticos del proyecto 2025 y 2026,"cortes por función, GF y entidades",oficial_primaria,
educacion_ramo.csv,"función 2.5 por ramo, línea P",analíticos del proyecto 2025 y 2026,"cortes por función, GF y entidades",oficial_primaria,
ambiente_ramo.csv,"función 2.1 por ramo, línea P",analíticos del proyecto 2025 y 2026,"cortes por función, GF y entidades",oficial_primaria,
proteccion_social_ramo.csv,"función 2.6 por ramo, línea P",analíticos del proyecto 2025 y 2026,"cortes por función, GF y entidades",oficial_primaria,
seguridad_subfuncion.csv,perímetro de seguridad: quince subfunciones de cinco funciones,analíticos del proyecto 2025 y 2026,cortes por función,oficial_primaria,"En 2026 la Guardia Nacional pasa del Ramo 36 al Ramo 07, función 1.7: el perímetro no cambia, el reparto civil-militar sí"
pensiones_tg4.csv,gasto de tipo 4 (pensiones) por institución y ramo,analíticos del proyecto 2025 y 2026,columna TG = 4,oficial_primaria,BRUTO: el Ramo 19 y las entidades cuentan el mismo dinero dos veces; el perímetro se adjudica con el Anexo 3
pensiones_no_contributivas.csv,pensiones no contributivas por clave de programa,analíticos del proyecto 2025 y 2026,"claves S176, S286 y S316",oficial_primaria,"Seleccion por el NUMERO de programa, no por el codigo completo: la Pension Mujeres Bienestar pasa de U316 a S316 y un filtro por codigo completo la pierde"
transversales.csv,"anexos transversales del proyecto, monto y participación",CSV de anexos transversales del PPEF (datos abiertos),"id_transversal, monto_ppef",oficial_primaria,
transversal_igualdad.csv,composición del anexo de igualdad entre mujeres y hombres,CSV de anexos transversales del PPEF,id_transversal = 4,oficial_primaria,El 48.1 % del anexo son programas de pensión
transversales_traslape.csv,programas que aparecen en más de un anexo transversal,CSV de anexos transversales del PPEF,conteo de id_transversal por programa,oficial_primaria,170 de 288 programas aparecen en más de un anexo
ingresos_art1o.csv,"ingresos por renglon del articulo 1o., linea P",ILIF 2026 e ILIF 2025,articulo 1o. de cada iniciativa,oficial_primaria,"Ex ante contra ex ante: las dos columnas son iniciativa, no ley aprobada. Cotejadas linea por linea contra los dos PDF el 2026-09-07"
ingresos_financiamiento.csv,pesos de cada 100 que provienen de financiamiento,ILIF 2026 y 2025,numeral 0 sobre el total del articulo 1o.,oficial_primaria,
flujos.csv,los tres flujos con su nombre correcto,CGPE 2026,Anexos II.6 p. 84 y III.2 p. 87,oficial_primaria,"El primario esta rotulado economico en 2026 y presupuestario en 2025: 500.0 mdp de diferencia, que es el balance no presupuestario"
acervos.csv,los tres acervos,CGPE 2026,Anexos II.6 y III.2,oficial_primaria,
descomposicion.csv,descomposicion del cambio de SHRFSP/PIB en cuatro variables,CGPE 2026 Anexos III.1 y III.2,calculo propio,autoral_ited,"Convencion 17 del pacto: la compensacion por inflacion se presenta como RANGO con su cota declarada, nunca como punto"
inversion_agregados.csv,inversion por capitulo del objeto del gasto,CSV del proyecto (datos abiertos),id_capitulo 6000 y 7000,oficial_primaria,
inversion_cartera.csv,los cuarenta proyectos mayores de la cartera de inversion,CSV del proyecto (datos abiertos),id_clave_cartera,oficial_primaria,"Ruta que sustituye al Tomo VIII, que no esta en carpeta"
