RAMO_K,mdp_2025,mdp_2026,dif_nominal,dif_real,var_real_pct,estado,nivel,NOMBRE_RAMO,NOMBRE_PP,NOMBRE_UR,PP_K,UR_K,F_K,FN_K,SF_K,NOMBRE_FN
47,174623.0,8365.5,-166257.5,-174639.4,-95.4,continúa,ramo,47 Entidades no Sectorizadas,001 Actividades de apoyo a la función pública y buen gobierno,MDL Instituto Mexicano de la Radio,,,,,,
22,40476.1,22837.2,-17638.8,-19581.7,-46.2,continúa,ramo,22 Instituto Nacional Electoral,011 Tecnologías de información y comunicaciones,300 Juntas Distritales Ejecutivas,,,,,,
34,52451.9,35553.4,-16898.5,-19416.2,-35.3,continúa,ramo,34 Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,011 I P A B,210 Unidad de Crédito Público y Asuntos Internacionales de Hacienda,,,,,,
36,70422.2,60110.9,-10311.3,-13691.6,-18.6,continúa,ramo,36 Seguridad y Protección Ciudadana,001 Actividades de apoyo administrativo,143 Dirección General de Programación y Presupuesto,,,,,,
15,38048.0,36290.1,-1757.9,-3584.2,-9.0,continúa,ramo,"15 Desarrollo Agrario, Territorial y Urbano",001 Obligaciones jurídicas Ineludibles,110 Unidad de Asuntos Jurídicos,,,,,,
43,1680.0,0.0,-1680.0,-1760.6,-100.0,desaparece,ramo,43 Instituto Federal de Telecomunicaciones,001 Actividades de apoyo a la función pública y buen gobierno,300 Órgano Interno de Control,,,,,,
44,994.0,0.0,-994.0,-1041.7,-100.0,desaparece,ramo,"44 Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",001 Actividades de apoyo a la función pública y buen gobierno,500 Contraloría Interna,,,,,,
41,687.9,0.0,-687.9,-720.9,-100.0,desaparece,ramo,41 Comisión Federal de Competencia Económica,001 Actividades de Apoyo a la Función Pública y Buen Gobierno,500 Contraloría Interna de la Comisión Federal de Competencia Económica,,,,,,
01,18069.6,17529.1,-540.5,-1407.8,-7.4,continúa,ramo,01 Poder Legislativo,"002 Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",101 Auditoría Superior de la Federación,,,,,,
40,12245.3,11807.5,-437.8,-1025.6,-8.0,continúa,ramo,40 Información Nacional Estadística y Geográfica,001 Actividades de apoyo a la función pública y buen Gobierno,100 Instituto Nacional de Estadística y Geografía,,,,,,
04,10304.8,9959.7,-345.1,-839.7,-7.8,continúa,ramo,04 Gobernación,001 Actividades de apoyo a la función pública y buen gobierno,EZQ Consejo Nacional para Prevenir la Discriminación,,,,,,
16,44370.5,44064.1,-306.4,-2436.2,-5.2,continúa,ramo,16 Medio Ambiente y Recursos Naturales,001 Actividades de apoyo a la función pública y buen gobierno,RJJ Instituto Nacional de Ecología y Cambio Climático,,,,,,
45,199.9,0.0,-199.9,-209.4,-100.0,desaparece,ramo,45 Comisión Reguladora de Energía,001 Actividades de apoyo administrativo,500 Unidad de Administración y Finanzas,,,,,,
