concepto,mdp_2025_aprobado,mdp_2025_estimado,mdp_2026,pct_pib_2025_aprobado,pct_pib_2025_estimado,pct_pib_2026
RFSP,-1428348.1,-1559905.4,-1587349.9,-3.9,-4.3,-4.1
Requerimientos financieros extrapresupuestarios,-257781.7,-257781.7,-193579.3,-0.7,-0.7,-0.5
Balance presupuestario,-1170566.5,-1302123.7,-1393770.6,-3.2,-3.6,-3.6
Ingresos presupuestarios,8055649.4,7924967.5,8721057.3,22.3,21.9,22.5
Ingresos petroleros,1142021.5,966864.4,1204277.7,3.2,2.7,3.1
Ingresos no petroleros,6913627.9,6958103.0,7516779.6,19.1,19.3,19.4
Gobierno Federal (no petroleros),5670839.1,5728867.9,6215701.1,15.7,15.9,16.1
Tributarios,5296426.4,5337702.5,5838571.0,14.6,14.8,15.1
No tributarios,374412.7,391165.4,377130.1,1.0,1.1,1.0
Organismos y empresas,1242788.8,1229235.2,1301078.5,3.4,3.4,3.4
Gasto neto pagado,9226215.8,9227091.2,10114827.9,25.5,25.5,26.1
Gasto programable pagado,6451831.3,6465235.1,7015853.1,17.8,17.9,18.1
Diferimiento de pagos,-75800.0,-75800.0,-78855.7,-0.2,-0.2,-0.2
Gasto programable devengado,6527631.3,6541035.1,7094708.8,18.0,18.1,18.3
Gasto no programable,2774384.5,2761856.1,3098974.9,7.7,7.6,8.0
Costo financiero,1388373.6,1375947.3,1572073.3,3.8,3.8,4.1
Participaciones,1340210.9,1350108.8,1456045.9,3.7,3.7,3.8
Adefas,45800.0,35800.0,70855.7,0.1,0.1,0.2
Superávit económico primario,218307.2,74323.6,178802.6,0.6,0.2,0.5
SHRFSP,18591005.5,18903594.9,20259590.7,51.4,52.3,52.3
