F_K,FN_K,SF_K,mdp_2025_proyecto,mdp_2026,dif_nominal,var_real_pct
1,1,1,14830.39,14706.49,-123.90,-5.38
1,1,2,3239.19,2822.59,-416.60,-16.85
1,2,1,91237.68,92273.79,1036.11,-3.50
1,2,2,21227.75,21986.98,759.23,-1.17
1,2,3,25242.78,26789.88,1547.10,1.27
1,2,4,5040.93,5361.92,320.99,1.50
1,3,1,867.64,800.46,-67.18,-11.97
1,3,2,4230.51,4450.72,220.21,0.39
1,3,3,115.82,218.84,103.02,80.29
1,3,4,6312.58,5033.55,-1279.04,-23.91
1,3,5,149.62,153.15,3.52,-2.33
1,3,6,40476.06,22837.22,-17638.84,-46.16
1,3,7,2206.24,2534.25,328.01,9.61
1,3,9,977.56,947.68,-29.88,-7.50
1,4,1,9294.17,9294.17,-0.00,-4.58
1,5,1,2916.69,5349.76,2433.06,75.02
1,5,2,57252.41,58401.03,1148.62,-2.67
1,6,1,96411.79,100483.34,4071.55,-0.55
1,6,2,34303.93,34177.46,-126.48,-4.93
1,6,3,2759.99,3863.39,1103.39,33.57
1,7,1,35951.48,28214.10,-7737.38,-25.12
1,7,2,176.05,231.08,55.03,25.25
1,7,3,5578.35,23819.41,18241.05,307.44
1,7,4,11396.61,11867.74,471.12,-0.64
1,8,2,12245.30,11807.50,-437.80,-7.99
1,8,3,997.66,1098.31,100.65,5.05
1,8,4,971.84,0.00,-971.84,-100.00
1,8,5,3984.07,590.28,-3393.80,-85.86
2,1,2,10244.09,5399.76,-4844.33,-49.70
2,1,3,3003.64,7138.37,4134.73,126.77
2,1,5,1001.06,1002.27,1.20,-4.47
2,1,6,3260.10,3434.63,174.52,0.53
2,2,1,3721.83,1237.33,-2484.50,-68.28
2,2,3,19194.27,17560.24,-1634.03,-12.70
2,2,5,32129.17,33472.34,1343.17,-0.59
2,2,7,317871.57,346633.02,28761.45,4.05
2,3,1,23996.14,18643.85,-5352.29,-25.86
2,3,2,817293.80,886712.04,69418.24,3.52
2,3,3,18851.60,16212.81,-2638.79,-17.94
2,3,4,10043.67,34880.83,24837.16,231.39
2,3,5,18341.91,17852.70,-489.22,-7.13
2,4,1,2619.34,2562.06,-57.28,-6.67
2,4,2,16910.70,18579.32,1668.63,4.84
2,5,1,690468.89,766810.56,76341.66,5.97
2,5,2,151771.39,152047.21,275.82,-4.41
2,5,3,159807.90,170612.82,10804.92,1.87
2,5,4,9430.26,10819.55,1389.29,9.48
2,5,5,5640.50,5699.77,59.27,-3.58
2,5,6,54830.87,55872.54,1041.67,-2.77
2,6,1,37641.70,42072.68,4430.98,6.65
2,6,2,2657844.70,2758176.29,100331.59,-0.98
2,6,3,20299.84,21114.28,814.44,-0.75
2,6,6,1009.08,995.93,-13.15,-5.82
2,6,7,4843.92,5038.94,195.03,-0.74
2,6,8,602889.65,699616.34,96726.69,10.73
2,6,9,247693.88,266447.59,18753.70,2.64
2,7,1,2356.96,2879.05,522.09,16.56
3,1,1,6239.61,6738.80,499.19,3.05
3,1,2,26837.34,27543.42,706.08,-2.07
3,2,1,61833.73,62269.88,436.15,-3.91
3,2,2,2577.65,2565.26,-12.39,-5.04
3,2,3,2217.01,2361.47,144.46,1.64
3,2,5,4674.18,6587.82,1913.64,34.49
3,3,2,763060.64,984734.52,221673.89,23.14
3,3,3,107.05,161.25,54.21,43.74
3,3,4,927.86,2519.26,1591.40,159.08
3,3,5,609170.59,627391.40,18220.81,-1.73
3,4,1,176.91,167.66,-9.25,-9.57
3,5,1,37119.51,53527.66,16408.16,37.60
3,5,2,332.02,2379.99,2047.97,583.98
3,5,3,158106.08,146386.09,-11719.99,-11.65
3,5,4,4941.78,5740.67,798.89,10.85
3,5,6,3416.08,2431.40,-984.68,-32.08
3,6,1,5735.56,4029.00,-1706.56,-32.97
3,7,1,1873.27,1893.10,19.84,-3.57
3,8,1,53259.96,56980.69,3720.72,2.09
3,8,2,1430.83,1382.17,-48.66,-7.83
3,8,3,2852.15,3836.62,984.47,28.36
3,8,4,1818.48,1512.10,-306.39,-20.66
3,9,1,4040.67,4203.56,162.89,-0.73
3,9,3,18914.29,19676.78,762.49,-0.73
4,1,1,978678.40,1098811.93,120133.53,7.13
4,1,2,170873.17,198869.13,27995.96,11.05
4,2,2,1340210.88,1456045.89,115835.02,3.67
4,3,2,52451.90,35553.40,-16898.50,-35.32
4,3,3,0.00,0.00,0.00,41.36
4,3,4,0.00,0.00,0.00,172.63
4,4,1,45800.00,70855.70,25055.70,47.62
