concepto,mdp_2025_ilif,mdp_2026_ilif,dif_nominal,dif_real,var_real_pct,pct_pib_2026
1. Impuestos,5297812.90,5838541.10,540728.20,286433.18,5.16,15.08
   11.01 Impuesto sobre la renta,2859575.10,3070149.10,210574.00,73314.40,2.45,7.93
   13.01 Impuesto al valor agregado,1463279.90,1589069.00,125789.10,55551.66,3.62,4.10
   13.02 Impuesto especial sobre produccion y servicios,713844.00,761501.90,47657.90,13393.39,1.79,1.97
   14 Impuestos al comercio exterior,151789.70,254756.80,102967.10,95681.19,60.15,0.66
   17 Accesorios de impuestos,81497.40,135769.40,54272.00,50360.12,58.96,0.35
2. Cuotas y aportaciones de seguridad social,603077.90,641782.10,38704.20,9756.46,1.54,1.66
4. Derechos,137500.50,157081.70,19581.20,12981.18,9.01,0.41
5. Productos,,16488.30,,,,0.04
6. Aprovechamientos,223166.30,203520.50,-19645.80,-30357.78,-12.98,0.53
7. Ingresos por ventas de bienes y prestacion de servicios,1500579.00,1630973.60,130394.60,58366.81,3.71,4.21
9.97 Transferencias del Fondo Mexicano del Petroleo,279766.80,232630.40,-47136.40,-60565.21,-20.66,0.60
0. Ingresos derivados de financiamientos,1246366.50,1472626.40,226259.90,166434.31,12.74,3.80
TOTAL,9302015.80,10193683.70,891667.90,445171.14,4.57,26.33
