variable,e2025,p2026,2027,2028,2029,2030,2031
PIB nominal (mmp),36125.5,38715.9,41185.1,43712.6,46377.1,49203.5,52213.8
Deflactor del PIB (%),5.2,4.8,4.2,4.0,4.0,4.0,4.0
RFSP (% PIB),-4.3,-4.1,-3.5,-3.0,-3.0,-3.0,-3.0
Balance presupuestario (% PIB),-3.6,-3.6,-3.0,-2.5,-2.5,-2.5,-2.5
Balance primario (% PIB),0.2,0.5,0.8,0.8,0.8,0.8,0.6
Ingresos presupuestarios (% PIB),21.9,22.5,22.4,22.4,22.4,22.4,22.4
Tributarios (% PIB),14.8,15.1,14.9,14.9,14.9,14.9,14.9
Gasto neto pagado (% PIB),25.5,26.1,25.4,24.9,24.9,24.9,24.9
Costo financiero (% PIB),3.8,4.1,3.8,3.4,3.3,3.3,3.1
Pensiones y jubilaciones (% PIB),4.5,4.4,4.5,4.5,4.6,4.6,4.7
Inversión física (% PIB),2.4,2.5,2.6,2.4,2.3,2.3,2.3
SHRFSP (% PIB),52.3,52.3,52.3,52.3,52.3,52.3,52.3
SHRFSP interno (% PIB),40.2,41.3,42.1,42.5,42.8,43.2,43.5
SHRFSP externo (% PIB),12.2,11.0,10.2,9.8,9.5,9.1,8.8
Límite máx. gasto corriente estructural (% PIB),10.9,10.9,10.9,10.9,10.9,10.9,10.9
