clave,mdp_2025_proyecto,mdp_2026,dif_nominal,var_real_pct
1.7.1,35951.5,28214.1,-7737.4,-25.1
1.7.2,176.0,231.1,55.0,25.2
1.7.3,5578.4,23819.4,18241.1,307.4
1.7.4,11396.6,11867.7,471.1,-0.6
1.3.2,4230.5,4450.7,220.2,0.4
1.3.3,115.8,218.8,103.0,80.3
1.3.4,6312.6,5033.5,-1279.0,-23.9
1.3.5,149.6,153.1,3.5,-2.3
1.2.1,91237.7,92273.8,1036.1,-3.5
1.2.2,21227.7,21987.0,759.2,-1.2
1.2.3,25242.8,26789.9,1547.1,1.3
1.2.4,5040.9,5361.9,321.0,1.5
1.8.4,971.8,0.0,-971.8,-100.0
1.8.5,3984.1,590.3,-3393.8,-85.9
1.6.1,96411.8,100483.3,4071.5,-0.6
1.6.2,34303.9,34177.5,-126.5,-4.9
1.6.3,2760.0,3863.4,1103.4,33.6
TOTAL,345091.8,359515.6,14423.8,-0.6
