PP_K,desc_pp,MDP,pct_del_anexo,es_pension
S176,Pensión para el Bienestar de las Personas Adultas Mayores,261776.1,43.7,True
S072,Beca Universal de Educación Básica Rita Cetina,103508.8,17.3,False
S282,La Escuela es Nuestra,25488.6,4.3,False
S311,Beca Universal de Educación Media Superior Benito Juárez,21279.5,3.6,False
S177,Programa de Vivienda Social,19968.0,3.3,False
E070,Servicios de guardería,17062.0,2.8,False
E031,Servicios de atención a la salud,14993.2,2.5,False
S280,Jóvenes Construyendo el Futuro,14975.4,2.5,False
E023,Servicios de Educación Superior y Posgrado,14940.0,2.5,False
S316,Pensión Mujeres Bienestar,14550.0,2.4,True
S286,Pensión para el Bienestar de las Personas con Discapacidad Permanente,11871.3,2.0,True
S287,Sembrando Vida,7820.0,1.3,False
S190,Becas de posgrado y apoyos a la calidad,6699.1,1.1,False
S283,Jóvenes Escribiendo el Futuro,6325.0,1.1,False
E072,Servicios de prevención y control de enfermedades,5753.7,1.0,False
S191,Sistema Nacional de Investigadoras e Investigadores,5570.9,0.9,False
S293,Producción para el Bienestar,5368.3,0.9,False
S292,Fertilizantes para el Bienestar,5250.0,0.9,False
E022,Servicios de Educación Media Superior,4237.6,0.7,False
E030,Servicios de educación Básica Comunitaria,4224.3,0.7,False
E074,Servicios de estancias de bienestar y desarrollo infantil,3597.8,0.6,False
S290,Acopio para el Bienestar,3296.2,0.6,False
S174,"Programa de Apoyo para el Bienestar de las Niñas y Niños, Hijos de Madres Trabajadoras",3089.4,0.5,False
P028,Política de prevención y control de enfermedades,2370.8,0.4,False
P029,Política en Salud Materna Sexual y Reproductiva,2270.3,0.4,False
S053,Programa de Abasto Rural,1625.7,0.3,False
M001,Actividades de apoyo administrativo,1535.5,0.3,False
S178,Programa de Apoyo a la Educación Indígena,1312.1,0.2,False
S317,Salud Casa por Casa,1100.9,0.2,False
S052,"Programa de Abasto Social y Precios de Garantía a cargo de Leche para el Bienestar, S.A. de C.V.",873.1,0.1,False
U012,Programa para la Prevención y Detección de las Violencias Femenicidas y la Atención de las Causas,856.8,0.1,False
S243,Programa de Becas Elisa Acuña,820.2,0.1,False
S319,Programa de Atención Integral para el Bienestar de las Mujeres,785.0,0.1,False
S263,Sanidad e Inocuidad Agroalimentaria,784.0,0.1,False
U270,Programa Nacional de Inglés,765.9,0.1,False
E015,Servicios Públicos de Transporte Masivo de Personas y Carga Tren Maya,744.1,0.1,False
S304,Pesca y Acuacultura Sustentables,433.4,0.1,False
P059,Política de fortalecimiento de la Igualdad Sustantiva entre Mujeres y Hombres,171.7,0.0,False
P002,Producción y difusión de información estadística y geográfica,120.1,0.0,False
U200,Fortalecimiento a la atención médica,107.2,0.0,False
E033,Servicios de vacunación,101.6,0.0,False
A016,Programa de igualdad entre mujeres y hombres SDN,101.4,0.0,False
S249,Programa para el Bienestar Integral de los Pueblos Indígenas,91.0,0.0,False
S219,Desarrollo Forestal Sustentable para el Bienestar,87.9,0.0,False
S046,Programa de Conservación para el Desarrollo Sostenible,83.7,0.0,False
E009,Investigar y perseguir los delitos cometidos en materia de derechos humanos,79.5,0.0,False
E013,"Realizar la promoción y observancia en el monitoreo, seguimiento y evaluación del impacto de la política nacional en materia de igualdad entre mujeres y hombres; y protección y defensa de los derechos humanos de las mujeres en razón de género.",37.8,0.0,False
P011,"Coordinación con las instancias que integran el Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes",37.6,0.0,False
E032,Servicios de atención a la salud mental y prevención de las adicciones,30.6,0.0,False
R003,Capacitación y educación para el ejercicio democrático de la ciudadanía,29.9,0.0,False
R008,"Dirección, soporte jurídico electoral y apoyo logístico",23.9,0.0,False
S247,Programa para el Desarrollo Profesional Docente,19.3,0.0,False
P063,Articulación de Políticas Integrales de Juventud,12.6,0.0,False
E040,Servicios de impartición y procuración de justicia laboral,8.1,0.0,False
E060,Servicios de atención a víctimas,7.8,0.0,False
E057,Servicios de preservación y divulgación del patrimonio documental que resguarda el Archivo General de la Nación y de la memoria histórica de México,7.1,0.0,False
A023,Programa para el fortalecimiento de derechos humanos e igualdad de género,6.9,0.0,False
E001,Impartición de Justicia Fiscal y Administrativa,6.8,0.0,False
R001,Actividades derivadas del trabajo legislativo,6.0,0.0,False
M002,Actividades relacionadas a la Igualdad de Género Institucional.,5.2,0.0,False
F001,Inclusión financiera para el bienestar,4.5,0.0,False
