id_transversal,transversal,MDP,pct_del_etiquetado,pct_programable
8,"Recursos para la atención de niñas, niños y adolescentes",1099514.0,21.1,15.7
6,Erogaciones para el Desarrollo de los Jóvenes,735177.8,14.1,10.5
7,Recursos para la Atención de Grupos Vulnerables,687765.0,13.2,9.8
4,Erogaciones para la Igualdad entre Mujeres y Hombres,599145.4,11.5,8.5
2,Programa Especial Concurrente para el Desarrollo Rural Sustentable,525634.1,10.1,7.5
14,Consolidación de una Sociedad de Cuidados,466674.9,8.9,6.7
11,"Acciones para la Prevención del Delito, Combate a las adicciones, Rescate de Espacios Públicos y Promoción de Proyectos Productivos",465729.8,8.9,6.6
1,"Erogaciones para para la implementación del Desarrollo Integral, Intercultural y Sostenible de los Pueblos y Comunidades Indígenas y Afromexicanas",234782.5,4.5,3.3
10,Recursos para la Adaptación y Mitigación de los Efectos del Cambio Climático,212569.7,4.1,3.0
3,"Programa de Humanidades, Ciencias, Tecnologías e Innovación",160843.8,3.1,2.3
5,Estrategia Nacional de Transición Energética,17868.4,0.3,0.3
13,"Prevención, Detección, Investigación y Sanción de Hechos de Corrupción",9599.1,0.2,0.1
