id_ramo,id_modalidad,id_pp,desc_pp,anexos,mdp_sumado
11,E,23,Servicios de Educación Superior y Posgrado,9,144275.6
54,P,59,Política de fortalecimiento de la Igualdad Sustantiva entre Mujeres y Hombres,9,534.6
11,S,72,Beca Universal de Educación Básica Rita Cetina,8,667631.8
11,E,22,Servicios de Educación Media Superior,8,170948.8
20,S,174,"Programa de Apoyo para el Bienestar de las Niñas y Niños, Hijos de Madres Trabajadoras",8,21915.4
12,P,29,Política en Salud Materna Sexual y Reproductiva,8,6951.9
54,S,319,Programa de Atención Integral para el Bienestar de las Mujeres,8,1756.5
20,S,287,Sembrando Vida,7,192047.1
11,S,311,Beca Universal de Educación Media Superior Benito Juárez,7,154063.6
56,E,31,Servicios de atención a la salud,7,60641.3
11,E,30,Servicios de educación Básica Comunitaria,7,19122.2
47,S,178,Programa de Apoyo a la Educación Indígena,7,8212.8
47,S,249,Programa para el Bienestar Integral de los Pueblos Indígenas,7,5352.6
12,E,34,Servicios de protección y asistencia social integral,7,2372.1
54,U,12,Programa para la Prevención y Detección de las Violencias Femenicidas y la Atención de las Causas,7,1257.7
50,E,31,Servicios de atención a la salud,6,293450.9
11,U,6,Subsidios para organismos descentralizados estatales,6,227583.6
20,S,316,Pensión Mujeres Bienestar,6,106619.8
11,S,282,La Escuela es Nuestra,6,98458.0
20,S,286,Pensión para el Bienestar de las Personas con Discapacidad Permanente,6,82591.0
11,S,283,Jóvenes Escribiendo el Futuro,6,33016.5
12,E,31,Servicios de atención a la salud,6,23694.0
8,Q,4,Desarrollo y aplicación de programas y proyectos educativos y de investigación en el sector agroalimentario,6,18094.7
20,S,317,Salud Casa por Casa,6,4287.1
12,E,32,Servicios de atención a la salud mental y prevención de las adicciones,6,3493.2
11,U,312,Expansión de la Educación Inicial,6,2893.5
11,S,243,Programa de Becas Elisa Acuña,6,2873.6
16,S,219,Desarrollo Forestal Sustentable para el Bienestar,6,2026.5
11,E,29,Servicios de educación para Adultos (INEA),6,999.4
6,F,1,Inclusión financiera para el bienestar,6,827.3
12,S,39,Programa de Atención a Personas con Discapacidad,6,94.9
20,S,176,Pensión para el Bienestar de las Personas Adultas Mayores,5,1059938.9
50,E,70,Servicios de guardería,5,73206.0
8,S,293,Producción para el Bienestar,5,32139.5
11,Q,7,"Investigación en ciencia, humanidades, tecnología e innovación",5,29857.8
38,S,190,Becas de posgrado y apoyos a la calidad,5,21756.0
51,E,74,Servicios de estancias de bienestar y desarrollo infantil,5,8511.2
16,V,2,Protección Forestal,5,3497.3
12,P,28,Política de prevención y control de enfermedades,5,3383.3
51,E,72,Servicios de prevención y control de enfermedades,5,2569.1
11,U,295,Fortalecimiento de los Servicios de Educación Especial (PFSEE),5,2485.4
12,P,27,Rectoría del Sistema Nacional de Salud,5,528.7
16,S,46,Programa de Conservación para el Desarrollo Sostenible,5,393.8
11,S,247,Programa para el Desarrollo Profesional Docente,5,355.9
11,S,298,Atención de Planteles Públicos de Educación Media Superior con estudiantes con discapacidad (PAPPEMS),5,125.9
14,P,63,Articulación de Políticas Integrales de Juventud,5,119.9
14,S,280,Jóvenes Construyendo el Futuro,4,80572.6
15,S,177,Programa de Vivienda Social,4,40372.6
8,S,292,Fertilizantes para el Bienestar,4,29575.0
8,S,290,Acopio para el Bienestar,4,18050.6
50,E,72,Servicios de prevención y control de enfermedades,4,16547.4
51,E,31,Servicios de atención a la salud,4,14871.5
12,E,33,Servicios de vacunación,4,5776.6
8,S,53,Programa de Abasto Rural,4,5384.7
8,S,52,"Programa de Abasto Social y Precios de Garantía a cargo de Leche para el Bienestar, S.A. de C.V.",4,3996.7
11,E,28,Servicios de normalización y certificación en competencias laborales,4,3185.7
7,E,15,Servicios Públicos de Transporte Masivo de Personas y Carga Tren Maya,4,2976.5
8,S,304,Pesca y Acuacultura Sustentables,4,2951.4
11,U,270,Programa Nacional de Inglés,4,2018.0
16,G,14,"Inspección, vigilancia y regulación del medio ambiente y recursos naturales",4,1811.5
56,U,200,Fortalecimiento a la atención médica,4,1500.2
6,P,18,Diseño y conducción de la política de gasto público,4,907.7
11,E,25,"Servicios de producción y transmisión de materiales educativos, culturales y artísticos",4,826.1
18,P,37,Articulación de la política energética,4,800.6
16,G,16,"Regulación, gestión y supervisión socioambiental",4,674.1
20,E,48,Servicios a grupos con necesidades especiales,4,515.9
16,V,5,Programa para la Protección y Restauración de Ecosistemas y Especies Prioritarias,4,309.9
16,Q,10,"Investigación y capacitación en cambio climático, sustentabilidad y crecimiento Verde",4,206.7
4,P,11,"Coordinación con las instancias que integran el Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes",4,198.9
11,E,26,Servicios de producción y distribución de libros y materiales culturales,4,151.6
4,P,61,Política para promover la protección de los derechos humanos y prevenir la discriminación,4,135.4
16,P,35,Articulación de Políticas Hídricas,4,36.1
14,P,31,Implementación de la política laboral,4,8.3
16,P,36,Articulación de la Política Ambiental y de Recursos Naturales,4,5.7
51,E,73,Servicios de atención a personas con discapacidad,4,1.0
25,E,85,Servicios de educación básica en la Ciudad de México,3,63641.9
56,U,13,Atención a la salud y medicamentos gratuitos para la población sin seguridad social laboral,3,37210.0
33,I,9,FAETA Educación Tecnológica,3,14574.2
16,K,27,"Infraestructura en materia de agua potable, alcantarillado y saneamiento",3,13501.1
12,Q,8,"Investigación, desarrollo tecnológico y formación en salud",3,10059.1
11,E,24,Servicios de desarrollo Cultural,3,9700.5
9,U,4,Caminos artesanales,3,7181.4
16,G,15,Gestión integral y sustentable del agua,3,4743.6
11,B,8,Producción y distribución de libros y materiales educativos,3,4072.8
47,P,52,Planeación y Articulación de la Acción Pública hacia los Pueblos Indígenas,3,3323.9
16,U,74,"Agua Potable, Drenaje y Tratamiento",3,3117.7
18,Q,13,Investigación y desarrollo en materia nuclear y eléctrica,3,2633.6
16,E,45,Servicios de operación y suministro hídrico,3,2501.6
16,U,217,Programa de Apoyo a la Infraestructura Hidroagrícola,3,2126.2
11,S,269,Programa de Cultura Física y Deporte,3,1943.8
11,U,79,Expansión de la Educación Media Superior y Superior,3,1008.7
54,M,1,Actividades de apoyo administrativo,3,642.7
11,U,83,Universidades para el Bienestar Benito Juárez García,3,618.0
15,E,42,Servicios de ordenamiento y procuración de justicia agraria,3,437.6
11,E,84,Servicios de mantenimiento e infraestructura física educativa,3,353.8
16,Q,11,Investigación científica y tecnológica,3,284.1
4,E,2,Servicios migratorios,3,237.2
47,E,57,Servicios de preservación y divulgación del patrimonio documental que resguarda el Archivo General de la Nación y de la memoria histórica de México,3,228.7
20,U,11,Programa para el Bienestar de las Personas en Emergencia Social o Natural,3,161.1
18,P,39,Articulación de la política nuclear y eléctrica,3,155.9
49,E,9,Investigar y perseguir los delitos cometidos en materia de derechos humanos,3,82.0
5,P,14,Articulación de la política de Cooperación internacional para el desarrollo,3,79.9
4,P,10,Política para la protección y defensa de los derechos humanos,3,45.4
4,E,1,Servicios de atención a refugiados en el país,3,29.5
36,P,47,Articulación de la política en materia de seguridad nacional y pública,3,26.2
55,P,60,"Definición, articulación y coordinación de las Políticas de Transformación Digital y Telecomunicaciones",3,26.0
4,P,7,Planeación demográfica del país,3,18.2
5,E,5,Atención y servicios integrales de protección y asistencia consular,3,5.9
21,F,25,Fomento y promoción de destinos turísticos,3,5.1
33,I,13,FONE Servicios Personales,2,629161.6
7,A,1,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",2,89346.9
9,K,19,Infraestructura ferroviaria para transporte de carga y pasajeros,2,54778.2
18,P,38,Articulación de la política de hidrocarburos,2,27737.8
33,I,6,FAM Asistencia Social,2,25254.6
33,I,15,FONE Gasto de Operación,2,24318.8
33,I,5,FORTAMUN,2,22574.9
33,I,7,FAM Infraestructura Educativa Básica,2,19126.7
33,I,16,FONE Fondo de Compensación,2,17497.5
33,I,14,FONE Otros de Gasto Corriente,2,16061.5
38,S,191,Sistema Nacional de Investigadoras e Investigadores,2,14740.9
