entidad_federativa,mujeres,hombres,no_binario,total1,menor_18_anios,18_29_anios,30_39_anios,40_49_anios,50_59_anios,60_69_anios,70_79_anios,80_mas_anios,total2
Baja California,440867.0,389577.0,2.0,830446,159855.0,159907.0,115161.0,106877.0,97983.0,82494.0,76448.0,31721.0,830446.0
Baja California Sur,88262.0,79210.0,0.0,167472,38502.0,31129.0,26473.0,24828.0,20717.0,13144.0,8597.0,4082.0,167472.0
Campeche,218102.0,197551.0,0.0,415653,103457.0,75694.0,69292.0,58507.0,46521.0,31237.0,20266.0,10679.0,415653.0
Chiapas,1779100.0,1602723.0,0.0,3381823,793755.0,762851.0,570013.0,458668.0,333364.0,223089.0,147674.0,92409.0,3381823.0
Colima,118249.0,103286.0,0.0,221535,49883.0,40420.0,32692.0,30433.0,25785.0,19555.0,14948.0,7819.0,221535.0
Ciudad de México,1191328.0,990448.0,9.0,2181785,401321.0,343769.0,328050.0,312551.0,291309.0,221541.0,175989.0,107255.0,2181785.0
Guerrero,1092439.0,976660.0,1.0,2069100,528787.0,442389.0,316393.0,250124.0,199018.0,144561.0,107542.0,80286.0,2069100.0
Hidalgo,798380.0,681182.0,0.0,1479562,330910.0,257411.0,227166.0,214807.0,178642.0,124568.0,89751.0,56307.0,1479562.0
Estado de México,3141343.0,2535397.0,1.0,5676741,1368780.0,998520.0,905789.0,818267.0,670212.0,451525.0,307781.0,155867.0,5676741.0
Michoacán,1206412.0,1107288.0,1.0,2313701,492452.0,487299.0,366429.0,288692.0,236105.0,183027.0,159170.0,100527.0,2313701.0
Morelos,421932.0,362282.0,0.0,784214,180372.0,149898.0,124181.0,107737.0,88235.0,62581.0,45877.0,25333.0,784214.0
Nayarit,211386.0,200211.0,1.0,411598,95710.0,73432.0,60488.0,53123.0,46450.0,35853.0,29237.0,17305.0,411598.0
Oaxaca,1257096.0,1084390.0,0.0,2341486,474358.0,453526.0,352998.0,312882.0,256922.0,199745.0,159306.0,131749.0,2341486.0
Puebla,1754385.0,1441511.0,1.0,3195897,790640.0,636134.0,499976.0,427666.0,324225.0,231761.0,176100.0,109395.0,3195897.0
Quintana Roo,246736.0,210023.0,0.0,456759,110828.0,84057.0,75852.0,68896.0,53587.0,33134.0,21430.0,8975.0,456759.0
San Luis Potosí,630334.0,568177.0,0.0,1198511,265271.0,241931.0,188589.0,150711.0,128903.0,95496.0,74235.0,53375.0,1198511.0
Sinaloa,400064.0,379073.0,0.0,779137,183853.0,134735.0,113686.0,105435.0,90200.0,65212.0,53799.0,32217.0,779137.0
Sonora,343089.0,309267.0,0.0,652356,136519.0,124831.0,89949.0,82939.0,74697.0,61234.0,54168.0,28019.0,652356.0
Tabasco,665438.0,556255.0,1.0,1221694,276636.0,216003.0,191898.0,182224.0,143803.0,104035.0,68782.0,38313.0,1221694.0
Tamaulipas,584034.0,512365.0,0.0,1096399,228965.0,202160.0,155711.0,144499.0,131062.0,100229.0,82377.0,51396.0,1096399.0
Tlaxcala,354285.0,290003.0,0.0,644288,159749.0,115120.0,102421.0,95274.0,76252.0,47895.0,29348.0,18229.0,644288.0
Veracruz,1878179.0,1623847.0,2.0,3502028,697098.0,678028.0,532242.0,480877.0,423844.0,315186.0,238077.0,136676.0,3502028.0
Zacatecas,391479.0,359096.0,0.0,750575,180135.0,126355.0,101472.0,96054.0,86711.0,66613.0,56092.0,37143.0,750575.0
Sin Dato,,,,35772760,,,,,,,,,
