CVE_GEO,ENTIDAD,POBLACION
1,Aguascalientes,1567559
2,Baja California,4189285
3,Baja California Sur,921734
4,Campeche,962014
5,Coahuila,3440385
6,Colima,771538
7,Chiapas,6185469
8,Chihuahua,4087306
9,Ciudad de México,9159966
10,Durango,1939482
11,Guanajuato,6590749
12,Guerrero,3606296
13,Hidalgo,3334060
14,Jalisco,8982027
15,México,17822420
16,Michoacán,5089383
17,Morelos,2067472
18,Nayarit,1338499
19,Nuevo León,6516202
20,Oaxaca,4368997
21,Puebla,7149139
22,Querétaro,2700978
23,Quintana Roo,2141082
24,San Luis Potosí,3002651
25,Sinaloa,3208039
26,Sonora,3168624
27,Tabasco,2472668
28,Tamaulipas,3777472
29,Tlaxcala,1464515
30,Veracruz,8111813
31,Yucatán,2542536
32,Zacatecas,1726898
