id_entidad_federativa,entidad_federativa,MDP
1,Aguascalientes,68535.1
2,Baja California,182931.3
3,Baja California Sur,56500.3
4,Campeche,106504.0
5,Coahuila,154405.7
6,Colima,44838.5
7,Chiapas,185923.9
8,Chihuahua,171731.4
9,Ciudad de México,4907088.4
10,Durango,91205.5
11,Guanajuato,218938.6
12,Guerrero,144154.4
13,Hidalgo,126990.3
14,Jalisco,325067.5
15,Estado de México,528455.2
16,Michoacán,153677.7
17,Morelos,85653.3
18,Nayarit,54131.8
19,Nuevo León,312877.4
20,Oaxaca,175873.9
21,Puebla,198434.0
22,Querétaro,110226.0
23,Quintana Roo,70544.7
24,San Luis Potosí,131944.8
25,Sinaloa,141717.4
26,Sonora,150029.9
27,Tabasco,247074.6
28,Tamaulipas,204839.5
29,Tlaxcala,48692.9
30,Veracruz,405189.2
31,Yucatán,137771.5
32,Zacatecas,65028.6
33,En El Extranjero,8142.8
34,No Distribuible Geográficamente,1731677.0
