F_K,FN_K,mdp_2025_proyecto,mdp_2026,nombre,dif_nominal,dif_real,var_real_pct,pct_pib_2026
2,6,3572222.77,3793462.05,6 Protección Social,221239.28,49772.59,1.33,9.80
3,3,1373266.13,1614806.43,3 Combustibles y Energía,241540.31,175623.53,12.20,4.17
4,2,1340210.88,1456045.89,"2 Transferencias, Participaciones y Aportaciones entre diferentes Niveles y Ordenes de Gobierno",115835.02,51504.90,3.67,3.76
4,1,1149551.58,1297681.06,1 Transacciones de la Deuda Pública / Costo Financiero de la Deuda,148129.49,92951.01,7.72,3.35
2,5,1071949.80,1161862.43,5 Educación,89912.63,38459.04,3.42,3.00
2,3,888527.12,974302.22,3 Salud,85775.10,43125.80,4.63,2.52
2,2,372916.85,398902.93,2 Vivienda y Servicios a la Comunidad,25986.08,8086.08,2.07,1.03
3,5,203915.47,210465.82,5 Transporte,6550.35,-3237.59,-1.51,0.54
1,2,142749.14,146412.57,2 Justicia,3663.43,-3188.53,-2.13,0.38
1,6,133475.72,138524.19,6 Seguridad Nacional,5048.47,-1358.37,-0.97,0.36
3,2,71302.56,73784.43,"2 Agropecuaria, Silvicultura, Pesca y Caza",2481.87,-940.65,-1.26,0.19
4,4,45800.00,70855.70,4 Adeudos de Ejercicios Fiscales Anteriores,25055.70,22857.30,47.62,0.18
1,7,53102.49,64132.32,7 Asuntos de Orden Público y de Seguridad Interior,11029.83,8480.91,15.24,0.17
1,5,60169.10,63750.78,5 Asuntos Financieros y Hacendarios,3581.68,693.57,1.10,0.16
3,8,59361.42,63711.58,"8 Ciencia, Tecnología e Innovación",4350.15,1500.80,2.41,0.16
1,3,55336.03,36975.86,3 Coordinación de la Política de Gobierno,-18360.17,-21016.30,-36.24,0.10
4,3,52451.90,35553.40,3 Saneamiento del Sistema Financiero,-16898.50,-19416.19,-35.32,0.09
3,1,33076.95,34282.23,"1 Asuntos Económicos, Comerciales y Laborales en General",1205.28,-382.42,-1.10,0.09
3,9,22954.95,23880.33,9 Otras Industrias y Otros Asuntos Económicos,925.38,-176.45,-0.73,0.06
2,4,19530.04,21141.39,"4 Recreación, Cultura y Otras Manifestaciones Sociales",1611.35,673.91,3.29,0.05
1,1,18069.58,17529.08,1 Legislación,-540.50,-1407.84,-7.43,0.05
2,1,17508.90,16975.03,1 Protección Ambiental,-533.87,-1374.30,-7.49,0.04
1,8,18198.87,13496.08,8 Otros Servicios Generales,-4702.79,-5576.34,-29.24,0.03
1,4,9294.17,9294.17,4 Relaciones Exteriores,-0.00,-446.12,-4.58,0.02
3,6,5735.56,4029.00,6 Comunicaciones,-1706.56,-1981.86,-32.97,0.01
2,7,2356.96,2879.05,7 Otros Asuntos Sociales,522.09,408.95,16.56,0.01
3,7,1873.27,1893.10,7 Turismo,19.84,-70.08,-3.57,0.00
3,4,176.91,167.66,"4 Minería, Manufacturas y Construcción",-9.25,-17.74,-9.57,0.00
