RAMO_K,mdp_2025_proyecto,mdp_2026,mdp_2025_aprobado,nombre,dif_nominal_P,dif_real_P,var_real_pct_P,dif_nominal_G,dif_real_G,var_real_pct_G
GYR,1469410.4,1590308.7,1469410.4,GYR Instituto Mexicano del Seguro Social,120898.3,50366.6,3.3,120898.3,50366.6,3.3
19,1480920.4,1541518.7,1480920.4,19 Aportaciones a Seguridad Social,60598.3,-10485.9,-0.7,60598.3,-10485.9,-0.7
28,1340210.9,1456045.9,1340210.9,28 Participaciones a Entidades Federativas y Municipios,115835.0,51504.9,3.7,115835.0,51504.9,3.7
24,1149551.6,1297681.1,1149551.6,24 Deuda Pública,148129.5,92951.0,7.7,148129.5,92951.0,7.7
33,979951.8,1041892.9,979951.8,33 Aportaciones Federales para Entidades Federativas y Municipios,61941.1,14903.5,1.5,61941.1,14903.5,1.5
TYY,612145.9,708200.9,612145.9,TYY Petróleos Mexicanos,96055.0,66672.0,10.4,96055.0,66672.0,10.4
20,579883.9,674510.0,579883.9,20 Bienestar,94626.2,66791.7,11.0,94626.2,66791.7,11.0
TVV,583951.1,602567.5,583951.1,TVV Comisión Federal de Electricidad,18616.4,-9413.3,-1.5,18616.4,-9413.3,-1.5
GYN,525615.4,539020.8,525615.4,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,13405.4,-11824.2,-2.1,13405.4,-11824.2,-2.1
11,450887.9,513015.6,465871.9,11 Educación Pública,62127.7,40485.1,8.6,47143.7,24781.9,5.1
18,138307.4,267439.1,138307.4,18 Energía,129131.8,122493.0,84.5,129131.8,122493.0,84.5
56,0.0,172492.4,0.0,56 Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,172492.4,172492.4,inf,172492.4,172492.4,inf
07,151995.0,170753.1,158287.8,07 Defensa Nacional,18758.2,11462.4,7.2,12465.4,4867.6,2.9
23,165753.8,167652.2,160078.8,23 Provisiones Salariales y Económicas,1898.4,-6057.8,-3.5,7573.4,-110.4,-0.1
09,140799.0,153539.3,147511.5,"09 Infraestructura, Comunicaciones y Transportes",12740.2,5981.9,4.1,6027.8,-1052.7,-0.7
03,85025.8,85960.2,70983.6,03 Poder Judicial,934.4,-3146.8,-3.5,14976.6,11569.4,15.6
25,81668.0,85182.4,81668.0,"25 Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",3514.4,-405.7,-0.5,3514.4,-405.7,-0.5
08,73616.7,75195.5,74515.2,08 Agricultura y Desarrollo Rural,1578.8,-1954.8,-2.5,680.3,-2896.4,-3.7
30,45800.0,70855.7,45800.0,30 Adeudos de Ejercicios Fiscales Anteriores,25055.7,22857.3,47.6,25055.7,22857.3,47.6
12,66693.2,66825.8,66693.2,12 Salud,132.6,-3068.7,-4.4,132.6,-3068.7,-4.4
13,65888.7,65926.8,65888.7,13 Marina,38.1,-3124.6,-4.5,38.1,-3124.6,-4.5
36,70422.2,60110.9,70422.2,36 Seguridad y Protección Ciudadana,-10311.3,-13691.6,-18.6,-10311.3,-13691.6,-18.6
16,44370.5,44064.1,44370.5,16 Medio Ambiente y Recursos Naturales,-306.4,-2436.2,-5.2,-306.4,-2436.2,-5.2
15,38048.0,36290.1,38048.0,"15 Desarrollo Agrario, Territorial y Urbano",-1757.9,-3584.2,-9.0,-1757.9,-3584.2,-9.0
34,52451.9,35553.4,52451.9,34 Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,-16898.5,-19416.2,-35.3,-16898.5,-19416.2,-35.3
38,33295.9,34860.8,33295.9,"38 Ciencia, Humanidades, Tecnología e Innovación",1564.9,-33.3,-0.1,1564.9,-33.3,-0.1
14,27830.2,28441.9,27830.2,14 Trabajo y Previsión Social,611.7,-724.2,-2.5,611.7,-724.2,-2.5
06,25626.3,26792.1,26732.7,06 Hacienda y Crédito Público,1165.8,-64.3,-0.2,59.4,-1223.8,-4.4
22,40476.1,22837.2,27000.1,22 Instituto Nacional Electoral,-17638.8,-19581.7,-46.2,-4162.8,-5458.8,-19.3
49,20126.0,21059.4,20126.0,49 Fiscalía General de la República,933.5,-32.6,-0.2,933.5,-32.6,-0.2
01,18069.6,17529.1,17529.1,01 Poder Legislativo,-540.5,-1407.8,-7.4,-0.0,-841.4,-4.6
48,12081.5,13097.4,15081.5,48 Cultura,1015.9,436.0,3.4,-1984.1,-2708.0,-17.1
40,12245.3,11807.5,12245.3,40 Información Nacional Estadística y Geográfica,-437.8,-1025.6,-8.0,-437.8,-1025.6,-8.0
04,10304.8,9959.7,9177.9,04 Gobernación,-345.1,-839.7,-7.8,781.8,341.3,3.5
05,9294.2,9294.2,9294.2,05 Relaciones Exteriores,-0.0,-446.1,-4.6,-0.0,-446.1,-4.6
47,174623.0,8365.5,173656.4,47 Entidades no Sectorizadas,-166257.5,-174639.4,-95.4,-165290.9,-173626.4,-95.4
55,0.0,3852.7,3010.2,55 Agencia de Transformación Digital y Telecomunicaciones,3852.7,3852.7,inf,842.5,698.0,22.1
10,3597.9,3535.5,3533.5,10 Economía,-62.5,-235.2,-6.2,2.0,-167.6,-4.5
32,3304.5,3400.0,3304.5,32 Tribunal Federal de Justicia Administrativa,95.5,-63.2,-1.8,95.5,-63.2,-1.8
54,0.0,2141.0,2093.5,54 Mujeres,2141.0,2141.0,inf,47.5,-53.0,-2.4
35,1722.4,1834.3,1722.4,35 Comisión Nacional de los Derechos Humanos,111.9,29.2,1.6,111.9,29.2,1.6
21,1774.9,1793.5,1774.9,21 Turismo,18.6,-66.6,-3.6,18.6,-66.6,-3.6
27,1699.0,1743.1,1699.0,27 Anticorrupción y Buen Gobierno,44.0,-37.5,-2.1,44.0,-37.5,-2.1
31,891.8,895.3,891.8,31 Tribunales Agrarios,3.5,-39.3,-4.2,3.5,-39.3,-4.2
02,867.6,800.5,823.5,02 Oficina de la Presidencia de la República,-67.2,-108.8,-12.0,-23.1,-62.6,-7.3
37,149.6,153.1,149.6,37 Consejería Jurídica del Ejecutivo Federal,3.5,-3.7,-2.3,3.5,-3.7,-2.3
45,199.9,0.0,199.9,45 Comisión Reguladora de Energía,-199.9,-209.4,-100.0,-199.9,-209.4,-100.0
41,687.9,0.0,199.9,41 Comisión Federal de Competencia Económica,-687.9,-720.9,-100.0,-199.9,-209.5,-100.0
46,173.3,0.0,173.3,46 Comisión Nacional de Hidrocarburos,-173.3,-181.6,-100.0,-173.3,-181.6,-100.0
43,1680.0,0.0,500.0,43 Instituto Federal de Telecomunicaciones,-1680.0,-1760.6,-100.0,-500.0,-524.0,-100.0
44,994.0,0.0,500.0,"44 Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",-994.0,-1041.7,-100.0,-500.0,-524.0,-100.0
