id_clave_cartera,MDP
0,11260234.1
2021W3N0001,30000.0
21092110011,27720.0
77617,15875.7
2509D000006,14386.0
61607,13138.6
2413J3L0001,12592.0
79376,12248.3
79999,11047.8
78330,10785.6
2509D000002,10491.6
2413J3L0002,10337.6
65958,9616.7
2509D000005,9344.0
70138,7821.9
2516B000072,7500.0
13093110008,7408.0
72747,7366.2
65824,7334.1
52808,6995.6
52526,6796.0
1218T4L0025,6744.2
54780,6639.1
73984,5953.9
069 98 069,5166.6
021 96 021,4722.6
52717,4575.2
65396,4472.4
093 98 093,4032.7
001 02 001,4016.2
58020,3216.5
2509D000001,3108.0
61130,3091.4
2516B000047,3000.0
1218T4L0021,2981.3
53724,2957.7
78146,2584.8
1218T4L0026,2567.6
65476,2413.8
78145,2398.5
