RAMO_K,mdp_2025_proyecto,mdp_2026,nombre,dif_nominal,dif_real,var_real_pct
TOTAL,888527.1,974302.2,,85775.1,43125.8,4.6
GYR,481083.0,556342.6,GYR Instituto Mexicano del Seguro Social,75259.6,52167.6,10.3
56,0.0,172085.2,56 Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,172085.2,172085.2,inf
33,81220.5,84635.9,33 Aportaciones Federales para Entidades Federativas y Municipios,3415.4,-483.2,-0.6
GYN,81687.2,81525.8,GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,-161.4,-4082.4,-4.8
12,59089.7,58955.7,12 Salud,-133.9,-2970.2,-4.8
19,9896.4,10292.5,19 Aportaciones a Seguridad Social,396.1,-78.9,-0.8
07,6677.0,6926.2,07 Defensa Nacional,249.2,-71.3,-1.0
13,3521.2,3538.4,13 Marina,17.2,-151.8,-4.1
47,165352.2,0.0,47 Entidades no Sectorizadas,-165352.2,-173289.1,-100.0
