concepto,fuente,monto,unidad
"Gobierno Federal, endeudamiento neto interno",ILIF art. 2o.,1780000.0,mdp
"Gobierno Federal, endeudamiento neto externo",ILIF art. 2o.,15500.0,mdd
"Petroleos Mexicanos, interno",ILIF art. 4o.,160619.6,mdp
"Petroleos Mexicanos, externo",ILIF art. 4o.,5342.1,mdd
"Comision Federal de Electricidad, interno",ILIF art. 4o.,8764.2,mdp
"Comision Federal de Electricidad, externo",ILIF art. 4o.,969.0,mdd
Ciudad de Mexico,ILIF art. 6o.,3500.0,mdp
"--- para contraste, NO son techos ---",,,
Deficit presupuestario (DEC art. 2 / CGPE II.6),CGPE 2026,1393770.6,mdp
Ingresos derivados de financiamientos (informativo),ILIF art. 1o. numeral 0,1472626.4,mdp
