anexo,titulo,mdp_2026,mdp_2027,var_real_pct
8,COSTO FINANCIERO DE LA DEUDA Y OTRAS EROGACIONES (pesos),1572073.3,1574950.1,-3.67
10,"EROGACIONES PARA LA IMPLEMENTACIÓN DEL DESARROLLO INTEGRAL, INTERCULTU",234782.5,254960.6,4.42
11,PROGRAMA ESPECIAL CONCURRENTE PARA EL DESARROLLO RURAL SUSTENTABLE (pe,525634.1,527022.8,-3.59
12,"PROGRAMA DE HUMANIDADES, CIENCIAS, TECNOLOGÍAS E INNOVACIÓN (pesos)",160843.8,193333.7,15.58
13,EROGACIONES PARA LA IGUALDAD ENTRE MUJERES Y HOMBRES (pesos),599145.4,636133.1,2.09
14,RECURSOS PARA LA ATENCIÓN DE GRUPOS VULNERABLES (pesos),687765.0,791471.1,10.65
15,ESTRATEGIA NACIONAL DE TRANSICIÓN ENERGÉTICA (pesos),17868.4,20289.1,9.18
16,RECURSOS PARA LA ADAPTACIÓN Y MITIGACIÓN DE LOS EFECTOS DEL CAMBIO CLI,212569.7,160120.9,-27.57
17,EROGACIONES PARA EL DESARROLLO DE LOS JÓVENES (pesos),735177.8,730916.0,-4.4
18,"RECURSOS PARA LA ATENCIÓN DE NIÑAS, NIÑOS Y ADOLESCENTES (pesos)",1099514.0,1101551.7,-3.67
19,"ACCIONES PARA LA PREVENCIÓN DEL DELITO, COMBATE A LAS ADICCIONES, RESC",465729.8,465930.1,-3.8
20,PROVISIONES SALARIALES Y ECONÓMICAS (pesos),,162153.2,
27,CONSERVACION Y MANTENIMIENTO CARRETERO (pesos),27720.0,35420.0,22.86
28,SUBSIDIOS PARA ORGANISMOS DESCENTRALIZADOS ESTATALES (pesos),,81391.3,
30,"PREVENCIÓN, DETECCIÓN, INVESTIGACIÓN Y SANCIÓN DE HECHOS DE CORRUPCIÓN",9599.1,8946.0,-10.39
31,CONSOLIDACIÓN DE UNA SOCIEDAD DE CUIDADOS (pesos),466674.9,475959.7,-1.93
33,DIVERSIDAD SEXUAL Y DE GÉNERO (pesos),,43369.4,
