letra,contenido,paginas,creado_pdf,letra_indice_0908,capa_texto_pp,capa_texto_total
A,ILIF 2027,310,2026-09-08,A,,
B,"PPEF, proyecto de decreto",254,2026-09-08,B,,
C,CGPE 2027,78,2026-09-08,C,,
D,Ley Federal de Derechos,142,2026-09-08,D,,
E,Ley del Impuesto sobre la Renta,228,2026-09-08,E,,
F,Ley Aduanera,28,2026-09-08T19:18,"no listada; la F anunciaba Código Fiscal",2,28
G,Ley de Economía Digital para Pagos Digitales y Electrónicos,22,2026-09-08T19:06,"no listada",2,22
H,Ley General para el Fortalecimiento y Armonización Catastral y Registral,28,2026-09-08T19:08,"no listada",2,28
J,"Informe arancelario, artículo 131",12,2026-09-08T19:54,G,2,12
K,Nota metodológica y declaratoria ZAP 2027,18,2026-09-09T05:29,"no listada",17,18
L,Listado ZAP rurales 2027,244,2026-09-09T05:38,"no listada",243,244
M,Listado ZAP urbanas 2027,224,2026-09-09T05:41,"no listada",224,224
N,Estimación de subsidios de vivienda y suelo 2027,6,2026-09-09T05:46,"no listada",6,6
