ejercicio,ramo,nombre,mdp
2026,01,Poder Legislativo,17529.1
2026,03,Poder Judicial,85960.2
2026,22,Instituto Nacional Electoral,22837.2
2026,35,Comisión Nacional de los Derechos Humanos,1834.3
2026,49,Fiscalía General de la República,21059.4
2026,02,Oficina de la Presidencia de la República,800.5
2026,04,Gobernación,9959.7
2026,05,Relaciones Exteriores,9294.2
2026,06,Hacienda y Crédito Público,26792.1
2026,07,Defensa Nacional,170753.1
2026,08,Agricultura y Desarrollo Rural,75195.5
2026,09,"Infraestructura, Comunicaciones y Transportes",153539.3
2026,10,Economía,3535.5
2026,11,Educación Pública,513015.6
2026,12,Salud,66825.8
2026,13,Marina,65926.8
2026,14,Trabajo y Previsión Social,28441.9
2026,15,"Desarrollo Agrario, Territorial y Urbano",36290.1
2026,16,Medio Ambiente y Recursos Naturales,44064.1
2026,18,Energía,267439.1
2026,20,Bienestar,674510.0
2026,21,Turismo,1793.5
2026,27,Anticorrupción y Buen Gobierno,1743.1
2026,31,Tribunales Agrarios,895.3
2026,36,Seguridad y Protección Ciudadana,60110.9
2026,37,Consejería Jurídica del Ejecutivo Federal,153.1
2026,38,"Ciencia, Humanidades, Tecnología e Innovación",34860.8
2026,47,Entidades no Sectorizadas,8365.5
2026,48,Cultura,13097.4
2026,54,Mujeres,2141.0
2026,55,Agencia de Transformación Digital y Telecomunicaciones,3852.7
2026,56,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,172492.4
2026,19,Aportaciones a Seguridad Social,1541518.7
2026,23,Provisiones Salariales y Económicas,167652.2
2026,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",85182.4
2026,33,Aportaciones Federales para Entidades Federativas y Municipios,1041892.9
2026,24,Deuda Pública,1297681.1
2026,28,Participaciones a Entidades Federativas y Municipios,1456045.9
2026,30,Adeudos de Ejercicios Fiscales Anteriores,70855.7
2026,34,Erogaciones para los Programas de Apoy o a Ahorradores y Deudores de la Banca,35553.4
2027,01,Poder Legislativo,17931.0
2027,03,Poder Judicial,72264.7
2027,22,Instituto Nacional Electoral,42274.5
2027,35,Comisión Nacional de los Derechos Humanos,1650.9
2027,49,Fiscalía General de la República,20893.6
2027,02,Oficina de la Presidencia de la República,800.5
2027,04,Gobernación,10766.4
2027,05,Relaciones Exteriores,10176.6
2027,06,Hacienda y Crédito Público,27096.6
2027,07,Defensa Nacional,185706.1
2027,08,Agricultura y Desarrollo Rural,88758.8
2027,09,"Infraestructura, Comunicaciones y Transportes",167074.8
2027,10,Economía,3649.5
2027,11,Educación Pública,576631.9
2027,12,Salud,72305.5
2027,13,Marina,81223.4
2027,14,Trabajo y Previsión Social,30852.7
2027,15,"Desarrollo Agrario, Territorial y Urbano",37873.6
2027,16,Medio Ambiente y Recursos Naturales,49508.3
2027,18,Energía,85634.2
2027,20,Bienestar,697106.3
2027,21,Turismo,1851.3
2027,27,Anticorrupción y Buen Gobierno,1799.3
2027,31,Tribunales Agrarios,924.2
2027,36,Seguridad y Protección Ciudadana,64486.9
2027,37,Consejería Jurídica del Ejecutivo Federal,160.8
2027,38,"Ciencia, Humanidades, Tecnología e Innovación",42217.7
2027,47,Entidades no Sectorizadas,8740.1
2027,48,Cultura,15858.7
2027,54,Mujeres,2269.4
2027,55,Agencia de Transformación Digital y Telecomunicaciones,4328.8
2027,56,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,193987.2
2027,19,Aportaciones a Seguridad Social,1661007.9
2027,23,Provisiones Salariales y Económicas,162153.2
2027,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",95543.0
2027,33,Aportaciones Federales para Entidades Federativas y Municipios,1136351.6
2027,24,Deuda Pública,1306035.6
2027,28,Participaciones a Entidades Federativas y Municipios,1547607.9
2027,30,Adeudos de Ejercicios Fiscales Anteriores,81400.4
2027,34,Erogaciones para los Programas de Apoy o a Ahorradores y Deudores de la Banca,65906.1
