K,mdp_2026,mdp_2027,dif_nominal,var_real_pct,presupuesto_2026_analitico,presupuesto_2027_analitico
05-P014,4.714,4.714,0.000,-3.846,122.242,157.121
06-P018,122.012,14.824,-107.188,-88.318,561.196,523.864
07-A001,44673.432,0.000,-44673.432,-100.000,44673.432,59083.241
07-E015,744.135,139.357,-604.778,-81.993,744.135,1021.642
07-E017,3422.210,21.000,-3401.210,-99.410,3422.210,2152.009
07-K003,40000.000,0.000,-40000.000,-100.000,1510.946,
07-K019,0.000,319.007,319.007,,30000.000,17158.800
08-P021,37.471,9.956,-27.515,-74.451,4576.592,4337.337
08-Q004,13.626,13.306,-0.320,-6.104,6778.160,7146.361
08-S263,116.751,116.751,0.000,-3.846,3787.201,3787.201
08-S293,540.000,540.000,0.000,-3.846,17472.000,17000.000
08-S304,180.599,110.457,-70.142,-41.191,1898.602,2118.138
09-G006,0.051,0.000,-0.051,-100.000,1603.992,471.635
09-K019,46000.000,54358.400,8358.400,13.625,92401.600,108716.800
09-P022,0.077,0.000,-0.077,-100.000,405.151,159.970
09-Q005,3.057,0.000,-3.057,-100.000,143.704,42.286
11-E022,60.054,52.336,-7.719,-16.205,51359.390,56444.443
11-E023,1038.993,1332.613,293.620,23.327,70097.131,76037.773
11-Q007,1080.049,1145.732,65.682,2.001,20431.278,21646.332
11-U006,22.244,24.758,2.514,7.020,108736.606,124114.733
12-G012,0.000,619.241,619.241,,664.968,1271.333
12-M001,0.000,77.307,77.307,,3842.137,4502.355
12-P027,1.501,0.000,-1.501,-100.000,1501.262,1664.127
12-Q008,0.000,1.423,1.423,,9267.302,10905.886
13-A018,13.005,0.000,-13.005,-100.000,20408.619,26174.891
13-V001,0.000,13.005,13.005,,,2163.368
16-E045,577.300,2798.975,2221.675,366.191,3848.666,2798.975
16-E046,0.000,291.061,291.061,,133.182,291.061
16-G014,955.423,1700.312,744.889,71.120,955.423,1700.312
16-G015,1094.674,10068.090,8973.415,784.359,7297.829,10068.090
16-G016,61.286,669.374,608.089,950.214,408.570,669.374
16-K026,0.000,9184.735,9184.735,,3814.003,9184.735
16-K027,1792.185,13577.165,11784.980,628.439,16947.897,13577.165
16-K028,0.000,204.151,204.151,,500.000,204.151
16-M001,0.000,2805.601,2805.601,,2236.665,2805.601
16-N002,0.000,135.987,135.987,,48.310,135.987
16-O001,0.000,32.421,32.421,,28.238,32.421
16-P035,8.312,20.914,12.603,141.949,55.410,20.914
16-P036,4.630,942.386,937.756,19472.872,462.958,942.386
16-Q010,23.826,218.872,195.046,783.288,158.842,218.872
16-Q011,26.635,219.874,193.239,693.746,177.569,219.874
16-S046,167.587,234.299,66.712,34.430,167.587,234.299
16-S219,976.178,909.678,-66.500,-10.396,976.178,976.178
16-U001,0.000,0.013,0.013,,0.016,0.013
16-U074,338.631,1771.656,1433.024,403.059,2257.542,1771.656
16-U217,289.942,1514.737,1224.795,402.335,1932.944,1514.737
16-V002,1345.183,1509.037,163.855,7.866,1345.183,1509.037
16-V003,97.344,387.749,290.405,283.009,97.344,387.749
16-V005,128.231,244.718,116.487,83.502,213.718,244.718
18-G019,0.000,1.119,1.119,,151.173,281.114
18-P037,272.180,274.197,2.016,-3.134,907.268,831.360
18-P038,26369.998,0.000,-26369.998,-100.000,263699.980,81507.613
18-P039,18.432,0.000,-18.432,-100.000,282.618,211.086
18-Q013,555.261,12.758,-542.503,-97.791,1850.871,1812.929
20-S287,39100.000,40500.000,1400.000,-0.403,40664.000,40500.000
21-F025,0.500,0.650,0.150,25.056,133.171,107.980
38-S190,163.218,169.355,6.137,-0.231,14879.522,15432.339
47-S249,33.144,38.801,5.657,12.566,1703.984,1704.139
54-P059,17.168,0.000,-17.168,-100.000,171.681,217.214
54-S319,78.496,0.000,-78.496,-100.000,784.957,839.672
TYY-B010,0.000,1054.733,1054.733,,,
TYY-K025,0.000,9640.408,9640.408,,,
TYY-X013,0.000,72.908,72.908,,,
