UR,mdp_2026,mdp_2027,dif_nominal,var_real_pct
110 Dirección General de Administración,10511.683,19876.535,9364.852,81.817
111 Jefatura del Estado Mayor de la Defensa Nacional,9757.589,12930.381,3172.792,27.419
112 Dirección General de Industria Militar,2073.058,2759.209,686.150,27.979
113 Dirección General de Fábricas de Vestuario y Equipo,1060.411,1912.200,851.789,73.391
114 Dirección General de Justicia Militar,727.935,1022.456,294.522,35.058
115 Dirección General de Educación Militar y Rectoría de la Universidad del Ejército y Fuerza Aérea,2902.853,3680.710,777.857,21.920
116 Dirección General de Sanidad,6926.164,9142.758,2216.593,26.926
117 Dirección General de Ingenieros,5667.458,4842.653,-824.805,-17.840
120 Comandancia I Región Militar,19482.235,25444.365,5962.130,25.580
121 Comandancia II Región Militar,1835.510,2249.356,413.846,17.833
122 Comandancia III Región Militar,916.715,1254.906,338.191,31.627
123 Comandancia IV Región Militar,1146.239,1566.829,420.589,31.436
124 Comandancia V Región Militar,2085.074,2490.505,405.431,14.850
125 Comandancia VI Región Militar,3256.268,3658.591,402.323,8.034
126 Comandancia VII Región Militar,2930.345,3223.562,293.216,5.775
127 Comandancia VIII Región Militar,2065.596,2451.803,386.207,14.132
128 Comandancia IX Región Militar,686.849,1091.882,405.033,52.856
129 Comandancia X Región Militar,628.258,819.280,191.022,25.389
130 Comandancia XI Región Militar,987.635,1382.367,394.732,34.584
131 Comandancia XII Región Militar,2665.423,2961.942,296.519,6.851
132 Comandancia de la Fuerza Aérea Mexicana,8801.781,19618.313,10816.532,114.318
135 Tribunal Superior Militar,159.292,443.242,283.950,167.556
136 Fiscalía General de Justicia Militar,215.474,492.557,277.082,119.800
138 Dirección General de Comunicación Social,220.481,505.323,284.842,120.376
139 Dirección General de Derechos Humanos,88.121,380.893,292.772,315.615
140 Dirección General de Informática,773.088,0.000,-773.088,-100.000
141 Dirección General de Intendencia,219.588,457.198,237.610,100.199
142 Dirección General de Transmisiones,358.693,0.000,-358.693,-100.000
143 Dirección General de Materiales de Guerra,812.089,2535.858,1723.769,200.253
144 Dirección General de Transportes Militares,944.896,865.954,-78.942,-11.879
145 Cuerpo de Policía Militar,19978.377,0.000,-19978.377,-100.000
146 Comandancia del Ejército Mexicano,1255.202,332.935,-922.267,-74.496
147 Dirección General de Veterinaria y Remonta,77.819,56.460,-21.359,-30.238
148 Comandancia de la Guardia Nacional,23492.766,31486.614,7993.848,28.872
149 Dirección General de Tecnologías de la Información y Comunicaciones,0.000,2554.100,2554.100,
"H0C Grupo Aeroportuario, Ferroviario, de Servicios Auxiliares y Conexos, Olmeca-Maya-Mexica, S.A. de C.V.",3441.895,2152.009,-1289.887,-39.881
"H0M Tren Maya, S.A. de C.V.",30744.135,18180.442,-12563.694,-43.140
"HZI Aeropuerto Internacional Felipe Ángeles, S.A. de C.V.",744.690,0.000,-744.690,-100.000
"HZK Aerolínea del Estado Mexicano, S.A. de C.V.",111.457,881.949,770.493,660.860
