INST,FN_K,mdp_2026,mdp_2027,dif_nominal,var_real_pct
GYN,1.3,365.623,349.288,-16.335,-8.142
GYN,2.3,81525.772,99963.906,18438.134,17.900
GYN,2.6,457005.463,471135.630,14130.167,-0.873
GYN,3.8,123.904,143.466,19.562,11.335
GYR,1.3,343.540,362.673,19.132,1.509
GYR,2.3,556342.597,640797.103,84454.506,10.750
GYR,2.6,1032733.438,1160838.900,128105.462,8.081
GYR,3.8,889.121,1010.422,121.300,9.272
TVV,1.3,114.835,120.383,5.549,0.800
TVV,2.6,67841.700,66154.772,-1686.928,-6.237
TVV,3.3,534610.969,508940.402,-25670.566,-8.463
TYY,1.3,843.439,285.027,-558.411,-67.506
TYY,3.3,707357.440,678377.674,-28979.767,-7.785
