EF,mdp_2026,mdp_2027,dif_nominal,var_real_pct
01 Aguascalientes,14683.388,16416.129,1732.742,7.501
02 Baja California,24427.877,26381.116,1953.239,3.842
03 Baja California Sur,8595.730,9522.987,927.257,6.526
04 Campeche,9909.874,10932.152,1022.278,6.073
05 Coahuila,24963.671,27380.467,2416.796,5.463
06 Colima,7285.500,7952.569,667.069,4.958
07 Chiapas,68893.844,74385.668,5491.824,3.819
08 Chihuahua,30783.801,33659.006,2875.205,5.135
09 Ciudad de México,18900.133,20136.244,1236.111,2.443
10 Durango,19925.531,21647.726,1722.195,4.465
11 Guanajuato,42150.359,45690.068,3539.709,4.229
12 Guerrero,49465.272,53067.000,3601.728,3.155
13 Hidalgo,31972.683,34671.731,2699.048,4.271
14 Jalisco,51010.927,55304.464,4293.537,4.247
15 Estado de México,98571.945,107423.402,8851.457,4.788
16 Michoacán,41767.118,43973.533,2206.415,1.233
17 Morelos,16557.576,18276.474,1718.898,6.136
18 Nayarit,12091.634,12998.396,906.761,3.365
19 Nuevo León,36000.324,39053.159,3052.835,4.308
20 Oaxaca,56591.065,62128.448,5537.382,5.562
21 Puebla,48516.784,52583.160,4066.377,4.213
22 Querétaro,17446.180,18804.014,1357.834,3.637
23 Quintana Roo,13489.065,14787.559,1298.494,5.410
24 San Luis Potosí,26246.275,28577.546,2331.270,4.695
25 Sinaloa,23919.348,25923.327,2003.979,4.210
26 Sonora,19756.436,21518.153,1761.717,4.728
27 Tabasco,19272.480,21141.122,1868.642,5.477
28 Tamaulipas,27143.482,29564.915,2421.433,4.732
29 Tlaxcala,13144.219,14191.977,1047.758,3.819
30 Veracruz,70536.056,76555.857,6019.801,4.360
31 Yucatán,19134.678,20845.440,1710.761,4.751
32 Zacatecas,15985.460,17161.490,1176.030,3.228
34 No Distribuible Geográficamente,62754.192,73696.273,10942.082,12.920
