id,concepto,ejercicio,etapa,valor,unidad,documento,ubicacion
pib_27,PIB nominal,2027,proyecto,39419400.0,mdp,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
pib_26_ap,PIB nominal aprobado,2026,aprobado,38715900.0,mdp,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
pib_26_es,PIB nominal estimado,2026,cierre estimado,37160700.0,mdp,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
defl_27,Deflactor del PIB,2027,proyecto,1.040,factor,CGPE 2027 (ed. SHCP),Anexo III.1 p. 68
infl_prom_27,Inflación INPC promedio,2027,proyecto,3.2,pct,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
infl_dic_27,Inflación INPC dic./dic.,2027,proyecto,3.0,pct,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
tc_prom_27,Tipo de cambio promedio,2027,proyecto,17.9,pesos por dolar,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
tc_prom_26,Tipo de cambio promedio,2026,cierre estimado,17.6,pesos por dolar,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
tc_fin_27,Tipo de cambio fin de periodo,2027,proyecto,18.0,pesos por dolar,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
tc_fin_26,Tipo de cambio fin de periodo,2026,cierre estimado,17.8,pesos por dolar,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
cetes_prom_27,Cetes 28 dias promedio,2027,proyecto,6.1,pct,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
petro_27,Precio de la mezcla mexicana,2027,proyecto,61.8,dolares por barril,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
petro_26,Precio de la mezcla mexicana,2026,cierre estimado,78.4,dolares por barril,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
petro_26_ap,Precio de la mezcla mexicana,2026,aprobado,54.9,dolares por barril,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_prod_27,Plataforma de produccion,2027,proyecto,1800.1,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_prod_26,Plataforma de produccion,2026,cierre estimado,1800.0,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_exp_27,Plataforma de exportacion,2027,proyecto,426.6,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_exp_26,Plataforma de exportacion,2026,cierre estimado,522.4,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_priv_27,Plataforma de privados,2027,proyecto,125.1,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
plat_priv_26,Plataforma de privados,2026,cierre estimado,119.0,mbd,CGPE 2027 (ed. SHCP),Anexo II.5 p. 66
lif_total_27,Ingreso total del articulo 1o.,2027,proyecto,10636488.1,mdp,ILIF 2027,art. 1o. p. 160
lif_total_26,Ingreso total del articulo 1o.,2026,proyecto,10193683.7,mdp,ILIF 2026,art. 1o.
lif_imp_27,Impuestos,2027,proyecto,6263886.8,mdp,ILIF 2027,art. 1o. p. 160
lif_imp_26,Impuestos,2026,proyecto,5838541.1,mdp,ILIF 2026,art. 1o.
lif_isr_27,Impuesto sobre la renta,2027,proyecto,3288975.3,mdp,ILIF 2027,art. 1o. p. 160
lif_isr_26,Impuesto sobre la renta,2026,proyecto,3070149.1,mdp,ILIF 2026,art. 1o.
lif_iva_27,Impuesto al valor agregado,2027,proyecto,1768017.3,mdp,ILIF 2027,art. 1o. p. 160
lif_iva_26,Impuesto al valor agregado,2026,proyecto,1589069.0,mdp,ILIF 2026,art. 1o.
lif_ieps_27,IEPS,2027,proyecto,828256.0,mdp,ILIF 2027,art. 1o. p. 160
lif_ieps_26,IEPS,2026,aprobado,761501.9,mdp,LIF 2026 aprobada,art. 1o.
lif_comb_27,IEPS de combustibles automotrices,2027,proyecto,538549.2,mdp,ILIF 2027,art. 1o. p. 160
lif_comb_26,IEPS de combustibles automotrices,2026,proyecto,473279.1,mdp,ILIF 2026,art. 1o.
lif_cuotas_27,Cuotas y aportaciones de seguridad social,2027,proyecto,702564.7,mdp,ILIF 2027,art. 1o. p. 160
lif_cuotas_26,Cuotas y aportaciones de seguridad social,2026,proyecto,641782.1,mdp,ILIF 2026,art. 1o.
lif_der_27,Derechos,2027,proyecto,177185.9,mdp,ILIF 2027,art. 1o. p. 160
lif_der_26,Derechos,2026,proyecto,157081.7,mdp,ILIF 2026,art. 1o.
lif_apro_27,Aprovechamientos,2027,proyecto,329479.8,mdp,ILIF 2027,art. 1o. p. 160
lif_apro_26,Aprovechamientos,2026,proyecto,203520.5,mdp,ILIF 2026,art. 1o.
lif_ventas_27,Ingresos por ventas de bienes y servicios,2027,proyecto,1457539.9,mdp,ILIF 2027,art. 1o. p. 160
lif_ventas_26,Ingresos por ventas de bienes y servicios,2026,proyecto,1630973.6,mdp,ILIF 2026,art. 1o.
lif_fmp_27,Transferencias del Fondo Mexicano del Petroleo,2027,proyecto,210774.0,mdp,ILIF 2027,art. 1o. p. 160
lif_fmp_26,Transferencias del Fondo Mexicano del Petroleo,2026,proyecto,232630.4,mdp,ILIF 2026,art. 1o.
lif_fin_27,Ingresos derivados de financiamientos,2027,proyecto,1479959.2,mdp,ILIF 2027,art. 1o. p. 160
lif_fin_26,Ingresos derivados de financiamientos,2026,proyecto,1472626.4,mdp,ILIF 2026,art. 1o.
end_int_27,Endeudamiento neto interno autorizado,2027,proyecto,1700000.0,mdp,ILIF 2027,art. 2o. p. 174
end_ext_27,Endeudamiento neto externo autorizado,2027,proyecto,13500.0,mdd,ILIF 2027,art. 2o. p. 174
cg_ing_27,Ingresos presupuestarios,2027,proyecto,9156528.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_ing_26ap,Ingresos presupuestarios,2026,aprobado,8721057.3,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_ing_26es,Ingresos presupuestarios,2026,cierre estimado,8537298.7,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_petro_27,Ingresos petroleros,2027,proyecto,984539.7,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_petro_26ap,Ingresos petroleros,2026,aprobado,1204277.7,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_petro_26es,Ingresos petroleros,2026,cierre estimado,1113958.1,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_nopetro_27,Ingresos no petroleros,2027,proyecto,8171989.2,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_nopetro_26ap,Ingresos no petroleros,2026,aprobado,7516779.6,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_trib_27,Ingresos tributarios,2027,proyecto,6263886.8,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_trib_26ap,Ingresos tributarios,2026,aprobado,5838571.0,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_notrib_27,Ingresos no tributarios del Gobierno Federal,2027,proyecto,521763.5,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_notrib_26ap,Ingresos no tributarios del Gobierno Federal,2026,aprobado,377130.1,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_org_27,Ingresos de organismos y empresas,2027,proyecto,1386338.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_org_26ap,Ingresos de organismos y empresas,2026,aprobado,1301078.5,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_gasto_27,Gasto neto pagado,2027,proyecto,10515087.7,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
cg_gasto_26ap,Gasto neto pagado,2026,aprobado,10114827.9,mdp,CGPE 2027 (ed. SHCP),Anexo II.6 p. 67
