tabla,concepto,mdp
programas_sociales,Pensión para Adultos Mayores,543498.4
programas_sociales,Pensión Mujeres Bienestar,59356.3
programas_sociales,Pensión Personas con Discapacidad,37436.3
programas_sociales,Niñas y Niños,3418.0
programas_sociales,Sembrando Vida,40500.0
programas_sociales,Salud Casa por Casa,5000.0
programas_sociales,Jóvenes Construyendo el Futuro,25985.3
programas_sociales,Programas de Becas Benito Juárez,190551.9
programas_sociales,Beca Rita Cetina,133561.3
programas_sociales,Beca Nivel Medio Superior,43932.4
programas_sociales,Jóvenes Escribiendo el Futuro,13058.2
programas_sociales,La Escuela es Nuestra,20000.0
programas_sociales,Producción para el Bienestar,17000.0
programas_sociales,Acopio para el Bienestar,8445.0
programas_sociales,Leche para el Bienestar,6866.9
programas_sociales,Comercio Justo,8995.6
programas_sociales,Comercio Justo (Incentivos),2862.8
programas_sociales,Maíz es la Raíz,2000.0
programas_sociales,Fertilizantes,17000.0
programas_sociales,Pesca,2118.1
programas_sociales,Programa de Vivienda Social,34353.9
programas_sociales,Total,1025388.5
programas_sociales,Programable devengado,7094.7
programas_sociales,Participaciones,1456.0
programas_sociales,Adefas,70.9
prioridades_inversion,1. Nuevos Trenes,150875.6
prioridades_inversion,1.1 Tren México - Querétaro,5682.2
prioridades_inversion,1.2 Tren AIFA - Pachuca,1339.0
prioridades_inversion,1.3 Tren Saltillo - Nuevo Laredo,41985.8
prioridades_inversion,1.4 Tren Querétaro - Irapuato,20054.7
prioridades_inversion,1.5 Tren Irapuato – Guadalajara,1000.0
prioridades_inversion,1.6 Tren Querétaro – Saltillo,24025.5
prioridades_inversion,1.7 Material Rodante,14629.5
prioridades_inversion,1.8 Tren Maya,17158.8
prioridades_inversion,1.9 Istmo de Tehuantepec,25000.0
prioridades_inversion,2. Obras hidráulicas CONAGUA,22761.9
prioridades_inversion,3. Carreteras y Caminos,24121.2
prioridades_inversion,4. Puentes y Distribuidores,3598.8
prioridades_inversion,5. Toluca – Zihuatanejo,7700.0
prioridades_inversion,6. Defensa Nacional,12781.5
prioridades_inversion,7. Marina,10030.8
prioridades_inversion,8. Proyecto Sargazo,1866.9
prioridades_inversion,9. Inversión SSPC,8370.8
prioridades_inversion,"10. APPs, PPSs",1544.3
prioridades_inversion,11. Pemex,255529.2
prioridades_inversion,12. CFE,60991.6
prioridades_inversion,Total,560172.6
prioridades_inversion,"7,432.5                   337.8",1.5
prioridades_inversion,"1,547.6                    91.6",3.0
prioridades_inversion,81.4                    10.5,11.3
