ejercicio,anexo,ramo,pp,nombre,mdp,K
2026,13,01,R001,Activ idades deriv adas del trabajo legislativ o,6.000,01-R001
2026,13,04,P006,Articulación de la política en materia de comunicación social del Gobierno de Méx ico,0.137,04-P006
2026,13,04,P007,Planeación demográfica del país,3.104,04-P007
2026,13,04,P011,"Coordinación con las instancias que integran el Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes",37.626,04-P011
2026,13,04,P061,Política para promov er la protección de los derechos humanos y prev enir la discriminación,0.334,04-P061
2026,13,05,E005,Atención y serv icios integrales de protección y asistencia consular,2.580,05-E005
2026,13,06,F001,Inclusión financiera para el bienestar,4.524,06-F001
2026,13,06,M001,Activ idades de apoy o administrativ o,4.000,06-M001
2026,13,07,A016,Programa de igualdad entre mujeres y hombres SDN,101.363,07-A016
2026,13,07,E015,Serv icios Públicos de Transporte Masiv o de Personas y Carga Tren May a,744.135,07-E015
2026,13,08,S052,Precio de Garantía y Leche para el Bienestar,873.119,08-S052
2026,13,08,S053,Programa de Abasto Rural,1625.741,08-S053
2026,13,08,S290,Acopio para el Bienestar,3296.201,08-S290
2026,13,08,S292,Fertilizantes para el Bienestar,5250.000,08-S292
2026,13,08,S293,Producción para el Bienestar,5368.320,08-S293
2026,13,08,S304,"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura",433.422,08-S304
2026,13,08,S318,Comercio Justo,784.000,08-S318
2026,13,09,M001,Activ idades de apoy o administrativ o,1.755,09-M001
2026,13,10,M001,Activ idades de apoy o administrativ o,0.100,10-M001
2026,13,11,E022,Serv icios de Educación Media Superior,4237.593,11-E022
2026,13,11,E023,Serv icios de Educación Superior y Posgrado,14940.026,11-E023
2026,13,11,E030,Educación Inicial y Básica Comunitaria,4224.311,11-E030
2026,13,11,M001,Políticas de igualdad de género en el sector educativ o(en 2026 se conv ierte en M001),1188.357,11-M001
2026,13,11,S072,Beca Univ ersal de Educación Básica Rita Cetina,103508.800,11-S072
2026,13,11,S243,Programa de Becas Elisa Acuña,820.172,11-S243
2026,13,11,S247,Programa para el Desarrollo Profesional Docente,19.348,11-S247
2026,13,11,S282,La Escuela es Nuestra,25488.580,11-S282
2026,13,11,S283,Jóv enes Escribiendo el Futuro,6325.000,11-S283
2026,13,11,S311,Beca Univ ersal de Educación Media Superior Benito Juárez,21279.500,11-S311
2026,13,11,U270,Programa Nacional de Inglés,765.875,11-U270
2026,13,12,E031,Serv icios de atención a la salud,866.409,12-E031
2026,13,12,E032,Serv icios de atención a la salud mental y prev ención de las adicciones,30.574,12-E032
2026,13,12,E033,Serv icios de v acunación,101.611,12-E033
2026,13,12,P028,Política de prev ención y control de enfermedades,2370.778,12-P028
2026,13,12,P029,Política en Salud Materna Sex ual y Reproductiv a,2270.333,12-P029
2026,13,13,A023,Programa para el fortalecimiento de derechos humanos e igualdad de género,6.860,13-A023
2026,13,14,E040,Serv icios de impartición y procuración de justicia laboral,8.075,14-E040
2026,13,14,P031,Implementación de la política laboral,0.152,14-P031
2026,13,14,P063,Articulación de Políticas Integrales de Juv entud,12.595,14-P063
2026,13,14,S280,Jóv enes Construy endo el Futuro,14975.418,14-S280
2026,13,15,S177,Programa de Viv ienda Social,19968.000,15-S177
2026,13,16,P036,Articulación de la Política Ambiental y de Recursos Naturales,0.278,16-P036
