INST,mdp_2026,mdp_2027,dif_nominal,var_real_pct
01,303.810,296.868,-6.941,-6.043
03,14.270,10.880,-3.390,-26.690
07,31510.946,17158.800,-14352.146,-47.641
08,0.000,25.000,25.000,
09,62566.000,115265.841,52699.841,77.145
13,25000.000,25906.500,906.500,-0.360
16,20761.900,22761.900,2000.000,5.416
22,0.000,957.289,957.289,
36,0.000,2125.447,2125.447,
49,178.783,0.000,-178.783,-100.000
GYN,4306.166,5748.000,1441.834,28.349
GYR,7361.830,15720.570,8358.740,105.328
TVV,39761.770,38043.291,-1718.478,-8.002
TYY,239843.174,241237.210,1394.036,-3.287
