INST,OG,mdp_2026,mdp_2027,dif_nominal,var_real_pct
01,79902,0.000,111.153,111.153,
04,79902,0.000,10.000,10.000,
07,79902,2388.462,10758.392,8369.930,333.108
09,79902,68496.000,35197.179,-33298.821,-50.591
11,79902,1000.000,2447.597,1447.597,135.346
12,79902,7475.856,1051.688,-6424.168,-86.473
18,73903,263476.317,81103.000,-182373.317,-70.402
23,79902,21201.437,21693.157,491.720,-1.616
36,79902,19459.287,6155.328,-13303.959,-69.585
38,79902,91.371,21.887,-69.484,-76.968
47,79902,0.000,39.301,39.301,
54,79902,0.000,10.000,10.000,
56,79902,0.000,2500.000,2500.000,
GYN,79902,722.581,717.810,-4.771,-4.481
GYR,79902,1273.000,1000.000,-273.000,-24.467
TYY,73902,2577.000,1512.804,-1064.196,-43.554
