SF_K,INST,mdp_2026,mdp_2027,dif_nominal,var_real_pct
2.5.1,07,124.970,604.554,479.584,365.154
2.5.1,11,156651.983,161120.257,4468.274,-1.104
2.5.1,25,48615.406,51551.400,2935.993,1.961
2.5.1,33,561418.196,622977.369,61559.173,6.697
2.5.2,07,1881.837,2535.030,653.193,29.529
2.5.2,08,1237.342,1243.566,6.225,-3.362
2.5.2,11,140961.902,149122.222,8160.320,1.720
2.5.2,33,7966.130,8287.032,320.902,0.027
2.5.3,07,1611.067,2791.126,1180.059,66.584
2.5.3,08,1842.644,1893.583,50.939,-1.188
2.5.3,11,158448.556,173255.141,14806.585,5.139
2.5.3,25,1368.853,1451.278,82.424,1.944
2.5.3,33,7341.696,7868.462,526.766,3.053
2.5.4,08,2620.231,2717.599,97.368,-0.273
2.5.4,11,8199.317,9312.233,1112.916,9.205
2.5.5,11,1746.625,1863.649,117.023,2.596
2.5.5,33,3953.140,4124.584,171.444,0.324
2.5.6,09,0.000,14.524,14.524,
2.5.6,11,18208.340,51412.881,33204.541,171.499
2.5.6,13,2137.270,2202.164,64.894,-0.927
2.5.6,25,35159.179,42499.008,7339.829,16.227
2.5.6,47,367.751,378.561,10.810,-1.020
