SF_K,INST,mdp_2026,mdp_2027,dif_nominal,var_real_pct
2.6.1,GYN,7472.996,2675.860,-4797.136,-65.570
2.6.1,GYR,34599.684,30802.335,-3797.349,-14.399
2.6.2,19,1323561.895,1434046.760,110484.865,4.180
2.6.2,GYN,389462.181,409158.056,19695.875,1.017
2.6.2,GYR,977310.512,1107044.942,129734.430,8.918
2.6.2,TVV,67841.700,66154.772,-1686.928,-6.237
2.6.3,GYN,3994.178,3799.856,-194.323,-8.524
2.6.3,GYR,17120.101,19498.255,2378.154,9.511
2.6.6,GYN,995.930,1068.155,72.225,3.127
2.6.7,47,5038.943,5281.309,242.366,0.779
2.6.8,12,5119.721,5316.415,196.694,-0.152
2.6.8,20,674502.893,697098.839,22595.945,-0.625
2.6.8,33,19993.726,21428.273,1434.547,3.053
2.6.9,19,207664.268,215926.133,8261.866,-0.021
2.6.9,GYN,55080.178,54433.703,-646.475,-4.975
2.6.9,GYR,3703.141,3493.368,-209.773,-9.293
