K,mdp_2026,mdp_2027,dif_nominal,var_real_pct
19-J002,390440.000,409866.990,19426.990,0.938
19-J003,795824.000,890029.465,94205.465,7.536
19-J004,44181.000,46950.000,2769.000,2.180
19-J005,1422.429,92.000,-1330.429,-93.781
19-J006,43693.146,38500.000,-5193.146,-15.275
19-J007,0.191,0.161,-0.030,-18.730
19-J008,324.393,300.000,-24.393,-11.077
19-J009,8744.867,10972.693,2227.825,20.650
19-J010,4800.000,5200.000,400.000,4.167
19-J011,29936.410,26584.595,-3351.815,-14.612
19-J012,2742.085,2777.663,35.577,-2.599
19-R008,187.256,210.000,22.744,7.832
19-R009,197.659,161.000,-36.659,-21.680
19-R010,61.705,63.556,1.851,-0.962
19-R011,18131.302,19212.785,1081.483,1.889
19-R012,1252.574,2633.114,1380.540,102.131
19-T001,151218.000,157909.642,6691.642,0.409
19-T002,6923.200,7511.965,588.765,4.331
19-T003,615.357,636.621,21.265,-0.523
19-T004,9504.184,10551.521,1047.337,6.750
19-T005,29859.179,29946.869,87.690,-3.564
19-U001,342.957,356.675,13.718,0.000
19-U002,681.595,253.178,-428.417,-64.284
19-U003,260.432,286.935,26.503,5.939
19-U004,174.773,0.430,-174.342,-99.763
