ticker,loe_major,years_to_major_LOE,pe_trailing,pe_trailing_xs_dev_pct,pe_trailing_oh_z,pe_trailing_oh_std,pe_trailing_oh_n,pe_forward,pe_forward_xs_dev_pct,pe_forward_oh_z,pe_forward_oh_std,pe_forward_oh_n,ev_ebitda,ev_ebitda_xs_dev_pct,ev_ebitda_oh_z,ev_ebitda_oh_std,ev_ebitda_oh_n,ev_sales,ev_sales_xs_dev_pct,ev_sales_oh_z,ev_sales_oh_std,ev_sales_oh_n,ev_fcf,ev_fcf_xs_dev_pct,ev_fcf_oh_z,ev_fcf_oh_std,ev_fcf_oh_n,price_book,price_book_xs_dev_pct,price_book_oh_z,price_book_oh_std,price_book_oh_n,dividend_yield,dividend_yield_xs_dev_pct,dividend_yield_oh_z,dividend_yield_oh_std,dividend_yield_oh_n,gross_margin,gross_margin_xs_dev_pct,gross_margin_oh_z,gross_margin_oh_std,gross_margin_oh_n,operating_margin,operating_margin_xs_dev_pct,operating_margin_oh_z,operating_margin_oh_std,operating_margin_oh_n,net_margin,net_margin_xs_dev_pct,net_margin_oh_z,net_margin_oh_std,net_margin_oh_n,roe,roe_xs_dev_pct,roe_oh_z,roe_oh_std,roe_oh_n,roic,roic_xs_dev_pct,roic_oh_z,roic_oh_std,roic_oh_n,net_debt_ebitda,net_debt_ebitda_xs_dev_pct,net_debt_ebitda_oh_z,net_debt_ebitda_oh_std,net_debt_ebitda_oh_n,interest_coverage,interest_coverage_xs_dev_pct,interest_coverage_oh_z,interest_coverage_oh_std,interest_coverage_oh_n,current_ratio,current_ratio_xs_dev_pct,current_ratio_oh_z,current_ratio_oh_std,current_ratio_oh_n,rnd_sales,rnd_sales_xs_dev_pct,rnd_sales_oh_z,rnd_sales_oh_std,rnd_sales_oh_n,capex_sales,capex_sales_xs_dev_pct,capex_sales_oh_z,capex_sales_oh_std,capex_sales_oh_n,fcf_conversion,fcf_conversion_xs_dev_pct,fcf_conversion_oh_z,fcf_conversion_oh_std,fcf_conversion_oh_n,revenue_cagr_3y,revenue_cagr_3y_xs_dev_pct,revenue_cagr_3y_oh_z,revenue_cagr_3y_oh_std,revenue_cagr_3y_oh_n,eps_growth_3y,eps_growth_3y_xs_dev_pct,eps_growth_3y_oh_z,eps_growth_3y_oh_std,eps_growth_3y_oh_n
LLY,2036,10,42.9789,35.5026,-1.1789,19.0441,3,27.0512,37.9729,NA,NA,0,27.2980,63.0705,-4.6104,3.1363,3,14.2910,129.4637,-1.0875,1.5870,3,190.8989,444.1326,NA,NA,2,33.6914,502.3049,-1.9737,7.5281,3,0.0052,-74.6606,-1.7688,0.0014,3,0.8304,13.9182,2.0461,0.0186,3,0.4556,75.6360,3.9271,0.0390,3,0.3167,58.1480,2.7777,0.0352,3,0.7778,300.5805,1.8208,0.1052,3,0.3450,142.2142,3.4827,0.0291,3,1.1118,11.4356,-4.0812,0.1244,3,21.8294,41.0234,NA,NA,2,1.5791,23.0164,6.1091,0.0862,3,0.2046,21.5262,-3.8806,0.0122,3,0.1664,128.0065,-0.4251,0.0473,3,0.2890,-64.3726,0.4572,0.5465,3,0.3169,309.2613,NA,NA,0,0.5171,442.4425,NA,NA,0
JNJ,2029,3,31.7181,0.0000,1.0176,6.8509,3,22.2149,13.3058,NA,NA,0,19.5470,16.7682,2.1794,1.4195,3,6.9600,11.7534,2.9712,0.8261,3,35.2936,0.5999,4.0108,3.4186,3,7.7488,38.5269,4.8477,0.4668,3,0.0192,-7.0581,-3.3304,0.0036,3,0.6788,-6.8848,-6.7372,0.0018,3,0.2717,4.7555,1.3025,0.0102,3,0.2846,42.1159,0.5591,0.1078,3,0.3287,69.2805,0.6778,0.1403,3,0.2132,49.6572,22.3049,0.0032,3,0.6779,-32.0521,1.2224,0.1547,3,34.5541,123.2283,0.4919,23.2809,3,1.0277,-19.9417,-1.1932,0.0696,3,0.1557,-7.5338,-2.6626,0.0081,3,0.0554,-24.1305,-0.4304,0.0081,3,0.7205,-11.1605,-0.7438,0.3191,3,0.0560,-27.6819,NA,NA,0,0.1790,87.7787,NA,NA,0
AMGN,2028,2,27.4417,-13.4826,0.7852,5.7107,3,18.1313,-7.5224,NA,NA,0,16.3580,-2.2820,45.4276,0.0509,3,7.4150,19.0591,1.3470,0.7134,3,34.8727,-0.5999,3.4358,4.5212,3,20.4607,265.7781,-0.6466,6.6243,3,0.0222,7.4348,-3.4294,0.0023,3,0.6725,-7.7512,-0.4776,0.0581,3,0.2471,-4.7555,-0.5520,0.0599,3,0.2098,4.7860,-0.4966,0.0573,3,0.8906,358.6616,-0.4130,0.4532,3,0.1593,11.8296,0.9064,0.0329,3,2.6911,169.7432,-1.6410,0.5559,3,4.2581,-72.4917,0.3364,1.5633,3,1.1400,-11.1929,-1.7012,0.1612,3,0.1979,17.5179,6.3414,0.0044,3,0.0506,-30.7465,5.4938,0.0027,3,1.0504,29.5180,-0.4596,0.6317,3,0.1177,51.9701,NA,NA,0,0.0552,-42.0505,NA,NA,0
PFE,2028,2,37.1579,17.1504,0.6178,29.8426,3,9.7534,-50.2534,NA,NA,0,8.3930,-49.8626,-0.3363,6.7879,3,3.3450,-46.2909,0.9117,0.3330,3,23.4751,-33.0872,0.2578,14.7347,3,1.8895,-66.2217,0.1078,0.5880,3,0.0609,195.3647,0.2901,0.0139,3,0.7433,1.9584,1.4577,0.0567,3,0.2782,7.2306,0.3510,0.1236,3,0.1242,-37.9831,-0.0179,0.1142,3,0.0899,-53.7214,-0.0091,0.1304,3,0.0677,-52.4447,-0.0557,0.0978,3,3.0010,200.7962,0.2587,2.3941,3,3.8154,-75.3514,0.0175,12.5292,3,1.1599,-9.6407,-0.0830,0.1366,3,0.1668,-0.9472,-0.1126,0.0294,3,0.0420,-42.4524,-0.2687,0.0138,3,1.1678,43.9878,-0.0941,0.6040,3,-0.1480,-291.1199,NA,NA,0,-0.3712,-489.3602,NA,NA,0
MRK,2028,2,122.7419,286.9776,0.2966,348.4293,3,15.9205,-18.7985,NA,NA,0,14.6280,-12.6165,0.0399,14.9800,3,6.3440,1.8626,3.5932,0.3616,3,34.1687,-2.6067,1.8214,7.5949,3,8.9603,60.1847,3.5853,0.7916,3,0.0221,7.0581,-1.8760,0.0026,3,0.7480,2.6113,0.6986,0.0233,3,0.3401,31.0890,0.2557,0.1238,3,0.2808,40.2274,0.3038,0.1181,3,0.3470,78.6989,0.1975,0.1585,3,0.1907,33.8608,-0.1102,0.0892,3,1.2304,23.3289,0.2128,1.5006,3,16.5247,6.7538,-0.0230,6.9728,3,1.5362,19.6736,1.8952,0.0905,3,0.2429,44.2405,-0.3020,0.1215,3,0.0633,-13.3574,-0.1150,0.0088,3,0.6771,-16.5135,-0.0336,11.3204,3,0.0312,-59.6748,NA,NA,0,0.0843,-11.5332,NA,NA,0
VRTX,2037,11,32.1526,1.3699,NA,NA,2,25.3051,29.0672,NA,NA,0,26.2820,57.0012,0.0657,87.8442,3,10.6500,71.0019,1.6462,1.0068,3,41.9722,19.6363,NA,NA,2,6.9076,23.4875,2.3460,0.4021,3,NA,NA,NA,NA,0,0.8624,18.3038,-1.3149,0.0074,3,0.3795,46.2939,-0.0165,0.2158,3,0.3294,64.5062,-0.1896,0.1970,3,0.2118,9.0690,0.0488,0.1209,3,0.1916,34.4730,-0.0745,0.0975,3,-0.9407,-194.2870,0.4150,3.1800,3,350.1128,2161.8200,6.9990,38.8452,3,2.9009,125.9875,-1.2373,0.8780,3,0.3368,100.0512,-0.1876,0.1975,3,0.0365,-50.0524,1.1071,0.0093,3,0.8079,-0.3873,NA,NA,2,0.1035,33.7046,NA,NA,0,0.0612,-35.8227,NA,NA,0
NVO,2032,6,11.4483,-63.9062,NA,NA,0,13.6386,-30.4372,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0.0399,93.4365,NA,NA,0,0.8098,11.0855,-10.7627,0.0034,3,0.4130,59.2293,-3.1872,0.0090,3,0.3314,65.5226,-0.8305,0.0196,3,0.5279,171.8544,-3.5113,0.0501,3,0.3253,128.3844,-2.1161,0.0877,3,0.6635,-33.4910,2.5946,0.2447,3,32.0292,106.9172,-2.9058,52.1975,3,0.7996,-37.7056,-0.3802,0.0617,3,0.1684,0.0000,2.1811,0.0132,3,0.2916,299.3965,2.9559,0.0420,3,0.2830,-65.1065,-2.8508,0.1942,3,0.2043,163.8465,NA,NA,0,0.2352,146.7220,NA,NA,0
AZN,2032,6,24.6931,-22.1482,-0.6792,15.2702,3,14.2444,-27.3474,NA,NA,0,14.2330,-14.9761,-0.6439,4.6650,3,4.6160,-25.8831,-0.9617,0.4515,3,32.6753,-6.8634,0.2811,1.6803,3,5.0868,-9.0625,-0.8742,0.2833,3,0.0131,-36.7025,-10.0170,0.0008,3,0.8190,12.3465,0.1728,0.0448,3,0.2269,-12.5360,0.8968,0.0416,3,0.1741,-13.0642,1.6726,0.0264,3,0.2101,8.2002,1.6262,0.0356,3,0.1486,4.3286,1.5082,0.0266,3,1.2012,20.3974,-1.1441,0.4184,3,8.6840,-43.8990,2.3941,1.3961,3,0.9381,-26.9169,1.7921,0.0440,3,0.2423,43.8994,0.2814,0.0128,3,0.1005,37.7078,1.4878,0.0121,3,0.8479,4.5470,-0.4767,0.5346,3,0.0982,26.8081,NA,NA,0,0.4580,380.4422,NA,NA,0
NVS,2029,3,24.2526,-23.5369,1.3526,6.0309,3,16.3433,-16.6423,NA,NA,0,15.0010,-10.3883,2.0595,1.4648,3,6.1120,-1.8626,5.1854,0.2842,3,22.7305,-35.2097,4.1776,1.4189,3,7.3348,31.1256,5.4630,0.5439,3,0.0298,44.3862,-4.6396,0.0020,3,0.7583,4.0205,2.7797,0.0089,3,0.3113,20.0153,2.4537,0.0416,3,0.2467,23.2280,0.2453,0.0647,3,0.3031,56.1159,0.3733,0.0858,3,0.1834,28.7118,1.4419,0.0381,3,1.0448,4.7223,3.6587,0.1001,3,15.2937,-1.1987,1.9135,1.8937,3,1.1167,-13.0104,-0.3717,0.1032,3,0.1976,17.3691,-0.6481,0.0207,3,0.0688,-5.7360,1.0629,0.0092,3,1.0901,34.4075,-0.1713,0.3853,3,0.0925,19.4907,NA,NA,0,0.3114,226.6841,NA,NA,0
RO.SW,2029,3,24.2922,-23.4121,0.3791,3.2507,3,16.9758,-13.4161,NA,NA,0,13.5330,-19.1577,-0.5926,0.9511,3,5.1510,-17.2929,3.4607,0.3952,3,24.8078,-29.2885,1.5975,3.0232,3,9.0758,62.2499,1.2633,1.5570,3,nan,nan,nan,0.0047,3,0.7373,1.1389,0.4777,0.0165,3,0.2916,12.4200,1.7001,0.0217,3,0.2033,1.5289,0.5436,0.0268,3,0.3810,96.2333,-0.1449,0.0771,3,0.2223,56.0623,0.0475,0.0446,3,0.8162,-18.1923,-1.8469,0.1501,3,13.6100,-12.0761,-0.2402,6.2935,3,1.3831,7.7488,0.3644,0.0982,3,0.2107,25.1636,-4.0946,0.0059,3,0.0912,24.9482,3.0719,0.0047,3,1.0150,25.1455,-0.1385,0.3742,3,-0.0126,-116.2833,NA,NA,0,0.0143,-84.9746,NA,NA,0
