year,age_group,asfr_per_1000,births
2020,15-19,62.58998082,351657
2020,20-24,109.5161233,609347
2020,25-29,101.9416385,557613
2020,30-34,73.49539316,374346
2020,35-39,38.77074172,181585
2020,40-44,10.4442219,45654
2020,45-49,1.002991425,4132
2021,15-19,61.85194864,345748
2021,20-24,108.1785199,603295
2021,25-29,100.7251869,551519
2021,30-34,72.6121776,374839
2021,35-39,38.3249191,182082
2021,40-44,10.33713738,45400
2021,45-49,0.990328634,4138
2022,15-19,61.06328434,340196
2022,20-24,106.7535223,596401
2022,25-29,99.42663914,543632
2022,30-34,71.66993486,375089
2022,35-39,37.84744694,182391
2022,40-44,10.22121893,45266
2022,45-49,0.976876489,4121
2023,15-19,60.25863053,335313
2023,20-24,105.301781,588117
2023,25-29,98.10242929,535570
2023,30-34,70.70935623,374759
2023,35-39,37.35977533,182596
2023,40-44,10.10223387,45278
2023,45-49,0.963190751,4095
2024,15-19,59.46129634,330901
2024,20-24,103.8640463,578308
2024,25-29,96.79051086,528439
2024,30-34,69.75779986,373402
2024,35-39,36.87635106,182704
2024,40-44,9.984082564,45389
2024,45-49,0.949644304,4061
2025,15-19,58.68646954,326519
2025,20-24,102.4668189,567671
2025,25-29,95.51559763,522530
2025,30-34,68.83307337,370721
2025,35-39,36.40659987,182879
2025,40-44,9.869323946,45563
2025,45-49,0.936479181,4024
2026,15-19,57.94362676,321727
2026,20-24,101.1265868,557403
2026,25-29,94.29309534,517301
2026,30-34,67.94627106,366666
2026,35-39,35.95641468,183247
2026,40-44,9.759570928,45764
2026,45-49,0.923845539,3994
2027,15-19,57.23828823,316260
2027,20-24,99.85290799,548475
2027,25-29,93.13196354,511947
2027,30-34,67.1038388,361786
2027,35-39,35.52923955,183672
2027,40-44,9.655778995,45957
2027,45-49,0.91183,3979
2028,15-19,56.57326969,310213
2028,20-24,98.65060771,541146
2028,25-29,92.03675677,505779
2028,30-34,66.3090466,356978
2028,35-39,35.12684333,183903
2028,40-44,9.558452562,46142
2028,45-49,0.900475845,3977
2029,15-19,55.9495628,303906
2029,20-24,97.52132372,534937
2029,25-29,91.00905991,498571
2029,30-34,65.56302401,352972
2029,35-39,34.74986409,183737
2029,40-44,9.467790431,46331
2029,45-49,0.889797197,3986
2030,15-19,55.36694823,297576
2030,20-24,96.46458093,529006
2030,25-29,90.04848734,490807
2030,30-34,64.86548077,349899
2030,35-39,34.39818822,182989
2030,40-44,9.383787298,46556
2030,45-49,0.879788885,4004
2031,15-19,54.82441933,291227
2031,20-24,95.47853383,522549
2031,25-29,89.15337335,483451
2031,30-34,64.21520468,347355
2031,35-39,34.07121271,181602
2031,40-44,9.306304083,46845
2031,45-49,0.870433252,4024
2032,15-19,54.32047328,284989
2032,20-24,94.56047632,515054
2032,25-29,88.32124646,477292
2032,30-34,63.61040364,344770
2032,35-39,33.76802538,179821
2032,40-44,9.235116392,47156
2032,45-49,0.861704828,4043
2033,15-19,53.85331036,279300
2033,20-24,93.70719019,506607
2033,25-29,87.54915391,472523
2033,30-34,63.04893955,341644
2033,35-39,33.48752833,178080
2033,40-44,9.169947777,47425
2033,45-49,0.85357352,4063
2034,15-19,53.42096967,274218
2034,20-24,92.91518229,497683
2034,25-29,86.83388261,468703
2034,30-34,62.52848759,337798
2034,35-39,33.22852209,176727
2034,40-44,9.110492489,47590
2034,45-49,0.846006782,4082
2035,15-19,53.02142108,269654
2035,20-24,92.18084506,488635
2035,25-29,86.17210882,465072
2035,30-34,62.04664405,333534
2035,35-39,32.98976268,175822
2035,40-44,9.056430962,47605
2035,45-49,0.838971078,4105
2036,15-19,52.6526272,265888
2036,20-24,91.50056439,479444
2036,25-29,85.56049888,460902
2036,30-34,61.60099891,329489
2036,35-39,32.77000012,175163
2036,40-44,9.007440313,47447
2036,45-49,0.832432869,4133
2037,15-19,52.31258459,262665
2037,20-24,90.87079125,470315
2037,25-29,84.99577617,455724
2037,30-34,61.18918403,326198
2037,35-39,32.56800407,174456
2037,40-44,8.963201385,47179
2037,45-49,0.826359264,4164
2038,15-19,51.99935071,259325
2038,20-24,90.2880884,461979
2038,25-29,84.47476492,449595
2038,30-34,60.80890468,323795
2038,35-39,32.38258066,173446
2038,40-44,8.923403414,46912
2038,45-49,0.820718441,4190
2039,15-19,51.71106108,255753
2039,20-24,89.74915985,454537
2039,25-29,83.99441792,442934
2039,30-34,60.45795942,321979
2039,35-39,32.21258322,172031
2039,40-44,8.88774704,46740
2039,45-49,0.815479914,4206
2040,15-19,51.44593952,252028
2040,20-24,89.25086842,447851
2040,25-29,83.55183312,436056
2040,30-34,60.13425209,320238
2040,35-39,32.05691873,170371
2040,40-44,8.855946181,46675
2040,45-49,0.810614691,4207
2041,15-19,51.20230374,248116
2041,20-24,88.79024504,442399
2041,25-29,83.1442626,428949
2041,30-34,59.83579813,318071
2041,35-39,31.91455139,168785
2041,40-44,8.827729095,46669
2041,45-49,0.806095353,4194
2042,15-19,50.97856759,244268
2042,20-24,88.36449228,437771
2042,25-29,82.76911605,421802
2042,30-34,59.56072707,315154
2042,35-39,31.7845041,167554
2042,40-44,8.802838891,46643
2042,45-49,0.801896084,4170
2043,15-19,50.77324097,240611
2043,20-24,87.97098396,432870
2043,25-29,82.42396065,415279
2043,30-34,59.30728241,311528
2043,35-39,31.66585852,166748
2043,40-44,8.781033645,46528
2043,45-49,0.797992664,4145
2044,15-19,50.58492831,237011
2044,20-24,87.60726197,427515
2044,25-29,82.10651831,409483
2044,30-34,59.07381958,307476
2044,35-39,31.55775416,166221
2044,40-44,8.762086241,46297
2044,45-49,0.794362437,4128
2045,15-19,50.41232577,233486
2045,20-24,87.27103122,421840
2045,25-29,81.81466116,404294
2045,30-34,58.85880265,303224
2045,35-39,31.45938678,165711
2045,40-44,8.745784024,45991
2045,45-49,0.790984263,4120
2046,15-19,50.25421786,230043
2046,20-24,86.96015339,415793
2046,25-29,81.54640592,400153
2046,30-34,58.66080019,298763
2046,35-39,31.37000632,164957
2046,40-44,8.731928324,45700
2046,45-49,0.787838456,4116
2047,15-19,50.10947358,226674
2047,20-24,86.67263986,409797
2047,25-29,81.29990746,396698
2047,30-34,58.47848065,294224
2047,35-39,31.28891457,163791
2047,40-44,8.720333893,45496
2047,45-49,0.784906717,4111
2048,15-19,49.97704215,223378
2048,20-24,86.40664419,404069
2048,25-29,81.07345191,392940
2048,30-34,58.31060737,290076
2048,35-39,31.21546261,162232
2048,40-44,8.710828283,45404
2048,45-49,0.782172068,4097
2049,15-19,49.85594882,220155
2049,20-24,86.16045434,398388
2049,25-29,80.86544963,388713
2049,30-34,58.1560334,286392
2049,35-39,31.14904823,160428
2049,40-44,8.703251205,45381
2049,45-49,0.779618773,4071
2050,15-19,49.74529042,217008
2050,20-24,85.9324849,392787
2050,25-29,80.67442801,384144
2050,30-34,58.01369638,283096
2050,35-39,31.08911327,158496
2050,40-44,8.697453858,45359
2050,45-49,0.777232265,4042
