year,age,sex,deaths
2020,0,M,6461
2020,0,F,4996
2020,1,M,6857
2020,1,F,5333
2020,2,M,605
2020,2,F,519
2020,3,M,366
2020,3,F,332
2020,4,M,292
2020,4,F,258
2020,5,M,264
2020,5,F,220
2020,6,M,250
2020,6,F,200
2020,7,M,242
2020,7,F,193
2020,8,M,244
2020,8,F,198
2020,9,M,259
2020,9,F,213
2020,10,M,293
2020,10,F,236
2020,11,M,351
2020,11,F,268
2020,12,M,441
2020,12,F,309
2020,13,M,573
2020,13,F,362
2020,14,M,758
2020,14,F,425
2020,15,M,1004
2020,15,F,496
2020,16,M,1305
2020,16,F,573
2020,17,M,1645
2020,17,F,655
2020,18,M,2011
2020,18,F,743
2020,19,M,2406
2020,19,F,835
2020,20,M,2817
2020,20,F,924
2020,21,M,3196
2020,21,F,998
2020,22,M,3525
2020,22,F,1059
2020,23,M,3869
2020,23,F,1125
2020,24,M,4303
2020,24,F,1205
2020,25,M,4831
2020,25,F,1299
2020,26,M,5358
2020,26,F,1397
2020,27,M,5805
2020,27,F,1492
2020,28,M,6137
2020,28,F,1581
2020,29,M,6325
2020,29,F,1660
2020,30,M,6368
2020,30,F,1720
2020,31,M,6350
2020,31,F,1765
2020,32,M,6343
2020,32,F,1799
2020,33,M,6352
2020,33,F,1822
2020,34,M,6351
2020,34,F,1844
2020,35,M,6312
2020,35,F,1885
2020,36,M,6226
2020,36,F,1954
2020,37,M,6120
2020,37,F,2041
2020,38,M,6016
2020,38,F,2129
2020,39,M,5923
2020,39,F,2213
2020,40,M,5879
2020,40,F,2306
2020,41,M,5931
2020,41,F,2421
2020,42,M,6111
2020,42,F,2571
2020,43,M,6398
2020,43,F,2768
2020,44,M,6778
2020,44,F,3015
2020,45,M,7230
2020,45,F,3296
2020,46,M,7692
2020,46,F,3587
2020,47,M,8108
2020,47,F,3867
2020,48,M,8426
2020,48,F,4112
2020,49,M,8660
2020,49,F,4318
2020,50,M,8861
2020,50,F,4501
2020,51,M,9083
2020,51,F,4687
2020,52,M,9348
2020,52,F,4914
2020,53,M,9617
2020,53,F,5183
2020,54,M,9885
2020,54,F,5493
2020,55,M,10185
2020,55,F,5838
2020,56,M,10514
2020,56,F,6198
2020,57,M,10847
2020,57,F,6548
2020,58,M,11223
2020,58,F,6912
2020,59,M,11633
2020,59,F,7297
2020,60,M,12005
2020,60,F,7682
2020,61,M,12290
2020,61,F,8031
2020,62,M,12547
2020,62,F,8357
2020,63,M,12817
2020,63,F,8675
2020,64,M,13158
2020,64,F,9042
2020,65,M,13432
2020,65,F,9399
2020,66,M,13501
2020,66,F,9663
2020,67,M,13285
2020,67,F,9778
2020,68,M,13127
2020,68,F,9921
2020,69,M,13050
2020,69,F,10084
2020,70,M,13139
2020,70,F,10327
2020,71,M,13377
2020,71,F,10693
2020,72,M,13532
2020,72,F,11019
2020,73,M,13581
2020,73,F,11294
2020,74,M,13513
2020,74,F,11496
2020,75,M,13375
2020,75,F,11615
2020,76,M,13213
2020,76,F,11667
2020,77,M,12934
2020,77,F,11611
2020,78,M,12629
2020,78,F,11553
2020,79,M,12304
2020,79,F,11507
2020,80,M,11861
2020,80,F,11364
2020,81,M,11376
2020,81,F,11155
2020,82,M,10899
2020,82,F,10928
2020,83,M,10432
2020,83,F,10695
2020,84,M,9932
2020,84,F,10403
2020,85,M,9381
2020,85,F,10023
2020,86,M,8789
2020,86,F,9577
2020,87,M,8199
2020,87,F,9121
2020,88,M,7643
2020,88,F,8688
2020,89,M,7093
2020,89,F,8234
2020,90,M,6453
2020,90,F,7663
2020,91,M,5658
2020,91,F,6918
2020,92,M,4802
2020,92,F,6076
2020,93,M,4081
2020,93,F,5326
2020,94,M,3461
2020,94,F,4611
2020,95,M,2977
2020,95,F,4008
2020,96,M,2545
2020,96,F,3440
2020,97,M,2132
2020,97,F,2894
2020,98,M,1734
2020,98,F,2377
2020,99,M,1350
2020,99,F,1887
2020,100,M,998
2020,100,F,1430
2020,101,M,703
2020,101,F,1029
2020,102,M,476
2020,102,F,705
2020,103,M,314
2020,103,F,467
2020,104,M,205
2020,104,F,305
2020,105,M,131
2020,105,F,198
2020,106,M,82
2020,106,F,125
2020,107,M,50
2020,107,F,77
2020,108,M,29
2020,108,F,45
2020,109,M,37
2020,109,F,38
2021,0,M,6235
2021,0,F,5044
2021,1,M,6639
2021,1,F,5405
2021,2,M,567
2021,2,F,527
2021,3,M,340
2021,3,F,338
2021,4,M,262
2021,4,F,260
2021,5,M,231
2021,5,F,226
2021,6,M,218
2021,6,F,209
2021,7,M,215
2021,7,F,197
2021,8,M,220
2021,8,F,190
2021,9,M,239
2021,9,F,199
2021,10,M,279
2021,10,F,233
2021,11,M,347
2021,11,F,287
2021,12,M,451
2021,12,F,347
2021,13,M,593
2021,13,F,402
2021,14,M,777
2021,14,F,450
2021,15,M,1008
2021,15,F,499
2021,16,M,1289
2021,16,F,552
2021,17,M,1616
2021,17,F,619
2021,18,M,1980
2021,18,F,710
2021,19,M,2381
2021,19,F,822
2021,20,M,2809
2021,20,F,937
2021,21,M,3235
2021,21,F,1024
2021,22,M,3631
2021,22,F,1071
2021,23,M,3997
2021,23,F,1095
2021,24,M,4398
2021,24,F,1149
2021,25,M,4871
2021,25,F,1259
2021,26,M,5405
2021,26,F,1399
2021,27,M,5941
2021,27,F,1549
2021,28,M,6403
2021,28,F,1704
2021,29,M,6744
2021,29,F,1833
2021,30,M,6954
2021,30,F,1904
2021,31,M,7037
2021,31,F,1925
2021,32,M,7053
