year,POB_MIT_AÑO,POB_65_MAS,NAC,DEF,MIG_NET_INT,TGF,EV,EVH,EVM,RAZ_DEP
2020,128209170,9860625,2124334,1194524,-147457,1.988805454,68.91267983,64.84524096,73.52106916,50.35296175556918
2021,128982939,10027670,2107021,1219005,-122794,1.965101091,68.7601819,64.9055203,73.10258394,49.80845674904937
2022,129960600,10325860,2087096,788552,-108435,1.939794615,75.17242096,72.12884275,78.47335963,49.33992711955625
2023,131135337,10760014,2065728,805313,-101041,1.913986985,75.31879287,72.25456445,78.64407345,48.95179144808212
2024,132274416,11217534,2043204,820400,-104025,1.888418656,75.50346615,72.4197761,78.85168455,48.59336256833822
2025,133367428,11698499,2019907,836585,-116078,1.863571812,75.67115723,72.57162939,79.03805152,48.28415567972958
2026,134407258,12201321,1996102,851890,-131769,1.839747056,75.85881321,72.74552431,79.24193395,48.04070882028918
2027,135391662,12724222,1972076,867886,-147811,1.817119236,76.03688524,72.91306103,79.43243238,47.87008422102168
2028,136321595,13266557,1948138,883427,-161206,1.795777263,76.22579529,73.09378221,79.63100429,47.76436871084045
2029,137200808,13827316,1924440,899456,-170065,1.775752111,76.40952318,73.27211422,79.82110615,47.70919301613947
2030,138033990,14403025,1900837,915330,-174036,1.757036308,76.5991884,73.45860038,80.01454215,47.70000882022735
2031,138825843,14990624,1877053,931608,-173196,1.739597406,76.78596727,73.64448799,80.20240909,47.74811214020534
2032,139580548,15590512,1853125,947931,-168048,1.723387231,76.97580666,73.83528449,80.39118041,47.85495640377397
2033,140301983,16204038,1829642,964655,-159255,1.708348218,77.16374929,74.02590888,80.57604955,47.98972200064804
2034,140993393,16831074,1806801,981558,-148139,1.694417718,77.35289521,74.21908964,80.76056342,48.13712513220807
2035,141656637,17471198,1784427,998862,-136184,1.681530919,77.54039015,74.41175911,80.94212361,48.30146662284031
2036,142291504,18123579,1762466,1016470,-125641,1.669622813,77.72778956,74.60514796,81.1226756,48.47959141987157
2037,142895488,18785491,1740701,1034438,-118636,1.658629504,77.91340603,74.79733043,81.30081573,48.68773932237184
2038,143464237,19452678,1719242,1052694,-116667,1.648489056,78.09797825,74.98876746,81.47761473,48.93054654785586
2039,143992746,20118630,1698180,1071279,-119796,1.639142042,78.28048815,75.17821886,81.65231723,49.19111805197892
2040,144476530,20774688,1677426,1090098,-126852,1.630531864,78.46126387,75.36578941,81.82551678,49.45988268710536
2041,144912929,21411685,1657183,1109168,-135714,1.622604927,78.63969125,75.55068467,81.99681086,49.72538897722082
2042,145301351,22024733,1637362,1128422,-144399,1.61531071,78.81591299,75.73288549,82.16653323,49.98163129178577
2043,145642911,22616666,1617709,1147876,-151252,1.608601764,78.98957498,75.91191357,82.33447438,50.23322871234655
2044,145939797,23194328,1598131,1167473,-155448,1.602433655,79.16075671,76.0877514,82.5008274,50.49006269238708
2045,146194887,23765488,1578666,1187242,-156489,1.596764879,79.32928302,76.26016096,82.66548945,50.76318798899655
2046,146411280,24337838,1559525,1207140,-154511,1.591556752,79.49523301,76.42918772,82.82857846,51.06409023460757
2047,146592205,24919353,1540791,1227150,-149687,1.586773284,79.65856092,76.59478245,82.99005169,51.40519288141685
2048,146740307,25515987,1522196,1247256,-142676,1.582381043,79.81937358,76.75707556,83.14998811,51.79562971841462
2049,146857365,26130383,1503528,1267416,-134309,1.578349022,79.97772035,76.91616498,83.30837998,52.23901257203117
2050,146943948,26761237,1484932,1287583,-125966,1.574648496,80.13374343,77.07226361,83.46528724,52.73331817128104
