year,age,sex,pop
2020,0,M,1075489
2020,0,F,1036143
2020,1,M,1071048
2020,1,F,1033405
2020,2,M,1071893
2020,2,F,1033638
2020,3,M,1077841
2020,3,F,1039004
2020,4,M,1094313
2020,4,F,1054469
2020,5,M,1109759
2020,5,F,1069110
2020,6,M,1119142
2020,6,F,1078197
2020,7,M,1127545
2020,7,F,1086512
2020,8,M,1139449
2020,8,F,1098110
2020,9,M,1152930
2020,9,F,1111100
2020,10,M,1162643
2020,10,F,1120627
2020,11,M,1165895
2020,11,F,1124409
2020,12,M,1162387
2020,12,F,1123137
2020,13,M,1154717
2020,13,F,1119762
2020,14,M,1146969
2020,14,F,1116774
2020,15,M,1142078
2020,15,F,1115701
2020,16,M,1140950
2020,16,F,1117193
2020,17,M,1144236
2020,17,F,1122021
2020,18,M,1150691
2020,18,F,1129339
2020,19,M,1154780
2020,19,F,1134173
2020,20,M,1150548
2020,20,F,1131453
2020,21,M,1137262
2020,21,F,1120582
2020,22,M,1122421
2020,22,F,1108320
2020,23,M,1113666
2020,23,F,1101988
2020,24,M,1110739
2020,24,F,1101653
2020,25,M,1109239
2020,25,F,1103207
2020,26,M,1105189
2020,26,F,1102933
2020,27,M,1096577
2020,27,F,1099102
2020,28,M,1081893
2020,28,F,1090222
2020,29,M,1059271
2020,29,F,1074453
2020,30,M,1030952
2020,30,F,1053909
2020,31,M,1002856
2020,31,F,1034089
2020,32,M,976612
2020,32,F,1017005
2020,33,M,950358
2020,33,F,1001533
2020,34,M,923005
2020,34,F,986927
2020,35,M,893239
2020,35,F,971722
2020,36,M,860620
2020,36,F,954458
2020,37,M,827917
2020,37,F,936294
2020,38,M,798305
2020,38,F,918555
2020,39,M,774312
2020,39,F,902534
2020,40,M,757136
2020,40,F,889280
2020,41,M,746346
2020,41,F,878876
2020,42,M,741488
2020,42,F,871656
2020,43,M,741632
2020,43,F,867402
2020,44,M,744131
2020,44,F,864023
2020,45,M,744490
2020,45,F,857252
2020,46,M,740152
2020,46,F,844807
2020,47,M,731122
2020,47,F,827420
2020,48,M,718328
2020,48,F,806633
2020,49,M,702899
2020,49,F,783987
2020,50,M,685729
2020,50,F,760360
2020,51,M,667887
2020,51,F,736837
2020,52,M,649402
2020,52,F,713692
2020,53,M,630460
2020,53,F,691049
2020,54,M,611896
2020,54,F,669654
2020,55,M,593246
2020,55,F,648832
2020,56,M,572749
2020,56,F,626439
2020,57,M,550324
2020,57,F,602290
2020,58,M,527304
2020,58,F,577882
2020,59,M,504036
2020,59,F,553420
2020,60,M,480042
2020,60,F,528133
2020,61,M,455528
2020,61,F,502313
2020,62,M,431276
2020,62,F,476944
2020,63,M,408315
2020,63,F,453061
2020,64,M,386460
2020,64,F,430426
2020,65,M,364075
2020,65,F,407017
2020,66,M,339664
2020,66,F,381343
2020,67,M,315956
2020,67,F,356157
2020,68,M,295288
2020,68,F,333928
2020,69,M,277277
2020,69,F,314552
2020,70,M,262696
2020,70,F,299018
2020,71,M,249577
2020,71,F,285192
2020,72,M,236041
2020,72,F,270826
2020,73,M,222265
2020,73,F,256145
2020,74,M,208373
2020,74,F,241303
2020,75,M,194455
2020,75,F,226418
2020,76,M,179996
2020,76,F,210940
2020,77,M,165433
2020,77,F,195287
2020,78,M,151849
2020,78,F,180604
2020,79,M,138784
2020,79,F,166318
2020,80,M,125894
2020,80,F,152012
2020,81,M,113543
2020,81,F,138133
2020,82,M,101923
2020,82,F,124924
2020,83,M,91055
2020,83,F,112424
2020,84,M,80919
2020,84,F,100603
2020,85,M,71544
2020,85,F,89484
2020,86,M,62880
2020,86,F,79034
2020,87,M,54817
2020,87,F,69185
2020,88,M,47311
2020,88,F,59942
2020,89,M,40333
2020,89,F,51302
2020,90,M,33902
2020,90,F,43305
2020,91,M,28069
2020,91,F,35981
2020,92,M,22994
2020,92,F,29557
2020,93,M,18544
2020,93,F,23894
2020,94,M,14693
2020,94,F,18978
2020,95,M,11472
2020,95,F,14851
2020,96,M,8778
2020,96,F,11372
2020,97,M,6576
2020,97,F,8508
2020,98,M,4827
2020,98,F,6212
2020,99,M,3475
2020,99,F,4427
2020,100,M,2459
2020,100,F,3084
2020,101,M,1709
2020,101,F,2105
2020,102,M,1164
2020,102,F,1405
2020,103,M,775
2020,103,F,915
2020,104,M,502
2020,104,F,577
2020,105,M,316
2020,105,F,350
2020,106,M,193
2020,106,F,205
2020,107,M,115
2020,107,F,116
2020,108,M,66
2020,108,F,63
2020,109,M,26
2020,109,F,26
2021,0,M,1069561
2021,0,F,1029539
2021,1,M,1066431
2021,1,F,1028579
2021,2,M,1068447
2021,2,F,1030972
2021,3,M,1069778
2021,3,F,1031637
2021,4,M,1076007
2021,4,F,1037278
2021,5,M,1092672
2021,5,F,1052937
2021,6,M,1108272
2021,6,F,1067732
2021,7,M,1117785
2021,7,F,1076953
2021,8,M,1126287
2021,8,F,1085372
2021,9,M,1138248
2021,9,F,1097034
2021,10,M,1151745
2021,10,F,1110056
2021,11,M,1161434
2021,11,F,1119577
2021,12,M,1164615
2021,12,F,1123317
2021,13,M,1160979
2021,13,F,1121958
2021,14,M,1153062
2021,14,F,1118435
2021,15,M,1144910
2021,15,F,1115229
