sex,band,residual_count,share_within_residual
M,00-04 años,4959.0,0.009936083672283555
M,05-09 años,10947.0,0.021933919733915726
M,10-14 años,18097.0,0.03625999318760143
M,15-19 años,26197.0,0.052489530946322305
M,20-24 años,47299.0,0.0947704822777455
M,25-29 años,52899.0,0.10599090344426856
M,30-34 años,50039.0,0.10026047406279429
M,35-39 años,43229.0,0.08661564046564747
M,40-44 años,33395.0,0.0669117794385782
M,45-49 años,24832.0,0.049754553286982306
M,50-54 años,16128.0,0.03231481295958645
M,55-59 años,10611.0,0.021260694463924344
M,60-64 años,6738.0,0.01350057103929151
M,65-69 años,4603.0,0.009222785469554589
M,70-74 años,3383.0,0.006778336572562063
M,75-79 años,2770.0,0.0055501011841551625
M,80-84 años,2490.0,0.004989080125829009
M,85 años y más,3123.0,0.006257388446973492
F,00-04 años,4761.0,0.00953936163818149
F,05-09 años,10991.0,0.022022080185938406
F,10-14 años,18597.0,0.037261816506041
F,15-19 años,18429.0,0.0369252038710453
F,20-24 años,15340.0,0.0307359394097257
F,25-29 años,10064.0,0.020164699753551462
F,30-34 años,7974.0,0.015977078282474102
F,35-39 años,6660.0,0.013344286601614939
F,40-44 años,5762.0,0.01154501192169749
F,45-49 años,5182.0,0.0103828968723076
F,50-54 años,4460.0,0.008936264000480875
F,55-59 años,3355.0,0.006722234466729447
F,60-64 años,2990.0,0.005990903444268569
F,65-69 años,2657.0,0.005323689114187822
F,70-74 años,3159.0,0.00632951972590114
F,75-79 años,3854.0,0.007722054138532128
F,80-84 años,4698.0,0.009413131900058106
F,85 años y más,8418.0,0.016866697389248432
