band,sex,pct_of_total_published,count
0A4,F,2.87,3741831.0294740903
5A9,F,3.67,4784850.1317665195
10A14,F,4.11,5358510.638027356
15A19,F,4.1,5345472.8992487
20A24,F,4.08,5319397.42169139
25A29,F,3.92,5110793.601232903
30A34,F,4.05,5280284.205355423
35A39,F,3.91,5097755.862454249
40A44,F,3.64,4745736.915430553
45A49,F,3.4,4432831.184742824
50A54,F,3.38,4406755.707185513
55A59,F,2.73,3559302.686572915
60A64,F,2.5,3259434.6946638413
65A69,F,2.0,2607547.755731073
70A74,F,1.41,1838321.1677904064
75YMAS,F,2.14,2790076.098632248
0A4,M,2.94,3832479.5630845977
5A9,M,3.75,4888366.789648722
10A14,M,4.24,5527113.383496155
15A19,M,4.21,5488006.449178965
20A24,M,3.87,5044794.526917481
25A29,M,3.61,4705867.762835169
30A34,M,3.64,4744974.697152359
35A39,M,3.47,4523368.736021617
40A44,M,3.25,4236584.551028892
45A49,M,3.02,3936764.721263771
50A54,M,3.02,3936764.721263771
55A59,M,2.42,3154626.034919975
60A64,M,2.1,2737485.402203284
65A69,M,1.7,2216059.6113074203
70A74,M,1.2,1564277.3726875908
75YMAS,M,1.67,2176952.6769902306
