year,TPopulation1July,TFR,SRB,NetMigrations,LEx
2000,98625.552,2.714,103.8,-356.433,72.5621
2001,100099.099,2.6708,103.9,-378.348,72.9118
2002,101548.624,2.6327,103.9,-379.812,73.1056
2003,102978.515,2.5793,103.9,-369.183,73.308
2004,104394.131,2.5362,103.9,-346.912,73.4324
2005,105811.504,2.4947,103.8,-310.278,73.6267
2006,107253.666,2.456,103.9,-244.14,73.7457
2007,108774.36,2.4212,103.9,-105.524,73.7955
2008,110374.288,2.3907,103.9,-50.347,73.6949
2009,111999.721,2.3641,103.9,-30.809,73.6281
2010,113623.895,2.3402,103.9,-40.845,73.7181
2011,115243.504,2.3174,103.9,-37.826,73.9209
2012,116818.208,2.2943,103.9,-128.485,74.1278
2013,118343.573,2.2692,103.9,-120.058,74.289
2014,119784.261,2.2106,103.9,-228.816,74.4044
2015,121072.306,2.1368,103.9,-291.044,74.4315
2016,122251.35,2.0856,103.9,-304.472,74.3763
2017,123400.057,2.0406,103.9,-227.499,74.2609
2018,124573.711,2.03,103.9,-175.356,74.3009
2019,125762.982,2.02,103.9,-169.628,74.5302
2020,126799.054,1.99,103.9,-147.456,70.4492
2021,127648.148,1.97,103.9,-122.791,69.7499
2022,128613.117,1.94,103.9,-108.438,73.9731
2023,129739.759,1.91,103.9,-101.044,75.069
2024,130861.007,1.8916,103.9,-104.581,75.2645
2025,131946.9,1.8689,103.8,-108.037,75.4456
2026,132997.658,1.8521,103.8,-109.844,75.6291
2027,134017.708,1.834,103.8,-107.783,75.8125
2028,135008.697,1.8186,103.8,-106.582,75.9979
2029,135970.891,1.8056,103.8,-107.881,76.1801
2030,136904.738,1.7926,103.8,-106.319,76.3667
2031,137811.064,1.7832,103.8,-106.707,76.5481
2032,138690.194,1.7747,103.8,-104.714,76.7226
2033,139542.085,1.767,103.8,-102.589,76.8993
2034,140362.026,1.7611,103.8,-108.562,77.0693
2035,141150.819,1.7563,103.8,-103.866,77.2396
2036,141909.163,1.751,103.8,-107.167,77.4163
2037,142637.546,1.7475,103.8,-102.145,77.5985
2038,143336.22,1.7435,103.9,-104.893,77.7783
2039,143998.292,1.7383,103.8,-109.319,77.9517
2040,144624.324,1.7324,103.9,-106.91,78.1328
2041,145217.774,1.7266,103.9,-101.265,78.3017
2042,145777.456,1.7216,103.9,-100.071,78.4789
2043,146300.007,1.7175,103.8,-102.092,78.6541
2044,146787.717,1.7163,103.8,-98.273,78.8241
2045,147240.092,1.7131,103.9,-101.019,78.9948
2046,147654.16,1.71,103.9,-100.678,79.1623
2047,148030.146,1.7059,103.8,-101.164,79.3224
2048,148372.232,1.7047,103.8,-94.658,79.4889
2049,148677.898,1.7025,103.8,-103.334,79.6544
2050,148946.274,1.7007,103.8,-98.661,79.8233
