year,age,PopMale,PopFemale
2023,0,1033.362,996.832
2023,1,1042.984,1006.433
2023,2,1050.643,1013.919
2023,3,1057.792,1020.875
2023,4,1061.81,1024.776
2023,5,1060.705,1023.785
2023,6,1068.9,1032.014
2023,7,1087.753,1050.264
2023,8,1113.533,1074.886
2023,9,1139.483,1100.038
2023,10,1150.747,1111.262
2023,11,1150.362,1111.206
2023,12,1147.305,1108.665
2023,13,1143.131,1105.207
2023,14,1138.428,1101.417
2023,15,1134.133,1098.109
2023,16,1131.688,1096.95
2023,17,1131.485,1098.648
2023,18,1132.084,1101.594
2023,19,1131.533,1103.968
2023,20,1131.089,1107.06
2023,21,1127.101,1107.312
2023,22,1117.841,1103.224
2023,23,1097.92,1088.996
2023,24,1074.883,1071.916
2023,25,1060.4,1063.696
2023,26,1052.972,1062.582
2023,27,1053.649,1069.981
2023,28,1049.561,1074.995
2023,29,1035.234,1070.878
2023,30,1023.206,1066.194
2023,31,1015.343,1065.194
2023,32,1003.943,1060.575
2023,33,984.259,1043.39
2023,34,956.809,1016.923
2023,35,933.999,998.892
2023,36,915.22,991.11
2023,37,891.112,981.472
2023,38,866.202,968.471
2023,39,842.218,953.63
2023,40,824.534,943.871
2023,41,806.572,933.725
2023,42,781.582,915.951
2023,43,765.228,902.129
2023,44,755.297,892.21
2023,45,742.992,879.94
2023,46,729.356,865.419
2023,47,717.191,851.179
2023,48,710.937,841.016
2023,49,706.049,831.204
2023,50,695.431,815.939
2023,51,680.168,796.622
2023,52,662.192,774.414
2023,53,643.048,750.928
2023,54,624.913,729.078
2023,55,605.785,706.805
2023,56,584.859,683.098
2023,57,564.949,661.144
2023,58,544.787,639.665
2023,59,522.629,616.066
2023,60,500.836,591.633
2023,61,479.608,567.033
2023,62,457.104,541.654
2023,63,434.445,516.264
2023,64,411.817,490.452
2023,65,388.435,463.755
2023,66,365.497,437.878
2023,67,343.291,412.788
2023,68,322.01,388.214
2023,69,302.437,365.476
2023,70,283.259,343.731
2023,71,263.389,321.428
2023,72,244.905,300.738
2023,73,227.326,281.425
2023,74,209.832,262.071
2023,75,193.934,244.035
2023,76,178.563,226.278
2023,77,163.127,207.986
2023,78,148.68,190.453
2023,79,135.571,174.393
2023,80,123.204,159.136
2023,81,111.185,144.198
2023,82,99.716,129.79
2023,83,88.638,115.8
2023,84,77.844,102.148
2023,85,67.566,88.884
2023,86,58.084,76.299
2023,87,49.221,64.37
2023,88,40.834,52.993
2023,89,33.413,42.805
2023,90,27.217,34.248
2023,91,21.835,26.895
2023,92,17.105,20.553
2023,93,13.151,15.344
2023,94,9.96,11.233
2023,95,7.434,8.075
2023,96,5.43,5.644
2023,97,3.856,3.812
2023,98,2.632,2.466
2023,99,1.724,1.53
2023,100,2.699,1.98
