base,indicator,scenario,period,value,unit
eic2025,tdr_min_year,central,,2030.0,year
eic2025,tdr_min,central,,45.009,per 100 aged 15-64
eic2025,span_1pt_start,central,,2027.0,year
eic2025,span_1pt_end,central,,2035.0,year
eic2025,oadr,central,2025,14.6453,per 100 aged 15-64
eic2025,tdr,central,2025,46.5662,per 100 aged 15-64
eic2025,ydr,central,2025,31.921,per 100 aged 15-64
eic2025,oadr,central,2035,20.4483,per 100 aged 15-64
eic2025,tdr,central,2035,45.3248,per 100 aged 15-64
eic2025,ydr,central,2035,24.8765,per 100 aged 15-64
eic2025,oadr,central,2050,33.1417,per 100 aged 15-64
eic2025,tdr,central,2050,56.9809,per 100 aged 15-64
eic2025,ydr,central,2050,23.8392,per 100 aged 15-64
eic2025,tau_payg,central,2025,11.582751310472133,% of wage bill
eic2025,tau_payg,central,2035,16.172258241342092,% of wage bill
eic2025,tau_payg,central,2050,26.211280691161964,% of wage bill
eic2025,pop_6_14,central,2025,18793673.4737,persons
eic2025,pop_6_14_change_vs_2025,central,2025,0.0,%
eic2025,pop_6_14,central,2031,15461118.9818,persons
eic2025,pop_6_14_change_vs_2025,central,2031,-17.732320914075707,%
eic2025,pop_6_14,central,2035,13811366.3474,persons
eic2025,pop_6_14_change_vs_2025,central,2035,-26.510554912387285,%
eic2025,pop_6_14,central,2050,12932917.4382,persons
eic2025,pop_6_14_change_vs_2025,central,2050,-31.184728433755026,%
eic2025,g_l_avg,central,2025-2035,0.37488616649632434,% per year
eic2025,g_l_avg,central,2035-2050,-0.47507676445424085,% per year
eic2025,g_l_first_negative_year,central,,2036.0,year
eic2025,tdr_min_year,estres,,2035.0,year
eic2025,tdr_min,estres,,40.696,per 100 aged 15-64
eic2025,span_1pt_start,estres,,2034.0,year
eic2025,span_1pt_end,estres,,2037.0,year
eic2025,oadr,estres,2025,14.6453,per 100 aged 15-64
eic2025,tdr,estres,2025,46.5662,per 100 aged 15-64
eic2025,ydr,estres,2025,31.921,per 100 aged 15-64
eic2025,oadr,estres,2035,20.4711,per 100 aged 15-64
eic2025,tdr,estres,2035,40.6964,per 100 aged 15-64
eic2025,ydr,estres,2035,20.2253,per 100 aged 15-64
eic2025,oadr,estres,2050,35.4112,per 100 aged 15-64
eic2025,tdr,estres,2050,50.2433,per 100 aged 15-64
eic2025,ydr,estres,2050,14.8321,per 100 aged 15-64
eic2025,tau_payg,estres,2025,11.582751310472133,% of wage bill
eic2025,tau_payg,estres,2035,16.190290424354988,% of wage bill
eic2025,tau_payg,estres,2050,28.006194697642986,% of wage bill
eic2025,pop_6_14,estres,2025,18793673.4737,persons
eic2025,pop_6_14_change_vs_2025,estres,2025,0.0,%
eic2025,pop_6_14,estres,2031,15460956.8054,persons
eic2025,pop_6_14_change_vs_2025,estres,2031,-17.73318384489242,%
